# This file is a central repository for domain names and their paths,
#,
Domain,PathToDomain
#,
# Folder names,
#,
COMMON_ASSUMPTIONS,../_common/assumptions/
COMMON_HEADERS,../_common/headers/
COMMON_MAPPINGS,../_common/mappings/
AGLU_HEADERS,../aglu-processing-code/headers/
AGLU_MAPPINGS,../aglu-data/mappings/
AGLU_ASSUMPTIONS,../aglu-data/assumptions/
AGLU_GIS_DATA,../aglu-data/GIS/
AGLU_ISIMIP_DATA,../aglu-data/ISIMIP/
AGLU_LEVEL0_DATA,../aglu-data/level0/
AGLU_LEVEL1_DATA,../aglu-data/level1/
AGLU_LEVEL2_DATA,../aglu-data/level2/
AGLU_LOGS,../aglu-processing-code/logs/
AGLU_XML_BATCH,../aglu-processing-code/xml-batch/
AGLU_XML_FINAL,../xml/aglu-xml/
ENERGY_HEADERS,../energy-processing-code/headers/
ENERGY_MAPPINGS,../energy-data/mappings/
ENERGY_ASSUMPTIONS,../energy-data/assumptions/
ENERGY_GIS_DATA,../energy-data/GIS/
ENERGY_LEVEL0_DATA,../energy-data/level0/
ENERGY_LEVEL1_DATA,../energy-data/level1/
ENERGY_LEVEL2_DATA,../energy-data/level2/
ENERGY_LOGS,../energy-processing-code/logs/
ENERGY_XML_BATCH,../energy-processing-code/xml-batch/
ENERGY_XML_FINAL,../xml/energy-xml/
MODELTIME_ASSUMPTIONS,../modeltime-data/assumptions/
MODELTIME_LEVEL2_DATA,../modeltime-data/level2/
MODELTIME_LOGS,../modeltime-processing-code/logs/
MODELTIME_XML_BATCH,../modeltime-processing-code/xml-batch/
MODELTIME_XML_FINAL,../xml/modeltime-xml/
SOCIO_HEADERS,../socioeconomics-processing-code/headers/
SOCIO_MAPPINGS,../socioeconomics-data/mappings/
SOCIO_ASSUMPTIONS,../socioeconomics-data/assumptions/
SOCIO_GIS_DATA,../socioeconomics-data/GIS/
SOCIO_LEVEL0_DATA,../socioeconomics-data/level0/
SOCIO_LEVEL1_DATA,../socioeconomics-data/level1/
SOCIO_LEVEL2_DATA,../socioeconomics-data/level2/
SOCIO_LOGS,../socioeconomics-processing-code/logs/
SOCIO_XML_BATCH,../socioeconomics-processing-code/xml-batch/
SOCIO_XML_FINAL,../xml/socioeconomics-xml/
EMISSIONS_ASSUMPTIONS,../emissions-data/assumptions/
EMISSIONS_LEVEL0_DATA,../emissions-data/level0/
EMISSIONS_MAPPINGS,../emissions-data/mappings/
