out_reg_code,out_lu_code,center_lon,center_lat,gcam_reg_name,basin_abr,weight
1,1,36.75,-2.75,Africa_Eastern,AfrCstE,0.11112827668149
1,1,36.75,-2.25,Africa_Eastern,AfrCstE,0.805545330121043
1,1,36.75,-1.75,Africa_Eastern,AfrCstE,0.583335371788339
1,1,36.75,-1.25,Africa_Eastern,AfrCstE,0.750002362635064
1,1,36.75,-0.75,Africa_Eastern,AfrCstE,0.749998853420321
1,1,36.75,-0.25,Africa_Eastern,AfrCstE,0.305552392108495
1,1,37.25,-2.75,Africa_Eastern,AfrCstE,0.611153960789722
1,1,37.25,-2.25,Africa_Eastern,AfrCstE,1
1,1,37.25,-1.75,Africa_Eastern,AfrCstE,1
1,1,37.25,-1.25,Africa_Eastern,AfrCstE,1
1,1,37.25,-0.75,Africa_Eastern,AfrCstE,1
1,1,37.25,-0.25,Africa_Eastern,AfrCstE,0.666663304938529
1,1,37.75,-3.75,Africa_Eastern,AfrCstE,0.222256566796355
1,1,37.75,-3.25,Africa_Eastern,AfrCstE,0.666661902771374
1,1,37.75,-2.75,Africa_Eastern,AfrCstE,1
1,1,37.75,-2.25,Africa_Eastern,AfrCstE,1
1,1,37.75,-1.75,Africa_Eastern,AfrCstE,1
1,1,37.75,-1.25,Africa_Eastern,AfrCstE,1
1,1,37.75,-0.75,Africa_Eastern,AfrCstE,1
1,1,37.75,-0.25,Africa_Eastern,AfrCstE,1
1,1,37.75,0.25,Africa_Eastern,AfrCstE,0.388892335359562
1,1,38.25,-4.25,Africa_Eastern,AfrCstE,0.0833526508005143
1,1,38.25,-3.75,Africa_Eastern,AfrCstE,0.888912956062552
1,1,38.25,-3.25,Africa_Eastern,AfrCstE,1
1,1,38.25,-2.75,Africa_Eastern,AfrCstE,1
1,1,38.25,-2.25,Africa_Eastern,AfrCstE,1
1,1,38.25,-1.75,Africa_Eastern,AfrCstE,1
1,1,38.25,-1.25,Africa_Eastern,AfrCstE,1
1,1,38.25,-0.75,Africa_Eastern,AfrCstE,1
1,1,38.25,-0.25,Africa_Eastern,AfrCstE,1
1,1,38.25,0.25,Africa_Eastern,AfrCstE,0.83333667037918
1,1,38.75,-4.25,Africa_Eastern,AfrCstE,0.666723856764572
1,1,38.75,-3.75,Africa_Eastern,AfrCstE,1
1,1,38.75,-3.25,Africa_Eastern,AfrCstE,1
1,1,38.75,-2.75,Africa_Eastern,AfrCstE,1
1,1,38.75,-2.25,Africa_Eastern,AfrCstE,1
1,1,38.75,-1.75,Africa_Eastern,AfrCstE,1
1,1,38.75,-1.25,Africa_Eastern,AfrCstE,1
1,1,38.75,-0.75,Africa_Eastern,AfrCstE,1
