# File: EPA_ghg_tech.csv
# Title: Mapping between EPA emissions sources and GCAM sectors and fuels
# Units: NA
Source_Category,sector,fuel
1.A. Fuel Combustion_Liquid Fuels,,
1.A. Fuel Combustion_Solid Fuels,,
1.A. Fuel Combustion_Gaseous Fuels,,
1.A. Fuel Combustion_Biomass,,
1.A. Fuel Combustion_Other Fuels,,
1.A.1. Energy Industries_Liquid Fuels,,
1.A.1. Energy Industries_Solid Fuels,,
1.A.1. Energy Industries_Gaseous Fuels,,
1.A.1. Energy Industries_Biomass,,
1.A.1. Energy Industries_Other Fuels,,
 a.  Public Electricity and Heat Production_Liquid Fuels,elec_heat,refined liquids
 a.  Public Electricity and Heat Production_Solid Fuels,elec_heat,coal
 a.  Public Electricity and Heat Production_Gaseous Fuels,elec_heat,gas
 a.  Public Electricity and Heat Production_Biomass,,
 a.  Public Electricity and Heat Production_Other Fuels,,
b.  Petroleum Refining_Liquid Fuels,oil_gas,all
b.  Petroleum Refining_Solid Fuels,oil_gas,all
b.  Petroleum Refining_Gaseous Fuels,oil_gas,all
b.  Petroleum Refining_Biomass,oil_gas,all
b.  Petroleum Refining_Other Fuels,oil_gas,all
c.  Manufacture of Solid Fuels and Other Energy Industries_Liquid Fuels,coal,all
c.  Manufacture of Solid Fuels and Other Energy Industries_Solid Fuels,coal,all
c.  Manufacture of Solid Fuels and Other Energy Industries_Gaseous Fuels,coal,all
c.  Manufacture of Solid Fuels and Other Energy Industries_Biomass,coal,all
c.  Manufacture of Solid Fuels and Other Energy Industries_Other Fuels,coal,all
1.A.2 Manufacturing Industries and Construction_Liquid Fuels,industry_energy,refined liquids
1.A.2 Manufacturing Industries and Construction_Solid Fuels,industry_energy,coal
1.A.2 Manufacturing Industries and Construction_Gaseous Fuels,industry_energy,gas
1.A.2 Manufacturing Industries and Construction_Biomass,industry_energy,biomass
1.A.2 Manufacturing Industries and Construction_Other Fuels,industry_energy,
a.  Iron and Steel_Liquid Fuels,,
a.  Iron and Steel_Solid Fuels,,
a.  Iron and Steel_Gaseous Fuels,,
a.  Iron and Steel_Biomass,,
a.  Iron and Steel_Other Fuels,,
b.  Non-Ferrous Metals_Liquid Fuels,,
b.  Non-Ferrous Metals_Solid Fuels,,
b.  Non-Ferrous Metals_Gaseous Fuels,,
b.  Non-Ferrous Metals_Biomass,,
b.  Non-Ferrous Metals_Other Fuels,,
c.  Chemicals_Liquid Fuels,,
c.  Chemicals_Solid Fuels,,
c.  Chemicals_Gaseous Fuels,,
c.  Chemicals_Biomass,,
c.  Chemicals_Other Fuels,,
"d.  Pulp, Paper and Print_Liquid Fuels",,
"d.  Pulp, Paper and Print_Solid Fuels",,
"d.  Pulp, Paper and Print_Gaseous Fuels",,
"d.  Pulp, Paper and Print_Biomass",,
"d.  Pulp, Paper and Print_Other Fuels",,
"e.  Food Processing, Beverages and Tobacco_Liquid Fuels",,
"e.  Food Processing, Beverages and Tobacco_Solid Fuels",,
"e.  Food Processing, Beverages and Tobacco_Gaseous Fuels",,
"e.  Food Processing, Beverages and Tobacco_Biomass",,
"e.  Food Processing, Beverages and Tobacco_Other Fuels",,
Internal Combustion_Liquid Fuels,,
Internal Combustion_Solid Fuels,,
Internal Combustion_Gaseous Fuels,,
Internal Combustion_Biomass,,
Internal Combustion_Other Fuels,,
Other non-specified_Liquid Fuels,,
Other non-specified_Solid Fuels,,
Other non-specified_Gaseous Fuels,,
Other non-specified_Biomass,,
Other non-specified_Other Fuels,,
1.A.3  Transport_Liquid Fuels,,
1.A.3  Transport_Solid Fuels,,
1.A.3  Transport_Gaseous Fuels,,
1.A.3  Transport_Biomass,,
1.A.3  Transport_Other Fuels,,
a.  Civil  Aviation_Aviation Gasoline,trn_air,refined liquids
a.  Civil  Aviation_Jet Kerosene,trn_air,refined liquids
b.  Road Transportation_Gasoline,trn_road,refined liquids
b.  Road Transportation_Diesel Oil,trn_road,refined liquids
b.  Road Transportation_Liquefied Petroleum Gases (LPG),trn_road,refined liquids
b.  Road Transportation_Other Liquid Fuels (please specify),trn_road,refined liquids
b.  Road Transportation_Gaseous Fuels,trn_road,gas
b.  Road Transportation_Biomass,trn_road,biomass
b.  Road Transportation_Other Fuels (please specify),trn_road,
c.  Railways_Liquid Fuels,trn_rail,refined liquids
c.  Railways_Solid Fuels,trn_rail,coal
c.  Railways_Gaseous Fuels,trn_rail,gas
c.  Railways_Other Fuels (please specify),trn_rail,
d.  Navigation _Residual Oil (Residual Fuel Oil),trn_ship,refined liquids
d.  Navigation _Gas/Diesel Oil,trn_ship,refined liquids
d.  Navigation _Gasoline,trn_ship,refined liquids
d.  Navigation _Other Liquid Fuels (please specify),trn_ship,refined liquids
d.  Navigation _Solid Fuels,trn_ship,coal
d.  Navigation _Gaseous Fuels,trn_ship,gas
d.  Navigation _Other Fuels (please specify),trn_ship,refined liquids
Other non-specified_Liquid Fuels,,
Other non-specified_Solid Fuels,,
Other non-specified_Gaseous Fuels,,
Other non-specified_Biomass,,
Other non-specified_Other Fuels,,
1.A.4  Other Sectors_Liquid Fuels,,
1.A.4  Other Sectors_Solid Fuels,,
1.A.4  Other Sectors_Gaseous Fuels,,
1.A.4  Other Sectors_Biomass,,
1.A.4  Other Sectors_Other Fuels,,
a.  Commercial/Institutional_Liquid Fuels,bld_comm,refined liquids
a.  Commercial/Institutional_Solid Fuels,bld_comm,coal
a.  Commercial/Institutional_Gaseous Fuels,bld_comm,gas
