# File: FAO_harv_CL_kha_RESOURCESTAT.csv
# Title: FAO harvested cropland (temporary crops) area by country, year
# Units: kha
# Column types: cicicicccccccccccccccccccccccccccccccccccccccinnnnnnnnnnnnnnnn  
# ----------
countries,country codes,item,item codes,element,element codes,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,2,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2502,2111,3761,2934,3385,3529,3531,3224,3469,3481,3081,3454,3491,3485,3355,3419
Albania,3,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,202,202,205,200.9,198,204.7,205.8,209.7
Algeria,4,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3840,3813,3802.2,4110,3921,4065,3896,3926,4069,4226,4255,4354.2,4453.2,4403.9,4368.4,4373.7
Andorra,6,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.24,0.23,0.23,0.24
Argentina,9,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19584,21551.5,23519,25486.5,27454,29033,27861,26892,30581,31381,32554,32499,32000,32000,32000
Armenia,1,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.03,316.2,314.9,316,292.6,297.7,318.9,318.2,324.3,337.5,353.5
Australia,10,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24520,24060,23575,26080,26742,24565,23530,24374,27511,25968,32078,31993,31611,32307,30456,30378
Austria,11,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1141.9,1139.5,1125.33,1129.8,1119.9,1113.9,1136.9,1164.6,1162.1,1156.8,1155.5,1154.3,1153.4,1154.5,1139.9,1140.98
Azerbaijan,52,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1775.9,1783.2,1785.6,1790.8,1797.6,1795.5,1808.4,1818.4,1832.5,1842.7,1843.8,1855,1884.3,1885.6,1897.5,1959
Belgium,255,Temporary crops,6630,Area (1000 Ha),5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,727,730,739,734,732,733,752,750,745,737.7,723.3,736.8,741,739.5,749.7
