# File: FAO_Fert_Prod_tN_RESOURCESTAT.csv
# Title: FAO fertilizer production by country, year
# Units: tons N
countries,country codes,item,item codes,element,element codes,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,2,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,23414,16206,19458,15631,17636,16973,15278,13603,12022
Albania,3,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,0,0,0,0,0,0,0,0,0
Algeria,4,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,72600,99660,153790,83100,27440,137780,11040,6600,17100
Angola,7,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,8,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,0,0,0,0,0,0,0,0,0
Argentina,9,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,523700,607492,627693,574741,659115,468938,405948,514223,433113
Armenia,1,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,3000,0,0,0,0,0,0,0,0
Australia,10,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,354464,314751,326123,338588,337240,392912,330489,543309,545000
Austria,11,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,0,0,0,0,0,0,0,0,0
Azerbaijan,52,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,0,0,0,0,0,0,0,0,0
Bahrain,13,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,290260,260820,234600,258086,287353,268990,304060,300840,289340
Bangladesh,16,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,1155433,952070,923410,880646,815701,855556,557040,512840,616216
Barbados,14,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,0,0,0,0,0,0,0,0,0
Belarus,57,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,644420,635865,665034,682065,711548,749944,727975,731378,771295
Belize,23,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,0,0,0,0,0,0,0,0,0
Benin,53,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,0,0,0,0,0,0,0,0,0
Bhutan,18,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,0,0,0,0,0,0,0,0,0
Bolivia (Plurinational State of),19,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,80,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,0,0,0,0,0,0,0,0,0
Brazil,21,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,956346,914247,916809,985312,1051386,983761,921577,892611,627454
Brunei Darussalam,26,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,0,0,0,0,0,0,0,0,0
Bulgaria,27,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,270353,288200,331300,348700,237540,262130,281953,282000,282000
Burkina Faso,233,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,0,0,0,0,0,0,0,0,0
Burundi,29,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,0,0,0,0,0,0,0,0,0
Cambodia,115,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,0,0,0,0,0,0,0,0,0
Cameroon,32,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,0,0,0,0,0,0,0,0,0
Canada,33,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,3087621,2905009,3048059,3109020,2309320,3234810,3192990,3129160,3272175
Chile,40,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,115000,167555,120370,130750,122776,167056,207643,198198,240000
China,351,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,27608754,28862920,27816728,28014560,31181567,35359259,35584817,38776538,0
Colombia,44,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,84200,90400,66400,205916,272659,301478,209677,268003,250158
Congo,46,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,0,0,0,0,0,0,0,0,0
Cook Islands,47,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,0,0,0,0,0,0,0,0,0
Costa Rica,48,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,0,0,0,0,0,0,0,0,0
Cote dIvoire,107,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,0,0,0,0,0,0,0,0,0
Croatia,98,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,262000,286064,335148,323223,407108,429221,444633,388883,305572
Cuba,49,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,8533,10023,19856,12733,17373,17494,16936,9818,13711
Cyprus,50,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,0,0,0,0,0,0,0,0,0
Czech Republic,167,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,274249,291252,304941,305246,332600,333000,333000,220677,221000
Democratic Republic of the Congo,250,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,0,0,0,0,0,0,0,0,0
Denmark,54,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,116165,148459,92787,0,0,0,0,0,0
Dominica,55,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,0,0,0,0,0,0,0,0,0
Dominican Republic,56,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,0,0,0,0,0,0,0,0,0
Ecuador,58,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,0,0,0,0,0,0,0,0,0
Egypt,59,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,1557510,1558830,1584400,1552008,1750977,2286460,2618560,2723590,2806040
El Salvador,60,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,0,0,0,0,0,0,0,0,0
Eritrea,178,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,0,0,0,0,0,0,0,0,0
Estonia,63,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,24264,34000,66601,100985,99350,96405,91750,784,721
Ethiopia,238,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,0,0,0,0,0,0,0,0,0
Fiji,66,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,0,0,0,0,0,0,0,0,0
Finland,67,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,274000,278658,278658,291755,221100,272773,279566,228944,244079
France,68,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,1000000,1228351,2850854,3044423,2181793,1026961,1246683,1067184,1018673
French Polynesia,70,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,0,0,0,0,0,0,0,0,0
Gabon,74,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,0,0,0,0,0,0,0,0,0
Gambia,75,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,0,0,0,0,0,0,0,0,0
Georgia,73,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,83000,76903,94075,110403,127478,131822,133887,134725,119963
Germany,79,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,1256291,1120999,1160639,1253773,1185726,1504452,961882,1224687,1305210
Ghana,81,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,0,0,0,0,0,0,0,0,0
Greece,84,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,110771,209625,110771,93051,45171,35117,31970,21961,21000
Guatemala,89,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,0,0,0,0,0,0,0,0,0
Guinea,90,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,0,0,0,0,0,0,0,0,0
Guyana,91,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,0,0,0,0,0,0,0,0,0
Honduras,95,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,0,0,0,0,0,0,0,0,0
Hungary,97,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,210134,205301,266070,311302,302000,222968,189687,232212,241782
Iceland,99,Nitrogen Fertilizers (N total nutrients),3102,Production Quantity in nutrients (tonnes of nutrients),5515,0,0,0,0,0,0,0,0,0
