# File: FAO_Fert_Cons_tN_RESOURCESTAT_archv.csv
# Title: FAO fertilizer consumption by country, year
# Units: tons N
countries,country codes,item,item codes,element,element codes,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Afghanistan,2,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,1000,1000,1000,1000,1000,1000,9000,14000,15000,16000,14800,16000,17700,24200,27668,30646,37014,35497,33227,37846,28740,38843,36800,52820,53182,50720,52800,49830,50000,44100,42800,38900,40000,0,0,5000,5000,6000,5000,5000,18400,20800
Albania,3,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,3187,2000,2000,2000,2000,3000,7000,19000,16000,22500,31000,32600,36100,36300,36000,45300,50000,71900,70900,68800,72500,70800,73000,75000,75000,75000,66100,69300,79900,73500,22300,14800,15220,12680,10000,5500,4200,18000,5800,12100,10700,22626
Algeria,4,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,9000,15000,18000,16000,13347,17150,14530,20000,29000,43000,68000,81000,76000,66000,40000,51000,52138,57616,60269,84000,57700,48738,59300,87724,98173,112680,80000,52600,46300,63000,41000,46700,73800,58200,18400,14000,36000,44000,47000,44300,45300,48000
Angola,7,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,500,500,500,1000,2800,3600,5000,5000,5000,5500,11200,11200,9100,6500,2100,1000,13100,10000,9400,9200,4600,2800,3800,3715,12794,5000,4000,5221,9176,2500,2300,3100,2000,2000,2000,2000,2000,2300,2300,1400,0,0
Argentina,9,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,8390,8605,16671,20000,25000,25505,37035,30661,35046,41003,45000,49000,43843,42000,28000,39200,41700,47718,58915,62652,51173,53300,62200,103800,104600,93000,94500,99100,99400,101400,95700,146600,167700,281800,318800,510300,476400,422700,457300,498223,496500,432628
Armenia,1,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000,15000,7000,7000,8000,8000,9620,6158,7000,5000,11283
Australia,10,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,35017,43800,70200,64000,70000,85412,129997,140386,125413,123381,124239,166556,172259,177594,165654,211168,222154,210549,241837,238346,245021,258000,305000,344000,340000,332500,363100,392600,440300,439400,462300,488200,565400,583200,671300,824600,839400,979000,1082000,951000,1049900,972300
Austria,11,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,52300,64239,68254,73380,91292,89581,98787,112915,120737,125822,139379,135983,132103,125553,121444,143269,134519,154000,158000,159700,161544,149673,154126,161100,165083,136800,131500,141800,125100,135700,132000,124000,120000,121000,125000,133000,128000,128000,122000,118000,120000,118000
Azerbaijan,52,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000,34000,34000,34000,16600,20000,13000,13800,2100,9900,16692
Bahamas,12,Nitrogenous fertilizers,1360,Consumption (tonnes),5157,0,0,0,0,0,200,300,400,400,500,500,600,786,524,463,529,600,400,400,500,500,400,300,300,200,200,200,200,200,0,200,200,100,100,100,200,100,100,100,100,400,400
