# File: FAO_ag_items_TRADE.csv
# Title: FAO_ag_items_TRADE
# Unit: Unitless
# Description: Maps FAO crops to item codes, GCAM commodities and crop names in other trade-related databases. Differentiated from PRODSTAT mapping files b/c TRADESTAT includes both crop and animal products in same datasets.
# Sources: FAO and other databases
# Column types: icccc
# ----------
"item.code","GCAM_commodity","prod_commod","pp_commod","bitrade_commod"
953,"Dairy","Ghee, of buffalo milk",,"Ghee, of buffalo milk"
955,"Dairy","Cheese, buffalo milk",,
982,"Dairy","Milk, whole fresh sheep","Milk, whole fresh sheep","Milk, whole fresh sheep"
983,"Dairy","Butter and ghee, sheep milk",,
984,"Dairy","Cheese, sheep milk",,"Cheese, sheep milk"
1020,"Dairy","Milk, whole fresh goat","Milk, whole fresh goat",
1021,"Dairy","Cheese of goat mlk",,
1022,"Dairy","Butter of goat mlk",,
1130,"Dairy","Milk, whole fresh camel","Milk, whole fresh camel",
328,"FiberCrop","Seed cotton","Seed cotton",
329,"FiberCrop","Cottonseed","Cottonseed","Cottonseed"
331,"FiberCrop","Oil, cottonseed",,"Oil, cottonseed"
332,"FiberCrop",,,"Cake, cottonseed"
767,"FiberCrop","Cotton lint","Cotton lint","Cotton lint"
768,"FiberCrop",,,"Cotton, carded, combed"
769,"FiberCrop",,,"Cotton waste"
770,"FiberCrop",,,"Cotton linter"
771,"FiberCrop",,,"Flax fibre raw"
773,"FiberCrop","Flax fibre and tow","Flax fibre and tow","Flax fibre and tow"
774,"FiberCrop",,,"Flax tow waste"
777,"FiberCrop","Hemp tow waste","Hemp tow waste",
778,"FiberCrop","Kapok fibre",,"Kapok fibre"
780,"FiberCrop","Jute","Jute","Jute"
782,"FiberCrop","Bastfibres, other","Bastfibres, other",
788,"FiberCrop","Ramie","Ramie",
789,"FiberCrop","Sisal","Sisal",
800,"FiberCrop","Agave fibres nes","Agave fibres nes",
809,"FiberCrop","Manila fibre (abaca)","Manila fibre (abaca)","Manila fibre (abaca)"
821,"FiberCrop","Fibre crops nes","Fibre crops nes",
639,"FodderGrass",,,"Forage and silage, grasses nes"
651,"FodderGrass",,,"Forage products"
205,"FodderHerb","Vetches","Vetches","Vetches"
640,"FodderHerb",,,"Forage and silage, clover"
643,"FodderHerb",,,"Forage and silage, legumes"
646,"FodderHerb",,,"Turnips for fodder"
858,"FodderHerb",,,"Hay (clover, lucerne,etc)"
859,"FodderHerb",,,"Hay (unspecified)"
169,"MiscCrop",,,"Beet pulp"
176,"MiscCrop","Beans, dry","Beans, dry","Beans, dry"
181,"MiscCrop","Broad beans, horse beans, dry","Broad beans, horse beans, dry","Broad beans, horse beans, dry"
187,"MiscCrop","Peas, dry","Peas, dry","Peas, dry"
191,"MiscCrop","Chick peas","Chick peas","Chick peas"
195,"MiscCrop","Cow peas, dry","Cow peas, dry",
197,"MiscCrop","Pigeon peas","Pigeon peas",
201,"MiscCrop","Lentils","Lentils","Lentils"
203,"MiscCrop","Bambara beans","Bambara beans","Bambara beans"
210,"MiscCrop","Lupins","Lupins",
211,"MiscCrop","Pulses, nes","Pulses, nes",
212,"MiscCrop",,,"Flour, pulses"
294,"MiscCrop",,,"Cake, mustard"
358,"MiscCrop","Cabbages and other brassicas","Cabbages and other brassicas","Cabbages and other brassicas"
366,"MiscCrop","Artichokes","Artichokes","Artichokes"
367,"MiscCrop","Asparagus","Asparagus","Asparagus"
372,"MiscCrop","Lettuce and chicory","Lettuce and chicory","Lettuce and chicory"
373,"MiscCrop","Spinach","Spinach","Spinach"
378,"MiscCrop","Cassava leaves",,
388,"MiscCrop","Tomatoes","Tomatoes","Tomatoes"
390,"MiscCrop",,,"Juice, tomato"
391,"MiscCrop",,,"Tomatoes, paste"
392,"MiscCrop",,,"Tomatoes, peeled"
393,"MiscCrop","Cauliflowers and broccoli","Cauliflowers and broccoli","Cauliflowers and broccoli"
394,"MiscCrop","Pumpkins, squash and gourds","Pumpkins, squash and gourds","Pumpkins, squash and gourds"
397,"MiscCrop","Cucumbers and gherkins","Cucumbers and gherkins","Cucumbers and gherkins"
399,"MiscCrop","Eggplants (aubergines)","Eggplants (aubergines)","Eggplants (aubergines)"
401,"MiscCrop","Chillies and peppers, green","Chillies and peppers, green","Chillies and peppers, green"
402,"MiscCrop","Onions, shallots, green","Onions, shallots, green","Onions, shallots, green"
403,"MiscCrop","Onions, dry","Onions, dry","Onions, dry"
406,"MiscCrop","Garlic","Garlic","Garlic"
407,"MiscCrop","Leeks, other alliaceous vegetables","Leeks, other alliaceous vegetables","Leeks, other alliaceous vegetables"
414,"MiscCrop","Beans, green","Beans, green","Beans, green"
417,"MiscCrop","Peas, green","Peas, green","Peas, green"
420,"MiscCrop","Vegetables, leguminous nes","Vegetables, leguminous nes",
423,"MiscCrop","String beans","String beans",
426,"MiscCrop","Carrots and turnips","Carrots and turnips","Carrots and turnips"
430,"MiscCrop","Okra","Okra",
446,"MiscCrop","Maize, green","Maize, green","Maize, green"
447,"MiscCrop",,,"Sweet corn frozen"
448,"MiscCrop",,,"Sweet corn prep or preserved"
449,"MiscCrop","Mushrooms and truffles","Mushrooms and truffles","Mushrooms and truffles"
451,"MiscCrop",,,"Mushrooms, canned"
459,"MiscCrop","Chicory roots","Chicory roots",
460,"MiscCrop",,,"Vegetables, fresh or dried products nes"
461,"MiscCrop","Carobs","Carobs",
463,"MiscCrop","Vegetables, fresh nes","Vegetables, fresh nes","Vegetables, fresh nes"
464,"MiscCrop",,,"Vegetables, dried nes"
465,"MiscCrop",,,"Vegetables, canned nes"
469,"MiscCrop",,,"Vegetables, dehydrated"
471,"MiscCrop",,,"Vegetables in vinegar"
472,"MiscCrop",,,"Vegetables, preserved nes"
473,"MiscCrop",,,"Vegetables, frozen"
474,"MiscCrop",,,"Vegetables, temporarily preserved"
475,"MiscCrop",,,"Vegetables, preserved, frozen"
476,"MiscCrop",,,"Vegetables, homogenized preparations"
486,"MiscCrop","Bananas","Bananas","Bananas"
489,"MiscCrop","Plantains and others","Plantains","Plantains"
490,"MiscCrop","Oranges","Oranges","Oranges"
491,"MiscCrop",,,"Juice, orange, single strength"
492,"MiscCrop",,,"Juice, orange, concentrated"
495,"MiscCrop","Tangerines, mandarins, clementines, satsumas","Tangerines, mandarins, clementines, satsumas","Tangerines, mandarins, clementines, satsumas"
497,"MiscCrop","Lemons and limes","Lemons and limes","Lemons and limes"
499,"MiscCrop",,,"Juice, lemon, concentrated"
507,"MiscCrop","Grapefruit (inc. pomelos)","Grapefruit (inc. pomelos)","Grapefruit (inc. pomelos)"
509,"MiscCrop",,,"Juice, grapefruit"
510,"MiscCrop",,,"Juice, grapefruit, concentrated"
512,"MiscCrop","Fruit, citrus nes","Fruit, citrus nes",
513,"MiscCrop",,,"Juice, citrus, single strength"
514,"MiscCrop",,,"Juice, citrus, concentrated"
515,"MiscCrop","Apples","Apples","Apples"
521,"MiscCrop","Pears","Pears","Pears"
523,"MiscCrop","Quinces","Quinces","Quinces"
526,"MiscCrop","Apricots","Apricots","Apricots"
527,"MiscCrop",,,"Apricots, dry"
530,"MiscCrop","Cherries, sour","Cherries, sour","Cherries, sour"
531,"MiscCrop","Cherries","Cherries","Cherries"
534,"MiscCrop","Peaches and nectarines","Peaches and nectarines","Peaches and nectarines"
536,"MiscCrop","Plums and sloes","Plums and sloes","Plums and sloes"
537,"MiscCrop",,,"Plums dried (prunes)"
538,"MiscCrop",,,"Juice, plum, single strength"
539,"MiscCrop",,,"Juice, plum, concentrated"
541,"MiscCrop","Fruit, stone nes","Fruit, stone nes",
542,"MiscCrop","Fruit, pome nes","Fruit, pome nes",
544,"MiscCrop","Strawberries","Strawberries","Strawberries"
547,"MiscCrop","Raspberries","Raspberries",
549,"MiscCrop","Gooseberries","Gooseberries","Gooseberries"
550,"MiscCrop","Currants","Currants","Currants"
552,"MiscCrop","Blueberries","Blueberries","Blueberries"
554,"MiscCrop","Cranberries","Cranberries","Cranberries"
558,"MiscCrop","Berries nes","Berries nes",
560,"MiscCrop","Grapes","Grapes","Grapes"
561,"MiscCrop",,,"Raisins"
562,"MiscCrop",,,"Juice, grape"
567,"MiscCrop","Watermelons","Watermelons","Watermelons"
568,"MiscCrop","Melons, other (inc.cantaloupes)","Melons, other (inc.cantaloupes)","Melons, other (inc.cantaloupes)"
569,"MiscCrop","Figs","Figs","Figs"
570,"MiscCrop",,,"Figs dried"
571,"MiscCrop","Mangoes, mangosteens, guavas","Mangoes, mangosteens, guavas","Mangoes, mangosteens, guavas"
572,"MiscCrop","Avocados","Avocados","Avocados"
574,"MiscCrop","Pineapples","Pineapples","Pineapples"
575,"MiscCrop",,,"Pineapples canned"
576,"MiscCrop",,,"Juice, pineapple"
577,"MiscCrop","Dates","Dates","Dates"
580,"MiscCrop",,,"Juice, pineapple, concentrated"
587,"MiscCrop","Persimmons","Persimmons","Persimmons"
591,"MiscCrop","Cashewapple","Cashewapple","Cashewapple"
592,"MiscCrop","Kiwi fruit","Kiwi fruit","Kiwi fruit"
600,"MiscCrop","Papayas","Papayas","Papayas"
603,"MiscCrop","Fruit, tropical fresh nes","Fruit, tropical fresh nes","Fruit, tropical fresh nes"
619,"MiscCrop","Fruit, fresh nes","Fruit, fresh nes","Fruit, fresh nes"
620,"MiscCrop",,,"Fruit, dried nes"
622,"MiscCrop",,,"Juice, fruit nes"
623,"MiscCrop",,,"Fruit, prepared nes"
626,"MiscCrop",,,"Fruit, cooked, homogenized preparations"
656,"MiscCrop","Coffee, green","Coffee, green","Coffee, green"
657,"MiscCrop",,,"Coffee, roasted"
658,"MiscCrop",,,"Coffee, substitutes containing coffee"
659,"MiscCrop",,,"Coffee, extracts"
660,"MiscCrop",,,"Coffee, husks and skins"
661,"MiscCrop","Cocoa, beans","Cocoa, beans","Cocoa, beans"
662,"MiscCrop",,,"Cocoa, paste"
665,"MiscCrop",,,"Cocoa, powder & cake"
666,"MiscCrop",,,"Chocolate products nes"
667,"MiscCrop","Tea","Tea","Tea"
671,"MiscCrop","Mate","Mate","Mate"
672,"MiscCrop",,,"Tea, mate extracts"
674,"MiscCrop",,"Tea nes",
677,"MiscCrop","Hops","Hops","Hops"
687,"MiscCrop","Pepper (piper spp.)","Pepper (piper spp.)","Pepper (piper spp.)"
689,"MiscCrop","Chillies and peppers, dry","Chillies and peppers, dry","Chillies and peppers, dry"
692,"MiscCrop","Vanilla","Vanilla","Vanilla"
693,"MiscCrop","Cinnamon (canella)","Cinnamon (canella)","Cinnamon (canella)"
698,"MiscCrop","Cloves","Cloves","Cloves"
702,"MiscCrop","Nutmeg, mace and cardamoms","Nutmeg, mace and cardamoms","Nutmeg, mace and cardamoms"
711,"MiscCrop","Anise, badian, fennel, coriander","Anise, badian, fennel, coriander","Anise, badian, fennel, coriander"
720,"MiscCrop","Ginger","Ginger","Ginger"
723,"MiscCrop","Spices, nes","Spices, nes","Spices, nes"
748,"MiscCrop","Peppermint","Peppermint","Peppermint"
754,"MiscCrop","Pyrethrum, dried","Pyrethrum, dried","Pyrethrum, dried"
755,"MiscCrop",,,"Pyrethrum, extraction"
826,"MiscCrop","Tobacco, unmanufactured","Tobacco, unmanufactured","Tobacco, unmanufactured"
828,"MiscCrop",,,"Cigarettes"
829,"MiscCrop",,,"Cigars, cheroots"
831,"MiscCrop",,,"Tobacco products nes"
216,"MiscCrop","Brazil nuts, with shell","Brazil nuts, with shell",
217,"MiscCrop","Cashew nuts, with shell","Cashew nuts, with shell","Cashew nuts, with shell"
220,"MiscCrop","Chestnut","Chestnut","Chestnut"
221,"MiscCrop","Almonds, with shell","Almonds, with shell",
222,"MiscCrop","Walnuts, with shell","Walnuts, with shell","Walnuts, with shell"
223,"MiscCrop","Pistachios","Pistachios","Pistachios"
224,"MiscCrop","Kola nuts","Kola nuts","Kola nuts"
225,"MiscCrop","Hazelnuts, with shell","Hazelnuts, with shell",
226,"MiscCrop","Areca nuts","Areca nuts",
229,"MiscCrop",,,"Brazil nuts, shelled"
230,"MiscCrop",,,"Cashew nuts, shelled"
231,"MiscCrop",,,"Almonds shelled"
232,"MiscCrop",,,"Walnuts, shelled"
233,"MiscCrop",,,"Hazelnuts, shelled"
234,"MiscCrop","Nuts, nes","Nuts, nes","Nuts, nes"
235,"MiscCrop",,,"Nuts, prepared (exc. groundnuts)"
236,"OilCrop","Soybeans","Soybeans","Soybeans"
237,"OilCrop","Oil, soybean",,"Oil, soybean"
238,"OilCrop",,,"Cake, soybeans"
239,"OilCrop",,,"Soya sauce"
240,"OilCrop",,,"Soya paste"
241,"OilCrop",,,"Soya curd"
242,"OilCrop","Groundnuts, with shell","Groundnuts, with shell",
243,"OilCrop",,,"Groundnuts, shelled"
244,"OilCrop","Oil, groundnut",,"Oil, groundnut"
245,"OilCrop",,,"Cake, groundnuts"
247,"OilCrop",,,"Peanut butter"
259,"OilCrop",,,"Cake, palm kernel"
260,"OilCrop","Olives","Olives","Olives"
261,"OilCrop","Oil, olive, virgin",,"Oil, olive, virgin"
262,"OilCrop",,,"Olives preserved"
263,"OilCrop","Karite nuts (sheanuts)","Karite nuts (sheanuts)",
264,"OilCrop",,,"Butter of karite nuts"
265,"OilCrop","Castor oil seed","Castor oil seed",
266,"OilCrop",,,"Oil, castor beans"
267,"OilCrop","Sunflower seed","Sunflower seed","Sunflower seed"
268,"OilCrop","Oil, sunflower",,"Oil, sunflower"
269,"OilCrop",,,"Cake, sunflower"
270,"OilCrop","Rapeseed","Rapeseed","Rapeseed"
271,"OilCrop","Oil, rapeseed",,"Oil, rapeseed"
272,"OilCrop",,,"Cake, rapeseed"
274,"OilCrop",,,"Oil, olive residues"
275,"OilCrop","Tung nuts","Tung nuts",
277,"OilCrop","Jojoba seed","Jojoba seed",
280,"OilCrop","Safflower seed","Safflower seed",
281,"OilCrop","Oil, safflower",,"Oil, safflower"
282,"OilCrop",,,"Cake, safflower"
289,"OilCrop","Sesame seed","Sesame seed","Sesame seed"
290,"OilCrop","Oil, sesame",,"Oil, sesame"
291,"OilCrop",,,"Cake, sesame seed"
292,"OilCrop","Mustard seed","Mustard seed","Mustard seed"
295,"OilCrop",,,"Flour, mustard"
296,"OilCrop","Poppy seed","Poppy seed","Poppy seed"
297,"OilCrop",,,"Oil, poppy"
299,"OilCrop","Melonseed","Melonseed",
305,"MiscCrop","Tallowtree seed","Tallowtree seed",
306,"OilCrop",,"Vegetable tallow","Vegetable tallow"
307,"OilCrop",,"Oil, stillingia",
310,"OilCrop","Kapok fruit","Kapok fruit",
311,"OilCrop","Kapokseed in shell",,"Kapokseed in shell"
312,"OilCrop",,,"Kapokseed shelled"
313,"OilCrop",,,"Oil, kapok"
314,"OilCrop",,,"Cake, kapok"
333,"OilCrop","Linseed","Linseed","Linseed"
334,"OilCrop","Oil, linseed",,"Oil, linseed"
335,"OilCrop",,,"Cake, linseed"
336,"OilCrop","Hempseed","Hempseed",
338,"OilCrop",,,"Cake, hempseed"
339,"OilCrop","Oilseeds nes","Oilseeds nes","Oilseeds nes"
340,"OilCrop",,,"Oil, vegetable origin nes"
664,"OilCrop",,,"Cocoa, butter"
737,"OilCrop",,,"Oil, citronella"
753,"OilCrop",,,"Oil, essential nes"
1241,"OilCrop",,,"Margarine, liquid"
1242,"OilCrop","Margarine, short",,"Margarine, short"
1274,"OilCrop",,,"Oil, boiled etc"
44,"OtherGrain","Barley","Barley","Barley"
46,"OtherGrain",,,"Barley, pearled"
49,"OtherGrain",,,"Malt"
68,"OtherGrain",,"Popcorn","Popcorn"
71,"OtherGrain","Rye","Rye","Rye"
75,"OtherGrain","Oats","Oats","Oats"
76,"OtherGrain",,,"Oats rolled"
79,"OtherGrain","Millet","Millet","Millet"
81,"OtherGrain",,,"Bran, millet"
83,"OtherGrain","Sorghum","Sorghum","Sorghum"
85,"OtherGrain",,,"Bran, sorghum"
89,"OtherGrain","Buckwheat","Buckwheat","Buckwheat"
91,"OtherGrain",,,"Bran, buckwheat"
92,"OtherGrain","Quinoa","Quinoa",
94,"OtherGrain","Fonio","Fonio","Fonio"
95,"OtherGrain",,,"Flour, fonio"
96,"OtherGrain",,,"Bran, fonio"
97,"OtherGrain","Triticale","Triticale","Triticale"
101,"OtherGrain","Canary seed","Canary seed","Canary seed"
103,"OtherGrain","Grain, mixed","Grain, mixed","Grain, mixed"
104,"OtherGrain",,,"Flour, mixed grain"
108,"OtherGrain","Cereals, nes","Cereals, nes",
111,"OtherGrain",,,"Flour, cereals"
113,"OtherGrain",,,"Cereal preparations, nes"
868,"OtherMeat_Fish",,,"Offals, edible, cattle"
869,"OtherMeat_Fish",,,"Fat, cattle"
978,"OtherMeat_Fish",,,"Offals, sheep,edible"
994,"OtherMeat_Fish",,,"Grease incl. lanolin wool"
1018,"OtherMeat_Fish",,,"Offals, edible, goats"
1036,"OtherMeat_Fish",,,"Offals, pigs, edible"
1037,"OtherMeat_Fish",,,"Fat, pigs"
1043,"OtherMeat_Fish","Lard",,"Lard"
1059,"OtherMeat_Fish",,,"Offals, liver chicken"
1074,"OtherMeat_Fish",,,"Offals, liver geese"
1075,"OtherMeat_Fish",,,"Offals, liver duck"
1089,"OtherMeat_Fish","Meat, bird nes","Meat, bird nes",
1097,"OtherMeat_Fish","Meat, horse","Meat, horse","Meat, horse"
1108,"OtherMeat_Fish","Meat, ass","Meat, ass","Meat, ass"
1111,"OtherMeat_Fish","Meat, mule","Meat, mule",
1127,"OtherMeat_Fish","Meat, camel","Meat, camel",
1129,"OtherMeat_Fish",,,"Fat, camels"
1141,"OtherMeat_Fish","Meat, rabbit","Meat, rabbit","Meat, rabbit"
1151,"OtherMeat_Fish","Meat, other rodents","Meat, other rodents",
1158,"OtherMeat_Fish","Meat, other camelids","Meat, other camelids",
1159,"OtherMeat_Fish",,,"Offals, other camelids"
1163,"OtherMeat_Fish","Meat, game","Meat, game","Meat, game"
1164,"OtherMeat_Fish",,,"Meat, dried nes"
1166,"OtherMeat_Fish","Meat, nes","Meat, nes","Meat, nes"
1167,"OtherMeat_Fish","Offals, nes",,
1168,"OtherMeat_Fish",,,"Oils, fats of animal nes"
1176,"OtherMeat_Fish","Snails, not sea","Snails, not sea",
1225,"OtherMeat_Fish","Tallow",,"Tallow"
1243,"OtherMeat_Fish",,,"Fat, nes, prepared"
249,"PalmFruit","Coconuts","Coconuts","Coconuts"
250,"PalmFruit",,,"Coconuts, desiccated"
251,"PalmFruit",,,"Copra"
252,"PalmFruit","Oil, coconut (copra)",,"Oil, coconut (copra)"
254,"PalmFruit","Oil, palm fruit","Oil, palm fruit",
256,"PalmFruit","Palm kernels","Palm kernels",
257,"PalmFruit","Oil, palm","Oil, palm","Oil, palm"
258,"PalmFruit","Oil, palm kernel",,"Oil, palm kernel"
1276,"PalmFruit",,,"Fatty acids"
1277,"PalmFruit",,,"Fatty substance residues"
1035,"Pork","Meat, pig","Meat, pig","Meat, pig"
1038,"Pork",,,"Meat, pork"
1039,"Pork",,,"Bacon and ham"
1041,"Pork",,,"Meat, pig sausages"
1042,"Pork",,,"Meat, pig, preparations"
1058,"Poultry","Meat, chicken","Meat, chicken","Meat, chicken"
1060,"Poultry",,,"Fat, liver prepared (foie gras)"
1061,"Poultry",,,"Meat, chicken, canned"
1062,"Poultry","Eggs, hen, in shell","Eggs, hen, in shell","Eggs, hen, in shell"
1063,"Poultry",,,"Eggs, liquid"
1064,"Poultry",,,"Eggs, dried"
1069,"Poultry","Meat, duck","Meat, duck","Meat, duck"
1073,"Poultry","Meat, goose and guinea fowl","Meat, goose and guinea fowl","Meat, goose and guinea fowl"
1080,"Poultry","Meat, turkey","Meat, turkey","Meat, turkey"
1091,"Poultry","Eggs, other bird, in shell","Eggs, other bird, in shell","Eggs, other bird, in shell"
27,"Rice","Rice, paddy","Rice, paddy",
30,"Rice",,,"Rice - total  (Rice milled equivalent)"
36,"Rice",,,"Oil, rice bran"
37,"Rice",,,"Cake, rice bran"
116,"Root_Tuber","Potatoes","Potatoes","Potatoes"
117,"Root_Tuber",,,"Flour, potatoes"
118,"Root_Tuber",,,"Potatoes, frozen"
120,"Root_Tuber",,,"Potato offals"
122,"Root_Tuber","Sweet potatoes","Sweet potatoes","Sweet potatoes"
125,"Root_Tuber","Cassava","Cassava","Cassava"
128,"Root_Tuber",,,"Cassava dried"
129,"Root_Tuber",,,"Starch, cassava"
135,"Root_Tuber","Yautia (cocoyam)","Yautia (cocoyam)",
136,"Root_Tuber","Taro (cocoyam)","Taro (cocoyam)",
137,"Root_Tuber","Yams","Yams",
149,"Root_Tuber","Roots and tubers, nes","Roots and tubers, nes","Roots and tubers, nes"
150,"Root_Tuber",,,"Flour, roots and tubers nes"
977,"SheepGoat","Meat, sheep","Meat, sheep","Meat, sheep"
1017,"SheepGoat","Meat, goat","Meat, goat","Meat, goat"
156,"SugarCrop","Sugar cane","Sugar cane",
157,"SugarCrop","Sugar beet","Sugar beet","Sugar beet"
162,"SugarCrop","Sugar Raw Centrifugal",,"Sugar Raw Centrifugal"
163,"SugarCrop",,,"Sugar non-centrifugal"
164,"SugarCrop",,,"Sugar refined"
165,"SugarCrop","Molasses",,"Molasses"
166,"SugarCrop",,,"Fructose and syrup, other"
168,"SugarCrop",,,"Sugar confectionery"
171,"SugarCrop",,,"Sugar flavoured"
172,"SugarCrop",,,"Glucose and dextrose"
15,"Wheat","Wheat","Wheat","Wheat"
16,"Wheat",,,"Flour, wheat"
17,"Wheat",,,"Bran, wheat"
18,"Wheat",,,"Macaroni"
20,"Wheat",,,"Bread"
21,"Wheat",,,"Bulgur"
22,"Wheat",,,"Pastry"
41,"Wheat",,,"Cereals, breakfast"
110,"Wheat",,,"Wafers"
114,"Wheat",,,"Mixes and doughs"
115,"Wheat",,,"Food preparations, flour, malt extract"
