# File: FAO_For_Exp_m3_FORESTAT.csv
# Title: FAO forestry exports by country, year
# Units: m3
countries,country codes,item,item codes,element,element codes,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,2,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9854,2033,2033,2033,2033,2058,2059,2071,2071,10033,34107,100020,100020,10331,8845,2602,667,413,11613
Albania,3,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,1112,2402,1000,1000,1000,6828,17,379,379,25700,96600,56767,56767,56767,56767,56767,56767,56767,56767,56767
Algeria,4,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1196,,100,,0,0,0,0,0,0,0,0,0,75,517,517,517,241,944,384,317,317
Andorra,6,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,569,321,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112
Angola,7,Roundwood + (Total),1861,Export Quantity (m3),91,94100,94100,103800,103400,107400,108900,171000,180200,151800,133100,148100,219400,126300,,,,,,,,,,,111,891,110,174,2606,500,,1900,1900,1700,1700,200,2024,722,3626,6039,1300,715,824,12270,12270,4468,2736,6439,5765,6015,7074
Argentina,9,Roundwood + (Total),1861,Export Quantity (m3),91,16300,17800,18500,6300,6300,5200,400,1200,900,500,200,100,400,,,700,1900,2900,2300,2300,1800,2700,2900,2900,4435,8518,397940,546000,545228,330060,556208,196000,639800,1119000,604400,491100,453000,228000,123000,25000,36000,36000,39136,47062,36943,124448,80392,19943,49943,26943
Armenia,1,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,13,0,0,0,1000,1000,4000,700,1500,1500,2622,0,700,15,9
Australia,10,Roundwood + (Total),1861,Export Quantity (m3),91,23400,14800,21400,16800,12100,37500,29500,13000,12400,25900,13200,6700,12500,56400,55800,2100,3900,7200,38000,3400,5500,8400,7000,4800,6300,27300,32500,5400,15498,149034,183318,241700,417900,296900,345900,694800,489100,972000,1127000,998000,1280000,1275000,1048283,748582,1064658,1064679,942855,1144822,1451210,2005284
Austria,11,Roundwood + (Total),1861,Export Quantity (m3),91,404900,403900,344500,293900,335500,373500,379200,456100,454500,436600,399100,441000,606100,582900,709500,728400,753000,819500,842800,788900,659800,524600,627500,570400,534700,815400,600300,706600,1193315,819808,607656,553000,659000,638000,638000,828000,803000,1050000,942000,957000,893000,841000,1037000,901000,772000,921000,1013000,805400,1030625,1081825
Azerbaijan,52,Roundwood + (Total),1861,Export Quantity (m3),91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293,1538,1500,72,272,272,0,1611,1600,900,0,0,0,0,0,10,10,10,10,10
