# File: FAO_USA_For_Exp_t_USD_FORESTAT.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Title: FAO USA historical forests export qunatity and export value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Units: Export Quantity in m3; Export Value in 1000 US$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
countries,country.codes,item,item.codes,element,element.codes,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
United States of America,231,Roundwood + (Total),1861,Export Quantity (m3),91,2636100,2660100,4542700,5161300,5625300,6670200,9280800,11885400,11076800,12778700,10718700,14638100,14870200,13268400,13385300,15919700,15294300,16331700,18635208,15800900,12593800,15523200,16828100,16726900,18381308,17488800,19509396,22647096,22495200,21666105,20700384,17341266,13107391,12355000,12945000,12077000,10991000,12544900,11916100,12156600,11610198,11298498,10442146,10515348,9937704,9772701,10064967,10420066,9849584,9898069,11916434
United States of America,231,Roundwood + (Total),1861,Export Value (1000 US$),92,54277,61317,79823,91929,124381,137381,202383,287098,303246,368358,301357,445020,825070,745835,751020,948086,1001676,1219731,1793702,1624207,1138497,1291272,1199030,1212443,1293628,1268566,1686484,2292973,2447770,2491915,2203542,2257888,2492785,2295941,2312986,2152502,1690067,1346556,1355006,1448989,1261747,1229127,1241214,1460554,1458585,1470431,1683331,1654509,1363768,1858906,2260677
