# File: FAO_an_Imp_t_SUA.csv
# Title: FAO animal imports by country, item, year
# Units: tons
# Column types: cicicinnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
countries,country codes,item,item codes,element,element codes,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Afghanistan,2,Bovine Meat,2731,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610,620,790,148,150,20,50,0,0,0,0,0,0,49,0,85,378,1674,3642,3869,3515,1301,1279,2397,2660,14438
Afghanistan,2,"Butter, Ghee",2740,Import Quantity,5610,23,6,17,34,33,29,32,31,100,21,169,195,230,300,5,6,2,3,3,12,0,0,0,22,2,98,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,57,73,61,219,97,110,167,797,143,17
Afghanistan,2,Cheese,2741,Import Quantity,5610,3,5,7,7,62,24,14,14,56,4,8,11,2,4,4,3,3,5,0,1,0,0,0,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,239,293,620,371,360,573,22,113,164,289
Afghanistan,2,Cream,2743,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,1208,2946,3606
Afghanistan,2,Eggs,2744,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27,14,0,344,0,0,0,12,0,0,0,0,0,0,0,0,3519,5671,2809,1392,6849,12154,17308,16106,12669,20705,13437
Afghanistan,2,"Fats, Animals, Raw",2737,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250,875,1250,113,375,0,0,0,0,0,0,0,0,0,0,0,0,0,1e4,5e3,3e3,500,1100,1e3,1e3,284,77,2,3,1,359,294,432,760,510,510
Afghanistan,2,Freshwater Fish,2761,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
Afghanistan,2,Honey,2745,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,22,66,109,20,53,22,769,58,1
Afghanistan,2,"Meat, Other",2735,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588,294,235,353,353,706,187,187,0,0,0,0,0,0,0,0,0,0,0,0,0,104,16,29,3491,44,25,734,0,0,0,0
Afghanistan,2,Milk - Excluding Butter,2848,Import Quantity,5610,1829,4501,1749,3876,7435,7500,2072,3764,12075,3388,3255,4531,5332,8537,2761,4339,8743,11278,2255,14400,14894,14894,15957,32173,8011,26665,21411,16840,11643,13120,21723,17466,19149,26064,10638,10638,10638,7447,4255,3442,3477,23600,79442,41558,28449,49778,37840,51200,66512,133233,102449,229406
Afghanistan,2,"Milk, Skimmed",2739,Import Quantity,5610,1700,4200,1600,3600,6600,6900,1860,3450,11e3,3160,3010,4190,5e3,8e3,2570,4060,8200,10570,2120,13530,14e3,14e3,15e3,30230,7530,24940,19750,13950,10610,7e3,18540,16e3,18e3,24500,1e4,1e4,1e4,7e3,4e3,3100,3e3,20110,68e3,26560,14330,21890,14010,22180,41780,101600,75430,205940
Afghanistan,2,"Milk, Whole",2738,Import Quantity,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,2e3,356,5673,2e3,444,0,0,0,0,0,0,0,144,286,1560,5508,11349,9071,24017,20536,23784,21919,24395,21111,8394
