EPA_Category,sector
Total Actual Emissions of Halocarbons (by chemical) and SF6,
C.   Metal Production ,
Aluminium Production,metals
SF6 Used in Aluminium Foundries,metals
SF6 Used in Magnesium Foundries,metals
E.   Production of Halocarbons and SF6,
1. By-product Emissions,
Production of HCFC-22,hcfc_22
Other ,
2. Fugitive Emissions,
"3. Other (as specified in table 2(II).C,E)",
F(a).  Consumption of Halocarbons and SF6 (actual emissions - Tier 2),
1.  Refrigeration and Air Conditioning Equipment,refrigeration
2.  Foam Blowing,foams
3.  Fire Extinguishers,fire exting
4.  Aerosols/Metered Dose Inhalers,aerosols
5.  Solvents,solvents
6.  Other applications using ODS(3) substitutes,other
7.  Semiconductor Manufacture,semiconductors
8.  Electrical Equipment,elect_td
9.  Other (as specified in table 2(II)F),
Foam manufacturing,foams
Other non-specified,other
G.   Other (please specify),
Other non-specified,
Storage and Transport,
Other Industrial Processes,
