"","UCD_region","UCD_sector","mode","size.class","variable","Year","Subsector","unit","UCD_technology","UCD_fuel","median","Value"
"42","USA","Freight","Truck","Truck (4.5-12t)","CAPEX and non-fuel OPEX","X2005","Medium Duty Trucks","2005$/veh","BEV","Electricity","8.25",168609.290925607
"43","USA","Freight","Truck","Truck (>12t)","CAPEX and non-fuel OPEX","X2005","Heavy Duty Trucks","2005$/veh","BEV","Electricity","22",463098.762684935
"44","Western Europe","Freight","Truck","Truck (0-3.5t)","CAPEX and non-fuel OPEX","X2005","Light Duty Trucks","2005$/veh","BEV","Electricity","1.75",68669.4956868743
"45","Western Europe","Freight","Truck","Truck (16-32t)","CAPEX and non-fuel OPEX","X2005","Heavy Duty Trucks","2005$/veh","BEV","Electricity","24",463098.762684935
"46","Western Europe","Freight","Truck","Truck (3.5-16t)","CAPEX and non-fuel OPEX","X2005","Medium Duty Trucks","2005$/veh","BEV","Electricity","9.75",200735.415117534
"47","Western Europe","Freight","Truck","Truck (>32t)","CAPEX and non-fuel OPEX","X2005","Heavy Duty Trucks","2005$/veh","BEV","Electricity","32",463098.762684935
"48","Brazil","Freight","Truck","Truck (0-1t)","CAPEX and non-fuel OPEX","X2005","Light Duty Trucks","2005$/veh","BEV","Electricity","0.5",68669.4956868743
"49","Brazil","Freight","Truck","Truck (6-15t)","CAPEX and non-fuel OPEX","X2005","Medium Duty Trucks","2005$/veh","BEV","Electricity","10.5",216798.477213497
"50","Brazil","Freight","Truck","Truck (>15t)","CAPEX and non-fuel OPEX","X2005","Heavy Duty Trucks","2005$/veh","BEV","Electricity","23.5",463098.762684935
"51","Africa","Freight","Truck","Truck (0-2t)","CAPEX and non-fuel OPEX","X2020","Light Duty Trucks","2005$/veh","BEV","Electricity","1",49211.4528448589
"52","Africa","Freight","Truck","Truck (2-5t)","CAPEX and non-fuel OPEX","X2020","Light Duty Trucks","2005$/veh","BEV","Electricity","3.5",69903.2896481684
"53","Africa","Freight","Truck","Truck (5-9t)","CAPEX and non-fuel OPEX","X2020","Medium Duty Trucks","2005$/veh","BEV","Electricity","7",127840.432697435
"54","Africa","Freight","Truck","Truck (9-16t)","CAPEX and non-fuel OPEX","X2020","Heavy Duty Trucks","2005$/veh","BEV","Electricity","12.5",228270.796459363
"55","Australia_NZ","Freight","Truck","Truck (0-1t)","CAPEX and non-fuel OPEX","X2020","Light Duty Trucks","2005$/veh","BEV","Electricity","0.5",49211.4528448589
"56","Australia_NZ","Freight","Truck","Truck (1-6t)","CAPEX and non-fuel OPEX","X2020","Light Duty Trucks","2005$/veh","BEV","Electricity","3.5",69903.2896481684
"57","Australia_NZ","Freight","Truck","Truck (6-30t)","CAPEX and non-fuel OPEX","X2020","Heavy Duty Trucks","2005$/veh","BEV","Electricity","18",331461.831346987
"58","Canada","Freight","Truck","Truck (0-4.5t)","CAPEX and non-fuel OPEX","X2020","Light Duty Trucks","2005$/veh","BEV","Electricity","2.25",49211.4528448589
"59","Canada","Freight","Truck","Truck (4.5-15t)","CAPEX and non-fuel OPEX","X2020","Medium Duty Trucks","2005$/veh","BEV","Electricity","9.75",176675.279015551
"60","Canada","Freight","Truck","Truck (>15t)","CAPEX and non-fuel OPEX","X2020","Heavy Duty Trucks","2005$/veh","BEV","Electricity","23.5",406509.856719805
"61","China","Freight","Truck","Truck (0-6t)","CAPEX and non-fuel OPEX","X2020","Light Duty Trucks","2005$/veh","BEV","Electricity","3",61626.5549268446
"62","China","Freight","Truck","Truck (6-14t)","CAPEX and non-fuel OPEX","X2020","Medium Duty Trucks","2005$/veh","BEV","Electricity","10",181365.780601352
