"","UCD_region","UCD_sector","mode","size.class","variable","Year","Subsector","unit","UCD_technology","UCD_fuel","median","Value"
"164","Eastern Europe","Freight","Truck","Truck (0-3.5t)","CAPEX and non-fuel OPEX","X2050","Light Duty Trucks","2005$/veh","BEV","Electricity","1.75",35748.229116236
"165","Eastern Europe","Freight","Truck","Truck (16-32t)","CAPEX and non-fuel OPEX","X2050","Heavy Duty Trucks","2005$/veh","BEV","Electricity","24",321951.721369609
"166","Eastern Europe","Freight","Truck","Truck (3.5-16t)","CAPEX and non-fuel OPEX","X2050","Medium Duty Trucks","2005$/veh","BEV","Electricity","9.75",140723.35150684
"167","Eastern Europe","Freight","Truck","Truck (>32t)","CAPEX and non-fuel OPEX","X2050","Heavy Duty Trucks","2005$/veh","BEV","Electricity","32",321951.721369609
"168","Former Soviet Union","Freight","Truck","Truck (0-3.5t)","CAPEX and non-fuel OPEX","X2050","Light Duty Trucks","2005$/veh","BEV","Electricity","1.75",35748.229116236
"169","Former Soviet Union","Freight","Truck","Truck (16-32t)","CAPEX and non-fuel OPEX","X2050","Heavy Duty Trucks","2005$/veh","BEV","Electricity","24",321951.721369609
"170","Former Soviet Union","Freight","Truck","Truck (3.5-16t)","CAPEX and non-fuel OPEX","X2050","Medium Duty Trucks","2005$/veh","BEV","Electricity","9.75",140723.35150684
"171","Former Soviet Union","Freight","Truck","Truck (>32t)","CAPEX and non-fuel OPEX","X2050","Heavy Duty Trucks","2005$/veh","BEV","Electricity","32",321951.721369609
"172","India","Freight","Truck","Truck (0-2t)","CAPEX and non-fuel OPEX","X2050","Light Duty Trucks","2005$/veh","BEV","Electricity","1",35748.229116236
"173","India","Freight","Truck","Truck (2-5t)","CAPEX and non-fuel OPEX","X2050","Light Duty Trucks","2005$/veh","BEV","Electricity","3.5",52994.8735803643
"174","India","Freight","Truck","Truck (5-9t)","CAPEX and non-fuel OPEX","X2050","Medium Duty Trucks","2005$/veh","BEV","Electricity","7",101285.478079924
"175","India","Freight","Truck","Truck (9-16t)","CAPEX and non-fuel OPEX","X2050","Heavy Duty Trucks","2005$/veh","BEV","Electricity","12.5",181407.271271951
"176","Japan","Freight","Truck","Truck (0-1t)","CAPEX and non-fuel OPEX","X2050","Light Duty Trucks","2005$/veh","BEV","Electricity","0.5",35748.229116236
"177","Japan","Freight","Truck","Truck (1-6t)","CAPEX and non-fuel OPEX","X2050","Light Duty Trucks","2005$/veh","BEV","Electricity","3.5",52994.8735803643
"178","Korea","Freight","Truck","Truck","CAPEX and non-fuel OPEX","X2050","Heavy Duty Trucks","2005$/veh","BEV","Electricity","16",233186.805518457
"179","Latin America","Freight","Truck","Truck (0-1t)","CAPEX and non-fuel OPEX","X2050","Light Duty Trucks","2005$/veh","BEV","Electricity","0.5",35748.229116236
"180","Latin America","Freight","Truck","Truck (6-15t)","CAPEX and non-fuel OPEX","X2050","Medium Duty Trucks","2005$/veh","BEV","Electricity","10.5",151818.965988234
"181","Latin America","Freight","Truck","Truck (>15t)","CAPEX and non-fuel OPEX","X2050","Heavy Duty Trucks","2005$/veh","BEV","Electricity","23.5",321951.721369609
