"","UCD_region","Subsector","UCD_sector","mode","size.class","variable","unit","UCD_technology","UCD_fuel","Year","Value","ratio","Value_diff"
"1","Africa","Buses","Passenger","Bus","All","CAPEX and non-fuel OPEX","2005$/veh","BEV","Electricity","X2005",775679.368199009,0.981948372344906,761677.093064542
"2","Australia_NZ","Buses","Passenger","Bus","All","CAPEX and non-fuel OPEX","2005$/veh","BEV","Electricity","X2005",775679.368199009,0.981948372344906,761677.093064542
"3","Brazil","Buses","Passenger","Bus","All","CAPEX and non-fuel OPEX","2005$/veh","BEV","Electricity","X2005",775679.368199009,0.981956779589626,761683.614390814
"4","Canada","Buses","Passenger","Bus","All","CAPEX and non-fuel OPEX","2005$/veh","BEV","Electricity","X2005",775679.368199009,1.08430110114929,841069.993076968
"5","China","Buses","Passenger","Bus","Heavy Bus","CAPEX and non-fuel OPEX","2005$/veh","BEV","Electricity","X2005",775679.368199009,0.981948372344906,761677.093064542
"6","China","Buses","Passenger","Bus","Light Bus","CAPEX and non-fuel OPEX","2005$/veh","BEV","Electricity","X2005",775679.368199009,0.654612190865877,507769.170626212
"7","Eastern Europe","Buses","Passenger","Bus","All","CAPEX and non-fuel OPEX","2005$/veh","BEV","Electricity","X2005",775679.368199009,1.91605993140381,1486248.15702275
"8","Former Soviet Union","Buses","Passenger","Bus","All","CAPEX and non-fuel OPEX","2005$/veh","BEV","Electricity","X2005",775679.368199009,1.88049822492328,1458663.67500785
"9","India","Buses","Passenger","Bus","All","CAPEX and non-fuel OPEX","2005$/veh","BEV","Electricity","X2005",775679.368199009,0.981948372344906,761677.093064542
"10","Japan","Buses","Passenger","Bus","All","CAPEX and non-fuel OPEX","2005$/veh","BEV","Electricity","X2005",775679.368199009,2.10566219387448,1633318.7201851
"11","Korea","Buses","Passenger","Bus","All","CAPEX and non-fuel OPEX","2005$/veh","BEV","Electricity","X2005",775679.368199009,1,775679.368199009
"12","Latin America","Buses","Passenger","Bus","All","CAPEX and non-fuel OPEX","2005$/veh","BEV","Electricity","X2005",775679.368199009,0.981948372344906,761677.093064542
"13","Middle East","Buses","Passenger","Bus","All","CAPEX and non-fuel OPEX","2005$/veh","BEV","Electricity","X2005",775679.368199009,0.981948372344906,761677.093064542
"14","Southeast Asia","Buses","Passenger","Bus","All","CAPEX and non-fuel OPEX","2005$/veh","BEV","Electricity","X2005",775679.368199009,0.981948372344906,761677.093064542
"15","USA","Buses","Passenger","Bus","All","CAPEX and non-fuel OPEX","2005$/veh","BEV","Electricity","X2005",775679.368199009,1,775679.368199009
"16","Western Europe","Buses","Passenger","Bus","All","CAPEX and non-fuel OPEX","2005$/veh","BEV","Electricity","X2005",775679.368199009,1.00980805102593,783287.271022069
"17","Africa","Buses","Passenger","Bus","All","CAPEX and non-fuel OPEX","2005$/veh","BEV","Electricity","X2020",729986.836680355,0.981948372344906,716809.386111482
"18","Australia_NZ","Buses","Passenger","Bus","All","CAPEX and non-fuel OPEX","2005$/veh","BEV","Electricity","X2020",729986.836680355,0.981948372344906,716809.386111482
"19","Brazil","Buses","Passenger","Bus","All","CAPEX and non-fuel OPEX","2005$/veh","BEV","Electricity","X2020",729986.836680355,0.981956779589626,716815.52328946
"20","Canada","Buses","Passenger","Bus","All","CAPEX and non-fuel OPEX","2005$/veh","BEV","Electricity","X2020",729986.836680355,1.08430110114929,791525.530836994
