supplysector,subsector,stub.technology,EPA_sector,EDGAR_agg_sector,MAC_type1
electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,elect_td,industry_processes,ElectTD
urban processes,aerosols,aerosols,aerosols,aerosols,Aerosols
urban processes,fire_exting,fire_exting,fire exting,fire exting,FireExt
industrial processes,foams,foams,foams,foams,Foams
industrial processes,solvents,solvents,solvents,solvents,Solvents
industrial processes,HCFC_22_Prod,HCFC_22_Prod,hcfc_22,industry_processes,HFC23
industrial processes,semiconductors,semiconductors,semiconductors,semiconductors,Semiconductors
industrial processes,Al_Mg,Al_Mg,metals,metals,Aluminum
resid cooling,electricity,electricity,refrigeration,refrigeration,Refrigeration
comm cooling,electricity,electricity,refrigeration,refrigeration,Refrigeration
industrial processes,other industrial processes,other industrial processes,other,industry_processes,
