Gas,Sector
C2F6,refrigeration
CF4,na
HFC125,fire exting
HFC134a,fire exting
HFC143a,refrigeration
HFC152a,aerosols
HFC227ea,fire exting
HFC23,fire exting
HFC236fa,fire exting
HFC245fa,foams
HFC32,refrigeration
HFC365mfc,foams
HFC43,solvents
SF6,industry_processes
