Generation Sector Input,,,,,,,,,,,,,,
Note: This worksheet creates four generation sectors,,,,,,,,,,,,,,
"         These sectors divide electricity technologies into base load, intermediate, and peaking technologies",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CREATE NEW GENERATION SECTORS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Units, price, output",,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,
402,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
supplysector,input-unit,output-unit,price-unit,logit-exponent,,,,,,,,,,
base load generation,EJ,EJ,1975$/GJ,-3,,,,,,,,,,
intermediate generation,EJ,EJ,1975$/GJ,-3,,,,,,,,,,
subpeak generation,EJ,EJ,1975$/GJ,-3,,,,,,,,,,
peak generation,EJ,EJ,1975$/GJ,-3,,,,,,,,,,
,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
region,supplysector,object-meta-info,value,,,,,,,,,,,
USA,base load generation,electricity-reserve-margin,0.15,,,,,,,,,,,
USA,base load generation,average-grid-capacity-factor,0.6,,,,,,,,,,,
USA,intermediate generation,electricity-reserve-margin,0.15,,,,,,,,,,,
USA,intermediate generation,average-grid-capacity-factor,0.6,,,,,,,,,,,
USA,subpeak generation,electricity-reserve-margin,0.15,,,,,,,,,,,
USA,subpeak generation,average-grid-capacity-factor,0.6,,,,,,,,,,,
USA,peak generation,electricity-reserve-margin,0.15,,,,,,,,,,,
USA,peak generation,average-grid-capacity-factor,0.6,,,,,,,,,,,
,,,,,,,,,,,,,,
CREATE SUBSECTORS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"logitexp, fuelpref and fixed investment",,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,
404,,,,,,,,,,,,,,
,,1975 fillout,1975 fillout,1975 fillout,,,,,,,,,,
supplysector,subsector,logitexp,fuelprefElasticity,FixedInvestment,,,,,,,,,,
base load generation,hydro,-10,0,-1,,,,,,,,,,
base load generation,coal,-10,0,-1,,,,,,,,,,
intermediate generation,coal,-10,0,-1,,,,,,,,,,
base load generation,gas,-10,0,-1,,,,,,,,,,
intermediate generation,gas,-10,0,-1,,,,,,,,,,
subpeak generation,gas,-10,0,-1,,,,,,,,,,
peak generation,gas,-10,0,-1,,,,,,,,,,
intermediate generation,oil,-10,0,-1,,,,,,,,,,
subpeak generation,oil,-10,0,-1,,,,,,,,,,
peak generation,oil,-10,0,-1,,,,,,,,,,
base load generation,biomass,-10,0,-1,,,,,,,,,,
intermediate generation,biomass,-10,0,-1,,,,,,,,,,
subpeak generation,biomass,-10,0,-1,,,,,,,,,,
base load generation,nuclear,-10,0,-1,,,,,,,,,,
base load generation,geothermal,-10,0,-1,,,,,,,,,,
base load generation,solar,-10,0,-1,,,,,,,,,,
intermediate generation,solar,-10,0,-1,,,,,,,,,,
subpeak generation,solar,-10,0,-1,,,,,,,,,,
peak generation,solar,-10,0,-1,,,,,,,,,,
base load generation,wind,-10,0,-1,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,
409,,,,,,,,,,,,,,
,,,interpolation-rule,,,,,,,,,,,
supplysector,subsector,1975 fillout,apply-to,from-year,to-year,interpolation-function,,,,,,,,
base load generation,coal,1,share-weight,2005,2095,fixed,,,,,,,,
intermediate generation,coal,1,share-weight,2005,2095,fixed,,,,,,,,
subpeak generation,coal,0,share-weight,2005,2095,fixed,,,,,,,,
subpeak generation,gas,1,share-weight,2005,2095,fixed,,,,,,,,
base load generation,gas,1,share-weight,2005,2095,fixed,,,,,,,,
intermediate generation,gas,1,share-weight,2005,2095,fixed,,,,,,,,
subpeak generation,gas,1,share-weight,2005,2095,fixed,,,,,,,,
peak generation,gas,1,share-weight,2005,2095,fixed,,,,,,,,
intermediate generation,oil,1,share-weight,2005,2095,fixed,,,,,,,,
subpeak generation,oil,1,share-weight,2005,2095,fixed,,,,,,,,
peak generation,oil,1,share-weight,2005,2095,fixed,,,,,,,,
base load generation,biomass,1,share-weight,2050,2095,linear,,,,,,,,
intermediate generation,biomass,1,share-weight,2050,2095,linear,,,,,,,,
subpeak generation,biomass,1,share-weight,2050,2095,linear,,,,,,,,
base load generation,wind,1,share-weight,2005,2035,linear,,,,,,,,
base load generation,geothermal,1,share-weight,2005,2050,linear,,,,,,,,
base load generation,solar,1,share-weight,2005,2035,linear,,,,,,,,
intermediate generation,solar,1,share-weight,2005,2035,linear,,,,,,,,
subpeak generation,solar,1,share-weight,2005,2035,linear,,,,,,,,
peak generation,solar,1,share-weight,2005,2035,linear,,,,,,,,
base load generation,hydro,0,share-weight,2005,2095,fixed,,,,,,,,
,,,,,,,,,,,,,,
share weights for elec subsectors,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,
403,,,,,,,, ,,,,,,
,,2020,2035,2050,2065,2080,2095,,,,,,,
supplysector,subsector,sharewt,sharewt,sharewt,sharewt,sharewt,sharewt,,,,,,,
