INPUT_TABLE,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,
13000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
region,supplysector,tranSubsector,tranTechnology,period,generic-ghg,input-driver,,,,,,,,,,,,,,
ALL,trn_freight,air,air,ALL,CH4,,,,,,,,,,,,,,,
ALL,trn_freight,rail,rail ICE,ALL,CH4,,,,,,,,,,,,,,,
ALL,trn_freight,road,truck ICE,ALL,CH4,,,,,,,,,,,,,,,
ALL,trn_freight,domestic ship,domestic ship ICE,ALL,CH4,,,,,,,,,,,,,,,
ALL,trn_passenger,air,air,ALL,CH4,,,,,,,,,,,,,,,
ALL,trn_passenger,rail,rail ICE,ALL,CH4,,,,,,,,,,,,,,,
ALL,trn_shipping_intl,international ship,international ship ICE,ALL,CH4,,,,,,,,,,,,,,,
ALL,trn_pass_road,LDV,LDV ICE,ALL,CH4,,,,,,,,,,,,,,,
ALL,trn_pass_road,bus,bus ICE,ALL,CH4,,,,,,,,,,,,,,,
ALL,trn_freight,air,air,ALL,N2O,,,,,,,,,,,,,,,
ALL,trn_freight,rail,rail ICE,ALL,N2O,,,,,,,,,,,,,,,
ALL,trn_freight,road,truck ICE,ALL,N2O,,,,,,,,,,,,,,,
ALL,trn_freight,domestic ship,domestic ship ICE,ALL,N2O,,,,,,,,,,,,,,,
ALL,trn_passenger,air,air,ALL,N2O,,,,,,,,,,,,,,,
ALL,trn_passenger,rail,rail ICE,ALL,N2O,,,,,,,,,,,,,,,
ALL,trn_shipping_intl,international ship,international ship ICE,ALL,N2O,,,,,,,,,,,,,,,
ALL,trn_pass_road,LDV,LDV ICE,ALL,N2O,,,,,,,,,,,,,,,
ALL,trn_pass_road,bus,bus ICE,ALL,N2O,,,,,,,,,,,,,,,
ALL,trn_freight,air,air,ALL,NOx,,,,,,,,,,,,,,,
ALL,trn_freight,rail,rail ICE,ALL,NOx,,,,,,,,,,,,,,,
ALL,trn_freight,road,truck ICE,ALL,NOx,,,,,,,,,,,,,,,
ALL,trn_freight,domestic ship,domestic ship ICE,ALL,NOx,,,,,,,,,,,,,,,
ALL,trn_passenger,air,air,ALL,NOx,,,,,,,,,,,,,,,
ALL,trn_passenger,rail,rail ICE,ALL,NOx,,,,,,,,,,,,,,,
ALL,trn_shipping_intl,international ship,international ship ICE,ALL,NOx,,,,,,,,,,,,,,,
ALL,trn_pass_road,LDV,LDV ICE,ALL,NOx,,,,,,,,,,,,,,,
ALL,trn_pass_road,bus,bus ICE,ALL,NOx,,,,,,,,,,,,,,,
ALL,trn_freight,air,air,ALL,CO,,,,,,,,,,,,,,,
ALL,trn_freight,rail,rail ICE,ALL,CO,,,,,,,,,,,,,,,
ALL,trn_freight,road,truck ICE,ALL,CO,,,,,,,,,,,,,,,
ALL,trn_freight,domestic ship,domestic ship ICE,ALL,CO,,,,,,,,,,,,,,,
ALL,trn_passenger,air,air,ALL,CO,,,,,,,,,,,,,,,
ALL,trn_passenger,rail,rail ICE,ALL,CO,,,,,,,,,,,,,,,
ALL,trn_shipping_intl,international ship,international ship ICE,ALL,CO,,,,,,,,,,,,,,,
ALL,trn_pass_road,LDV,LDV ICE,ALL,CO,,,,,,,,,,,,,,,
ALL,trn_pass_road,bus,bus ICE,ALL,CO,,,,,,,,,,,,,,,
ALL,trn_freight,air,air,ALL,BC,,,,,,,,,,,,,,,
ALL,trn_freight,rail,rail coal,ALL,BC,,,,,,,,,,,,,,,
ALL,trn_freight,rail,rail ICE,ALL,BC,,,,,,,,,,,,,,,
ALL,trn_freight,road,truck ICE,ALL,BC,,,,,,,,,,,,,,,
ALL,trn_freight,domestic ship,domestic ship ICE,ALL,BC,,,,,,,,,,,,,,,
ALL,trn_passenger,air,air,ALL,BC,,,,,,,,,,,,,,,
ALL,trn_passenger,rail,rail coal,ALL,BC,,,,,,,,,,,,,,,
