"logitexp, fuelprefelasticity and fixed investment",,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
region,supplysector,subsector,logitexp,fuelprefElasticity,FixedInvestment,,,,,,,,,
USA,electricity,geothermal,-3,0,-1,,,,,,,,,
Canada,electricity,geothermal,-3,0,-1,,,,,,,,,
Western Europe,electricity,geothermal,-3,0,-1,,,,,,,,,
Japan,electricity,geothermal,-3,0,-1,,,,,,,,,
Australia_NZ,electricity,geothermal,-3,0,-1,,,,,,,,,
Former Soviet Union,electricity,geothermal,-3,0,-1,,,,,,,,,
China,electricity,geothermal,-3,0,-1,,,,,,,,,
Middle East,electricity,geothermal,-3,0,-1,,,,,,,,,
Africa,electricity,geothermal,-3,0,-1,,,,,,,,,
Latin America,electricity,geothermal,-3,0,-1,,,,,,,,,
Southeast Asia,electricity,geothermal,-3,0,-1,,,,,,,,,
Eastern Europe,electricity,geothermal,-3,0,-1,,,,,,,,,
India,electricity,geothermal,-3,0,-1,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
sharewt,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,
,,,,sharewt,,,,,,,,,,
region,supplysector,subsector,scaleYear,1975,1990,2005,2020,2035,2050,2065,2080,2095,,
USA,electricity,geothermal,1975,1,1,1,0.17,0.33,0.5,0.5,0.5,0.5,,
Canada,electricity,geothermal,1975,0,0,0,0.05,0.25,0.5,0.5,0.5,0.5,,
Western Europe,electricity,geothermal,1975,1,1,1,0.17,0.33,0.5,0.5,0.5,0.5,,
Japan,electricity,geothermal,1975,1,1,1,0.17,0.33,0.5,0.5,0.5,0.5,,
Australia_NZ,electricity,geothermal,1975,1,1,1,0.17,0.33,0.5,0.5,0.5,0.5,,
Former Soviet Union,electricity,geothermal,1975,1,1,1,0.17,0.33,0.5,0.5,0.5,0.5,,
China,electricity,geothermal,1975,0,0,0,0.05,0.25,0.5,0.5,0.5,0.5,,
Middle East,electricity,geothermal,1975,0,0,0,0.05,0.25,0.5,0.5,0.5,0.5,,
Africa,electricity,geothermal,1975,1,1,1,0.17,0.33,0.5,0.5,0.5,0.5,,
Latin America,electricity,geothermal,1975,1,1,1,0.17,0.33,0.5,0.5,0.5,0.5,,
