filename; year; sector; africa;central_america;east_asia;eastern_europe;ec25_europe;latin_america;middle_east;north_america;north_central_asia;oceania;oecd_europe;old_ec_europe;south_america;south_asia;south_east_asia;world;global;;field1;field2;field3;field4;field5;field6;field7
RETRO_FIRES_V2_1960_N2O.nc;1960;forestfire;0.01428;0.005915;0.005765;0.002823;0.00936;0.03253;2.53E-05;0.007673;0.03169;0.005043;0.007986;0.007979;0.02662;0.003064;0.01994;0.1564;0.1575;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1968;N2O;;
RETRO_FIRES_V2_1960_N2O.nc;1960;grassfire;0.08826;0;8.07E-05;0;0;0.005152;0;0;0.0001783;0.04669;0;0;0.005152;1.54E-07;5.11E-07;0.1406;0.1406;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1968;N2O;;
RETRO_FIRES_V2_1960_N2O.nc;1960;woodedfire;0.3981;7.99E-05;0.0003519;0;1.65E-05;0.2063;2.19E-06;0.002169;0.001822;0.02121;2.20E-05;1.44E-05;0.2063;0.01215;1.43E-05;0.6422;0.6423;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1968;N2O;;
RETRO_FIRES_V2_1961_N2O.nc;1961;forestfire;0.0157;0.006966;0.006075;0.007095;0.007825;0.03685;3.17E-05;0.01991;0.01335;0.005094;0.004357;0.004347;0.02989;0.002651;0.01726;0.1369;0.1376;m^2;RETRO;FIRES;V2;1968;N2O;;
RETRO_FIRES_V2_1961_N2O.nc;1961;grassfire;0.05124;0;7.21E-05;0;0;0.003691;0;0;0.000176;0.0479;0;0;0.003691;3.16E-07;7.25E-07;0.1033;0.1033;;field1;field2;field3;field4;field5;field6;field7
RETRO_FIRES_V2_1961_N2O.nc;1961;woodedfire;0.2246;0.0001755;0.0003207;0;8.60E-06;0.1479;2.92E-06;0.001365;0.001741;0.02208;1.96E-05;5.68E-06;0.1477;0.007537;1.65E-05;0.4057;0.4058;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1969;N2O;;
RETRO_FIRES_V2_1962_N2O.nc;1962;forestfire;0.01712;0.007607;0.003489;0.0007783;0.004551;0.03981;1.33E-05;0.005894;0.02609;0.002775;0.001658;0.001639;0.03221;0.002892;0.01294;0.1346;0.1351;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1969;N2O;;
RETRO_FIRES_V2_1962_N2O.nc;1962;grassfire;0.0589;0;0.0001076;0;0;0.003282;0;0;0.0001788;0.02586;0;0;0.003282;1.11E-07;6.49E-07;0.08855;0.08855;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1969;N2O;;
RETRO_FIRES_V2_1962_N2O.nc;1962;woodedfire;0.2632;0.0001486;0.0002973;0;1.21E-06;0.1315;1.21E-06;0.001858;0.001922;0.01152;0;0;0.1314;0.01045;4.70E-06;0.4207;0.4208;m^2;RETRO;FIRES;V2;1969;N2O;;
RETRO_FIRES_V2_1963_N2O.nc;1963;forestfire;0.01855;0.007043;0.004012;0.000551;0.004653;0.04175;1.03E-05;0.007128;0.01544;0.002688;0.004189;0.004178;0.03471;0.002521;0.01737;0.1207;0.1213;;field1;field2;field3;field4;field5;field6;field7
