filename; year; sector; australia;brazil;canada;china;france;germany;india;indonesia;iran;italy;japan;korea;mexico;poland;saudi_arabia;spain;thailand;turkey;uk;usa;ussr;global;;field1;field2;field3;field4;field5;field6;field7
RETRO_FIRES_V2_1960_CO2.nc;1960;forestfire;30.62;172.3;26.06;35.48;0.3944;0.06411;13.75;58.1;0;1.282;0;0;36.3;1.451;0;2.39;28.54;0.1523;0.06664;22.19;376.5;1126;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1960;CO2;;
RETRO_FIRES_V2_1960_CO2.nc;1960;grassfire;370;30.79;0;0.3261;0;0;0.001223;0;0;0;0;0;0;0;0;0;0;0;0;0;3.282;1114;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1960;CO2;;
RETRO_FIRES_V2_1960_CO2.nc;1960;woodedfire;168.1;662.2;0;1.433;0;0;82.92;0;0;0;0;0;0.6332;0;0;0;0.0776;0;0;17.23;14.79;5094;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1960;CO2;;
RETRO_FIRES_V2_1961_CO2.nc;1961;forestfire;30.95;186.6;108.1;37.06;0.5821;0.1253;12.49;47.57;0;1.626;0.2794;0;43.56;1.158;0;3.173;17.86;0.1911;0.0878;16.62;141.5;974.2;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1961;CO2;;
RETRO_FIRES_V2_1961_CO2.nc;1961;grassfire;379.5;22.8;0;0.4607;0;0;0.002503;0;0;0;0;0;0;0;0;0;0;0;0;0;3.403;818.9;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1961;CO2;;
RETRO_FIRES_V2_1961_CO2.nc;1961;woodedfire;175;490.3;0;1.201;0;0;50.57;0;0;0;0;0;1.391;0;0;0;0.04927;0;0;10.87;15.1;3218;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1961;CO2;;
RETRO_FIRES_V2_1962_CO2.nc;1962;forestfire;16.82;203.1;15.23;22.52;0.2579;0.08865;14.04;42.83;0;0.6632;0;0;46.57;1.373;0;1.321;16.68;0.08025;0.0673;21.66;311.3;972.5;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1962;CO2;;
RETRO_FIRES_V2_1962_CO2.nc;1962;grassfire;204.9;19.18;0;0.7063;0;0;0.0008764;0;0;0;0;0;0;0;0;0;0;0;0;0;3.213;701.9;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1962;CO2;;
RETRO_FIRES_V2_1962_CO2.nc;1962;woodedfire;91.29;414.9;0;1.607;0;0;71.08;0;0;0;0;0;1.177;0;0;0;0.001771;0;0;14.82;15.57;3337;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1962;CO2;;
RETRO_FIRES_V2_1963_CO2.nc;1963;forestfire;16.23;220.7;8.234;25.14;0.1939;0.1363;11.89;77.71;0;0.5066;0;0;44.43;0.9941;0;0.9825;10.15;0.06237;0.04834;35.75;143.3;895.4;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1963;CO2;;
RETRO_FIRES_V2_1963_CO2.nc;1963;grassfire;197.8;26.41;0;0.342;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.288;642.2;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1963;CO2;;
RETRO_FIRES_V2_1963_CO2.nc;1963;woodedfire;88.06;500.4;0;1.156;0;0;58.8;0;0;0;0;0;1.114;0;0;0;0.03564;0;0;27.55;14.33;3429;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1963;CO2;;
RETRO_FIRES_V2_1964_CO2.nc;1964;forestfire;27.35;233.7;50.28;36.29;0.3735;0.128;15.59;73.79;0;1.089;0;0;44.39;1.33;0;2.175;12.48;0.1317;0.04633;22.17;150;993.4;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1964;CO2;;
RETRO_FIRES_V2_1964_CO2.nc;1964;grassfire;329.6;16.15;0;0.4422;0;0;0.0005997;0;0;0;0;0;0;0;0;0;0;0;0;0;2.926;979;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1964;CO2;;
RETRO_FIRES_V2_1964_CO2.nc;1964;woodedfire;152.6;300.9;0;1.823;0;0;78.12;0;0;0;0;0;0.6571;0;0;0;0.0289;0;0;15.88;14.59;4005;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1964;CO2;;
RETRO_FIRES_V2_1965_CO2.nc;1965;forestfire;42.48;256.2;9.251;35.09;0.3426;0.1321;11.35;322.6;0;1.07;0;0;57.26;1.052;0;1.99;15.86;0.1278;0.04391;14.78;96.91;1192;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1965;CO2
RETRO_FIRES_V2_1965_CO2.nc;1965;grassfire;510.3;23.21;0;0.3231;0;0;0.001591;0;0;0;0;0;0;0;0;0;0;0;0;0;3.394;1136;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1965;CO2
RETRO_FIRES_V2_1965_CO2.nc;1965;woodedfire;235.3;466;0;1.352;0;0;59.63;0;0;0;0;0;3.278;0;0;0;0.04794;0;0;7.418;14.93;4230;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1965;CO2
RETRO_FIRES_V2_1966_CO2.nc;1966;forestfire;20.34;272.6;24.52;29.03;0.4322;0.08805;8.653;75.35;0;1.293;0.2219;0;34.56;0.7818;0;2.429;38.18;0.1459;0.0731;24.08;60.49;959.4;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1966;CO2
RETRO_FIRES_V2_1966_CO2.nc;1966;grassfire;241.1;22.85;0;0.441;0;0;0.00256;0;0;0;0;0;0;0;0;0;0;0;0;0;3.068;708;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1966;CO2
RETRO_FIRES_V2_1966_CO2.nc;1966;woodedfire;110.5;458.5;0;1.164;0;0;51.78;0;0;0;0;0;1.805;0;0;0;0.04273;0;0;16.03;14.32;3375;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1966;CO2
RETRO_FIRES_V2_1967_CO2.nc;1967;forestfire;23.71;287.2;25.29;8.961;0.3897;0.06857;8.434;61.11;0;1.101;0.04707;0;57.62;0.7482;0;2.102;12.36;0.1294;0.04582;23.97;83.12;910.3;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1967;CO2
RETRO_FIRES_V2_1967_CO2.nc;1967;grassfire;294.5;25.47;0;0.2534;0;0;0.006272;0;0;0;0;0;0;0;0;0;0;0;0;0;3.753;781;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1967;CO2
RETRO_FIRES_V2_1967_CO2.nc;1967;woodedfire;129.8;491.4;0;1.139;0;0;57.72;0;0;0;0;0;1.476;0;0;0;0.03213;0;0;16.77;15.39;3510;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1967;CO2
RETRO_FIRES_V2_1968_CO2.nc;1968;forestfire;15.27;305.6;59.58;25.92;0.3205;0.09881;11.28;114.6;0;1.062;0.768;0;52.7;0.6925;0;2.013;11.5;0.1228;0.05463;23.72;77.77;1063;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1968;CO2
RETRO_FIRES_V2_1968_CO2.nc;1968;grassfire;189.5;27.36;0;1.216;0;0;0.001197;0;0;0;0;0;0;0;0;0;0;0;0;0;2.512;729.3;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1968;CO2
RETRO_FIRES_V2_1968_CO2.nc;1968;woodedfire;82.45;599.2;0;1.506;0;0;67.29;0;0;0;0;0;1.494;0;0;0;0.01702;0;0;15.02;14.26;3900;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1968;CO2
RETRO_FIRES_V2_1969_CO2.nc;1969;forestfire;34.6;322.9;66.11;40.94;0.2752;0.0611;13.06;151.8;0;0.7538;0;0;140.3;1.228;0;1.488;25.32;0.09011;0.08419;66.94;133.5;1429;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1969;CO2
RETRO_FIRES_V2_1969_CO2.nc;1969;grassfire;425.7;31.66;0;0.2636;0;0;0.002653;0;0;0;0;0;0;0;0;0;0;0;0;0;3.635;951.7;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1969;CO2
RETRO_FIRES_V2_1969_CO2.nc;1969;woodedfire;191.9;651.8;0;1.568;0;0;58.96;0;0;0;0;0;0.7128;0;0;0;0.07675;0;0;24.45;15.31;4103;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1969;CO2
