filename; year; sector; australia;brazil;canada;china;france;germany;india;indonesia;iran;italy;japan;korea;mexico;poland;saudi_arabia;spain;thailand;turkey;uk;usa;ussr;global;;field1;field2;field3;field4;field5;field6;field7
RETRO_FIRES_V2_1960_H2.nc;1960;forestfire;   0.03729;    0.4119;   0.02875;   0.03861; 0.0004553; 7.401e-05;   0.02636;    0.1250;     0.000;  0.001480;     0.000;     0.000;   0.05549;  0.001675;     0.000;  0.002758;   0.06865; 0.0001758; 7.693e-05;   0.02543;    0.4109;     1.853;;RETRO;FIRES;V2;1960;H2
RETRO_FIRES_V2_1960_H2.nc;1960;woodedfire;    0.1000;    0.3942;     0.000; 0.0008555;     0.000;     0.000;   0.04933;     0.000;     0.000;     0.000;     0.000;     0.000; 0.0003767;     0.000;     0.000;     0.000; 4.617e-05;     0.000;     0.000;   0.01025;  0.008845;     3.031;;RETRO;FIRES;V2;1960;H2
RETRO_FIRES_V2_1960_H2.nc;1960;grassfire;    0.2201;   0.01832;     0.000; 0.0001960;     0.000;     0.000; 7.276e-07;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;  0.001963;    0.6630;;RETRO;FIRES;V2;1960;H2
RETRO_FIRES_V2_1961_H2.nc;1961;forestfire;   0.03770;    0.4458;    0.1217;   0.04272; 0.0006720; 0.0001446;   0.02061;    0.1014;     0.000;  0.001877; 0.0003225;     0.000;   0.06363;  0.001337;     0.000;  0.003663;   0.04148; 0.0002206; 0.0001013;   0.01866;    0.1559;     1.708;;RETRO;FIRES;V2;1961;H2
RETRO_FIRES_V2_1961_H2.nc;1961;woodedfire;    0.1041;    0.2918;     0.000; 0.0007202;     0.000;     0.000;   0.03009;     0.000;     0.000;     0.000;     0.000;     0.000; 0.0008275;     0.000;     0.000;     0.000; 2.931e-05;     0.000;     0.000;  0.006474;  0.009030;     1.915;;RETRO;FIRES;V2;1961;H2
RETRO_FIRES_V2_1961_H2.nc;1961;grassfire;    0.2258;   0.01357;     0.000; 0.0002764;     0.000;     0.000; 1.489e-06;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;  0.002030;    0.4872;;RETRO;FIRES;V2;1961;H2
RETRO_FIRES_V2_1962_H2.nc;1962;forestfire;   0.02046;    0.4848;   0.01712;   0.02426; 0.0002977; 0.0001023;   0.02590;   0.09270;     0.000; 0.0007655;     0.000;     0.000;   0.06859;  0.001585;     0.000;  0.001525;   0.03947; 9.263e-05; 7.768e-05;   0.02443;    0.3392;     1.718;;RETRO;FIRES;V2;1962;H2
RETRO_FIRES_V2_1962_H2.nc;1962;woodedfire;   0.05432;    0.2470;     0.000; 0.0009610;     0.000;     0.000;   0.04229;     0.000;     0.000;     0.000;     0.000;     0.000; 0.0007004;     0.000;     0.000;     0.000; 1.054e-06;     0.000;     0.000;  0.008827;  0.009301;     1.985;;RETRO;FIRES;V2;1962;H2
RETRO_FIRES_V2_1962_H2.nc;1962;grassfire;    0.1219;   0.01141;     0.000; 0.0004232;     0.000;     0.000; 5.214e-07;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;  0.001915;    0.4176;;RETRO;FIRES;V2;1962;H2
RETRO_FIRES_V2_1963_H2.nc;1963;forestfire;   0.01988;    0.5275;  0.009266;   0.02946; 0.0002238; 0.0001573;   0.02151;    0.1713;     0.000; 0.0005848;     0.000;     0.000;   0.06864;  0.001147;     0.000;  0.001134;   0.02358; 7.199e-05; 5.580e-05;   0.04074;    0.1572;     1.705;;RETRO;FIRES;V2;1963;H2
