filename; year; sector; africa;central_america;east_asia;eastern_europe;ec25_europe;latin_america;middle_east;north_america;north_central_asia;oceania;oecd_europe;old_ec_europe;south_america;south_asia;south_east_asia;world;global;;field1;field2;field3;field4;field5;field6;field7
RETRO_FIRES_V2_1960_OC.nc;1960;forestfire;0.3713;0.1924;0.2115;0.09924;0.3725;0.8876;0.0008876;0.2744;1.148;0.1752;0.3239;0.3237;0.6952;0.09228;0.5713;5.095;5.128;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1960;OC;;
RETRO_FIRES_V2_1960_OC.nc;1960;grassfire;1.345;0;0.001817;0;0;0.07885;0;0;0.003256;0.7115;0;0;0.07885;2.35E-06;8.58E-06;2.144;2.144;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1960;OC;;
RETRO_FIRES_V2_1960_OC.nc;1960;woodedfire;6.067;0.001218;0.006838;0;0.0003492;3.158;3.34E-05;0.03325;0.03145;0.3234;0.0005465;0.0003159;3.157;0.1851;0.0002305;9.804;9.806;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1960;OC;;
RETRO_FIRES_V2_1961_OC.nc;1961;forestfire;0.4081;0.231;0.2164;0.2494;0.2901;1.012;0.001114;0.7109;0.4797;0.177;0.168;0.1676;0.7807;0.08372;0.5051;4.324;4.344;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1961;OC;;
RETRO_FIRES_V2_1961_OC.nc;1961;grassfire;0.7809;0;0.00144;0;0;0.05641;0;0;0.002907;0.7299;0;0;0.05641;4.81E-06;1.48E-05;1.575;1.575;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1961;OC;;
RETRO_FIRES_V2_1961_OC.nc;1961;woodedfire;3.422;0.002675;0.006861;0;0.000131;2.26;4.45E-05;0.02107;0.03041;0.3366;0.0005051;8.65E-05;2.258;0.1148;0.0002506;6.193;6.195;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1961;OC;;
RETRO_FIRES_V2_1962_OC.nc;1962;forestfire;0.4452;0.2505;0.13;0.02736;0.1664;1.092;0.0004678;0.2104;0.942;0.0964;0.06386;0.06313;0.8419;0.08812;0.3707;4.248;4.264;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1962;OC;;
RETRO_FIRES_V2_1962_OC.nc;1962;grassfire;0.8976;0;0.002048;0;0;0.05018;0;0;0.003034;0.394;0;0;0.05018;1.69E-06;1.22E-05;1.35;1.35;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1962;OC;;
RETRO_FIRES_V2_1962_OC.nc;1962;woodedfire;4.01;0.002264;0.00569;0;1.84E-05;2.01;1.84E-05;0.02879;0.03211;0.1756;0;0;2.008;0.1593;7.16E-05;6.421;6.423;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1962;OC;;
RETRO_FIRES_V2_1963_OC.nc;1963;forestfire;0.4824;0.2295;0.1436;0.01937;0.1879;1.136;0.0003635;0.2529;0.5579;0.09314;0.1714;0.171;0.9066;0.07775;0.5042;3.679;3.694;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1963;OC;;
RETRO_FIRES_V2_1963_OC.nc;1963;grassfire;0.7789;0;0.001814;0;0;0.06825;0;0;0.003403;0.3804;0;0;0.06825;0;2.07E-05;1.236;1.236;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1963;OC;;
RETRO_FIRES_V2_1963_OC.nc;1963;woodedfire;3.48;0.002142;0.007985;0;7.95E-05;2.729;1.36E-05;0.05321;0.03355;0.1694;0.0005415;6.59E-05;2.727;0.1315;0.0001961;6.601;6.603;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1963;OC;;
RETRO_FIRES_V2_1964_OC.nc;1964;forestfire;0.5199;0.2203;0.2179;0.02515;0.1464;1.185;0.0007678;0.4112;0.6458;0.1562;0.124;0.1239;0.9648;0.1042;0.5535;4.123;4.162;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1964;OC;;
RETRO_FIRES_V2_1964_OC.nc;1964;grassfire;1.199;0;0.002843;0;0;0.04144;0;0;0.004066;0.6339;0;0;0.04144;1.15E-06;1.32E-05;1.883;1.883;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1964;OC;;
RETRO_FIRES_V2_1964_OC.nc;1964;woodedfire;5.506;0.001264;0.007901;0;3.02E-05;1.663;3.02E-05;0.03079;0.0318;0.2935;0;0;1.662;0.1774;0.0002606;7.708;7.71;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1964;OC;;
RETRO_FIRES_V2_1965_OC.nc;1965;forestfire;0.5565;0.3026;0.2105;0.01485;0.06225;1.348;0.0007447;0.1375;0.4214;0.2417;0.05117;0.05112;1.045;0.07355;1.384;4.552;4.606;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1965;OC
RETRO_FIRES_V2_1965_OC.nc;1965;grassfire;1.135;0;0.001825;0;0;0.05966;0;0;0.003441;0.9814;0;0;0.05966;3.06E-06;1.32E-05;2.185;2.185;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1965;OC
RETRO_FIRES_V2_1965_OC.nc;1965;woodedfire;5.109;0.006305;0.007384;0;2.81E-05;2.389;2.81E-05;0.01454;0.0324;0.4527;0;0;2.383;0.1338;0.0002109;8.136;8.14;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1965;OC
RETRO_FIRES_V2_1966_OC.nc;1966;forestfire;0.5937;0.1805;0.1721;0.02079;0.06016;1.273;0.0008506;0.2577;0.2195;0.116;0.04757;0.04748;1.092;0.07034;0.7776;3.664;3.677;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1966;OC
RETRO_FIRES_V2_1966_OC.nc;1966;grassfire;0.83;0;0.002518;0;0;0.06015;0;0;0.003903;0.4636;0;0;0.06015;4.92E-06;9.10E-06;1.362;1.362;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1966;OC
RETRO_FIRES_V2_1966_OC.nc;1966;woodedfire;3.685;0.003472;0.008513;0;3.45E-05;2.41;3.45E-05;0.03111;0.03305;0.2126;0.0002214;0;2.407;0.1177;0.0001743;6.495;6.497;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1966;OC
RETRO_FIRES_V2_1967_OC.nc;1967;forestfire;0.6308;0.2893;0.05089;0.01019;0.05378;1.472;0.000754;0.2805;0.3114;0.1351;0.04665;0.04641;1.182;0.05726;0.3833;3.531;3.548;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1967;OC
RETRO_FIRES_V2_1967_OC.nc;1967;grassfire;0.8643;0;0.000614;0;0;0.06359;0;0;0.002476;0.5664;0;0;0.06359;1.21E-05;1.57E-05;1.503;1.503;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1967;OC
RETRO_FIRES_V2_1967_OC.nc;1967;woodedfire;3.763;0.002838;0.006335;0;2.95E-05;2.543;2.95E-05;0.03256;0.03338;0.2496;0.000104;0;2.54;0.1294;0.0002178;6.756;6.759;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1967;OC
RETRO_FIRES_V2_1968_OC.nc;1968;forestfire;0.6684;0.2828;0.1506;0.06867;0.06505;1.527;0.0007161;0.473;0.3303;0.08801;0.04165;0.0413;1.244;0.07654;0.6257;4.158;4.177;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1968;OC
RETRO_FIRES_V2_1968_OC.nc;1968;grassfire;0.9599;0;0.003419;0;0;0.07027;0;0;0.003181;0.3644;0;0;0.07027;2.30E-06;1.10E-05;1.403;1.403;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1968;OC
RETRO_FIRES_V2_1968_OC.nc;1968;woodedfire;4.311;0.002874;0.008439;0;0.0002169;2.813;2.81E-05;0.02927;0.03299;0.1586;0.0001888;0.0001888;2.811;0.1539;0.0001621;7.504;7.506;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1968;OC
RETRO_FIRES_V2_1969_OC.nc;1969;forestfire;0.705;0.7126;0.2387;0.02091;0.07966;2.066;0.0005253;0.6934;0.5428;0.1987;0.06008;0.05988;1.353;0.09168;0.9981;5.815;5.843;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1969;OC
RETRO_FIRES_V2_1969_OC.nc;1969;grassfire;0.9257;0;0.0008382;0;0;0.07832;0;0;0.002457;0.8187;0;0;0.07832;5.10E-06;1.00E-05;1.831;1.831;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1969;OC
RETRO_FIRES_V2_1969_OC.nc;1969;woodedfire;4.174;0.001371;0.00636;0;2.05E-05;3.134;2.05E-05;0.05069;0.0314;0.369;0.0001442;0;3.132;0.1332;0.0002121;7.898;7.902;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1969;OC
