filename; year; sector; africa;central_america;east_asia;eastern_europe;ec25_europe;latin_america;middle_east;north_america;north_central_asia;oceania;oecd_europe;old_ec_europe;south_america;south_asia;south_east_asia;world;global;;field1;field2;field3;field4;field5;field6;field7
RETRO_FIRES_V2_1960_ETHENE.nc;1960;forestfire;    0.1385;   0.03641;   0.03436;   0.01335;   0.07893;    0.2961; 0.0001194;   0.04001;    0.1774;   0.02498;   0.07220;   0.07217;    0.2597;   0.02288;    0.1848;     1.156;     1.165;;RETRO;FIRES;V2;1960;ETHENE
RETRO_FIRES_V2_1960_ETHENE.nc;1960;woodedfire;     1.611; 0.0003234;  0.002133;     0.000; 0.0001136;    0.8417; 8.861e-06;  0.008875;  0.009145;   0.08594; 0.0001905; 0.0001047;    0.8414;   0.04916; 6.392e-05;     2.608;     2.609;;RETRO;FIRES;V2;1960;ETHENE
RETRO_FIRES_V2_1960_ETHENE.nc;1960;grassfire;    0.3572;     0.000; 0.0006085;     0.000;     0.000;   0.02102;     0.000;     0.000; 0.0009805;    0.1890;     0.000;     0.000;   0.02102; 6.247e-07; 2.448e-06;    0.5697;    0.5697;;RETRO;FIRES;V2;1960;ETHENE
RETRO_FIRES_V2_1961_ETHENE.nc;1961;forestfire;    0.1523;   0.04047;   0.03217;   0.03357;   0.04899;    0.3321; 0.0001499;    0.1030;   0.07141;   0.02521;   0.03241;   0.03237;    0.2916;   0.01768;    0.1569;     1.007;     1.012;;RETRO;FIRES;V2;1961;ETHENE
RETRO_FIRES_V2_1961_ETHENE.nc;1961;woodedfire;    0.9090; 0.0007105;  0.002246;     0.000; 3.480e-05;    0.6018; 1.183e-05;  0.005651;  0.008911;   0.08946; 0.0001786; 2.297e-05;    0.6011;   0.03051; 6.657e-05;     1.648;     1.648;;RETRO;FIRES;V2;1961;ETHENE
RETRO_FIRES_V2_1961_ETHENE.nc;1961;grassfire;    0.2074;     0.000; 0.0004555;     0.000;     0.000;   0.01502;     0.000;     0.000; 0.0008207;    0.1939;     0.000;     0.000;   0.01502; 1.279e-06; 4.748e-06;    0.4186;    0.4186;;RETRO;FIRES;V2;1961;ETHENE
RETRO_FIRES_V2_1962_ETHENE.nc;1962;forestfire;    0.1661;   0.04518;   0.02304;  0.003682;   0.02661;    0.3597; 6.295e-05;   0.03040;    0.1433;   0.01376;   0.01228;   0.01216;    0.3145;   0.02103;    0.1204;     1.023;     1.027;;RETRO;FIRES;V2;1962;ETHENE
RETRO_FIRES_V2_1962_ETHENE.nc;1962;woodedfire;     1.065; 0.0006014;  0.001760;     0.000; 4.885e-06;    0.5354; 4.885e-06;  0.007753;  0.009135;   0.04668;     0.000;     0.000;    0.5348;   0.04231; 1.902e-05;     1.708;     1.708;;RETRO;FIRES;V2;1962;ETHENE
RETRO_FIRES_V2_1962_ETHENE.nc;1962;grassfire;    0.2384;     0.000; 0.0006316;     0.000;     0.000;   0.01337;     0.000;     0.000; 0.0008724;    0.1047;     0.000;     0.000;   0.01337; 4.477e-07; 3.713e-06;    0.3588;    0.3588;;RETRO;FIRES;V2;1962;ETHENE
RETRO_FIRES_V2_1963_ETHENE.nc;1963;forestfire;    0.1800;   0.04313;   0.02283;  0.002607;   0.04143;    0.3817; 4.892e-05;   0.03560;   0.08507;   0.01346;   0.03905;   0.03898;    0.3386;   0.01783;    0.1623;    0.9797;    0.9845;;RETRO;FIRES;V2;1963;ETHENE
RETRO_FIRES_V2_1963_ETHENE.nc;1963;woodedfire;    0.9243; 0.0005689;  0.002605;     0.000; 2.112e-05;    0.7269; 3.612e-06;   0.01422;  0.009986;   0.04498; 0.0001943; 1.751e-05;    0.7264;   0.03494; 5.209e-05;     1.757;     1.757;;RETRO;FIRES;V2;1963;ETHENE
RETRO_FIRES_V2_1963_ETHENE.nc;1963;grassfire;    0.2069;     0.000; 0.0006077;     0.000;     0.000;   0.01822;     0.000;     0.000;  0.001036;    0.1010;     0.000;     0.000;   0.01822;     0.000; 6.735e-06;    0.3288;    0.3288;;RETRO;FIRES;V2;1963;ETHENE
RETRO_FIRES_V2_1964_ETHENE.nc;1964;forestfire;    0.1940;   0.04279;   0.03313;  0.003385;   0.02837;    0.4031; 0.0001033;   0.06033;    0.1042;   0.02243;   0.02522;   0.02520;    0.3603;   0.02391;    0.1737;     1.072;     1.082;;RETRO;FIRES;V2;1964;ETHENE
RETRO_FIRES_V2_1964_ETHENE.nc;1964;woodedfire;     1.462; 0.0003356;  0.002421;     0.000; 8.016e-06;    0.4433; 8.016e-06;  0.008267;  0.009219;   0.07797;     0.000;     0.000;    0.4429;   0.04713; 6.921e-05;     2.050;     2.050;;RETRO;FIRES;V2;1964;ETHENE
RETRO_FIRES_V2_1964_ETHENE.nc;1964;grassfire;    0.3186;     0.000; 0.0009583;     0.000;     0.000;   0.01102;     0.000;     0.000;  0.001270;    0.1684;     0.000;     0.000;   0.01102; 3.063e-07; 4.063e-06;    0.5006;    0.5006;;RETRO;FIRES;V2;1964;ETHENE
RETRO_FIRES_V2_1965_ETHENE.nc;1965;forestfire;    0.2076;   0.05709;   0.02966;  0.001999;   0.01007;    0.4475; 0.0001002;   0.01964;   0.06612;   0.03437;  0.008578;  0.008570;    0.3904;   0.01742;    0.4830;     1.336;     1.354;;RETRO;FIRES;V2;1965;ETHENE
RETRO_FIRES_V2_1965_ETHENE.nc;1965;woodedfire;     1.357;  0.001675;  0.002327;     0.000; 7.464e-06;    0.6360; 7.464e-06;  0.003961;  0.009291;    0.1203;     0.000;     0.000;    0.6343;   0.03553; 5.601e-05;     2.163;     2.165;;RETRO;FIRES;V2;1965;ETHENE
RETRO_FIRES_V2_1965_ETHENE.nc;1965;grassfire;    0.3016;     0.000; 0.0006152;     0.000;     0.000;   0.01593;     0.000;     0.000;  0.001039;    0.2607;     0.000;     0.000;   0.01593; 8.126e-07; 4.729e-06;    0.5807;    0.5807;;RETRO;FIRES;V2;1965;ETHENE
RETRO_FIRES_V2_1966_ETHENE.nc;1966;forestfire;    0.2215;   0.03327;   0.02538;  0.002797;  0.009361;    0.4413; 0.0001145;   0.04617;   0.03376;   0.01660;  0.007528;  0.007516;    0.4080;   0.01612;    0.2633;     1.094;     1.098;;RETRO;FIRES;V2;1966;ETHENE
RETRO_FIRES_V2_1966_ETHENE.nc;1966;woodedfire;    0.9789; 0.0009222;  0.002797;     0.000; 9.155e-06;    0.6412; 9.155e-06;  0.008363;  0.009834;   0.05648; 8.229e-05;     0.000;    0.6403;   0.03127; 4.630e-05;     1.728;     1.728;;RETRO;FIRES;V2;1966;ETHENE
RETRO_FIRES_V2_1966_ETHENE.nc;1966;grassfire;    0.2205;     0.000; 0.0008464;     0.000;     0.000;   0.01601;     0.000;     0.000;  0.001207;    0.1231;     0.000;     0.000;   0.01601; 1.308e-06; 3.328e-06;    0.3622;    0.3622;;RETRO;FIRES;V2;1966;ETHENE
RETRO_FIRES_V2_1967_ETHENE.nc;1967;forestfire;    0.2353;   0.05663;  0.007452;  0.001372;  0.008031;    0.4982; 0.0001015;   0.04074;   0.04840;   0.01958;  0.007068;  0.007035;    0.4416;   0.01514;    0.1284;     1.025;     1.029;;RETRO;FIRES;V2;1967;ETHENE
RETRO_FIRES_V2_1967_ETHENE.nc;1967;woodedfire;    0.9996; 0.0007538;  0.002085;     0.000; 7.840e-06;    0.6775; 7.840e-06;  0.008757;  0.009776;   0.06632; 3.118e-05;     0.000;    0.6768;   0.03437; 5.787e-05;     1.798;     1.798;;RETRO;FIRES;V2;1967;ETHENE
RETRO_FIRES_V2_1967_ETHENE.nc;1967;grassfire;    0.2296;     0.000; 0.0001850;     0.000;     0.000;   0.01698;     0.000;     0.000; 0.0006738;    0.1504;     0.000;     0.000;   0.01698; 3.204e-06; 4.373e-06;    0.3997;    0.3997;;RETRO;FIRES;V2;1967;ETHENE
RETRO_FIRES_V2_1968_ETHENE.nc;1968;forestfire;    0.2494;   0.05294;   0.02171;  0.009241;  0.009702;    0.5177; 9.636e-05;   0.06928;   0.04947;   0.01283;  0.006559;  0.006507;    0.4648;   0.01929;    0.2174;     1.191;     1.197;;RETRO;FIRES;V2;1968;ETHENE
RETRO_FIRES_V2_1968_ETHENE.nc;1968;woodedfire;     1.145; 0.0007634;  0.002764;     0.000; 7.764e-05;    0.7485; 7.451e-06;  0.007915;  0.009724;   0.04213; 7.019e-05; 7.019e-05;    0.7477;   0.04087; 4.306e-05;     1.996;     1.996;;RETRO;FIRES;V2;1968;ETHENE
RETRO_FIRES_V2_1968_ETHENE.nc;1968;grassfire;    0.2550;     0.000;  0.001030;     0.000;     0.000;   0.01871;     0.000;     0.000; 0.0009575;   0.09681;     0.000;     0.000;   0.01871; 6.113e-07; 3.529e-06;    0.3731;    0.3731;;RETRO;FIRES;V2;1968;ETHENE
RETRO_FIRES_V2_1969_ETHENE.nc;1969;forestfire;    0.2630;    0.1356;   0.03548;  0.002814;   0.01482;    0.6409; 7.069e-05;    0.1302;   0.08171;   0.02872;   0.01193;   0.01190;    0.5054;   0.01976;    0.3250;     1.574;     1.583;;RETRO;FIRES;V2;1969;ETHENE
RETRO_FIRES_V2_1969_ETHENE.nc;1969;woodedfire;     1.109; 0.0003641;  0.002026;     0.000; 5.432e-06;    0.8343; 5.432e-06;   0.01478;  0.009090;   0.09801; 5.360e-05;     0.000;    0.8340;   0.03539; 5.633e-05;     2.102;     2.103;;RETRO;FIRES;V2;1969;ETHENE
RETRO_FIRES_V2_1969_ETHENE.nc;1969;grassfire;    0.2459;     0.000; 0.0002604;     0.000;     0.000;   0.02087;     0.000;     0.000; 0.0006905;    0.2175;     0.000;     0.000;   0.02087; 1.355e-06; 2.994e-06;    0.4866;    0.4866;;RETRO;FIRES;V2;1969;ETHENE
