filename; year; sector; australia;brazil;canada;china;france;germany;india;indonesia;iran;italy;japan;korea;mexico;poland;saudi_arabia;spain;thailand;turkey;uk;usa;ussr;global;;field1;field2;field3;field4;field5;field6;field7
RETRO_FIRES_V2_1960_CH4.nc;1960;forestfire;0.09566;0.7533;0.1038;0.1508;0.001207;0.0001963;0.05251;0.3162;0;0.003925;0;0;0.1246;0.004441;0;0.007315;0.1228;0.0004661;0.000204;0.07116;1.578;4.909;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1968;CH4;;
RETRO_FIRES_V2_1960_CH4.nc;1960;grassfire;0.4891;0.04211;0;0.0008512;0;0;1.62E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0.006623;1.479;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1968;CH4;;
RETRO_FIRES_V2_1960_CH4.nc;1960;woodedfire;0.2232;0.9312;0;0.002576;0;0;0.1096;0;0;0;0;0;0.0008372;0;0;0;0.0001026;0;0;0.0236;0.02982;6.809;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1968;CH4;;
RETRO_FIRES_V2_1961_CH4.nc;1961;forestfire;0.09671;0.8159;0.3861;0.1326;0.001782;0.0003836;0.04439;0.263;0;0.004977;0.0008553;0;0.1466;0.003545;0;0.009714;0.0771;0.0005851;0.0002688;0.0603;0.5663;3.996;m^2;RETRO;FIRES;V2;1968;CH4;;
RETRO_FIRES_V2_1961_CH4.nc;1961;grassfire;0.5018;0.03083;0;0.001115;0;0;3.31E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0.005645;1.086;;field1;field2;field3;field4;field5;field6;field7
RETRO_FIRES_V2_1961_CH4.nc;1961;woodedfire;0.2321;0.674;0;0.002791;0;0;0.06686;0;0;0;0;0;0.001839;0;0;0;6.51E-05;0;0;0.01543;0.03031;4.301;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1969;CH4;;
RETRO_FIRES_V2_1962_CH4.nc;1962;forestfire;0.05252;0.8899;0.05487;0.1106;0.0007895;0.0002714;0.05261;0.2308;0;0.00203;0;0;0.1573;0.004204;0;0.004045;0.07114;0.0002457;0.000206;0.07659;1.315;4.139;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1969;CH4;;
RETRO_FIRES_V2_1962_CH4.nc;1962;grassfire;0.2709;0.02607;0;0.001562;0;0;1.16E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0.004975;0.931;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1969;CH4;;
RETRO_FIRES_V2_1962_CH4.nc;1962;woodedfire;0.1212;0.5742;0;0.003187;0;0;0.09397;0;0;0;0;0;0.001556;0;0;0;2.34E-06;0;0;0.02158;0.02916;4.453;m^2;RETRO;FIRES;V2;1969;CH4;;
RETRO_FIRES_V2_1963_CH4.nc;1963;forestfire;0.05082;0.9645;0.02951;0.09659;0.0005935;0.0004172;0.04414;0.4046;0;0.001551;0;0;0.1533;0.003043;0;0.003008;0.04287;0.0001909;0.000148;0.119;0.588;3.878;;field1;field2;field3;field4;field5;field6;field7
RETRO_FIRES_V2_1963_CH4.nc;1963;grassfire;0.2615;0.0367;0;0.0007672;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.007868;0.8568;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1970;CH4;;
RETRO_FIRES_V2_1963_CH4.nc;1963;woodedfire;0.1164;0.7002;0;0.002677;0;0;0.07774;0;0;0;0;0;0.001473;0;0;0;4.71E-05;0;0;0.03798;0.03141;4.596;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1970;CH4;;
RETRO_FIRES_V2_1964_CH4.nc;1964;forestfire;0.08564;1.019;0.1873;0.1321;0.001143;0.0003918;0.05789;0.4396;0;0.003334;0;0;0.1558;0.00407;0;0.006657;0.05363;0.0004032;0.0001418;0.07871;0.6543;4.305;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1970;CH4;;
RETRO_FIRES_V2_1964_CH4.nc;1964;grassfire;0.4358;0.02166;0;0.001075;0;0;7.93E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0.005428;1.3;m^2;RETRO;FIRES;V2;1970;CH4;;
RETRO_FIRES_V2_1964_CH4.nc;1964;woodedfire;0.2019;0.4273;0;0.003664;0;0;0.1033;0;0;0;0;0;0.0008687;0;0;0;3.82E-05;0;0;0.02269;0.02993;5.343;;field1;field2;field3;field4;field5;field6;field7
RETRO_FIRES_V2_1965_CH4.nc;1965;forestfire;0.133;1.121;0.02914;0.1151;0.001049;0.0004044;0.04275;1.443;0;0.003275;0;0;0.1966;0.00322;0;0.00609;0.06739;0.0003911;0.0001344;0.05443;0.4188;5.022;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1971;CH4;;
