GTAP_crop,GCAM_commodity,FAO_crop,gcal_t
Barley,OtherGrain,BARLEY,3.32
Buckwheat,OtherGrain,BUCKWHEAT,3.3
CanarySeed,OilCrop,CANARY SEED,3.88
Cerealsnes,OtherGrain,CEREALS NES,3.4
Fonio,OtherGrain,FONIO,3.38
Maize,Corn,MAIZE,3.56
Millet,OtherGrain,MILLET,3.4
MixedGrain,OtherGrain,MIXED GRAIN,3.4
Oats,OtherGrain,OATS,3.85
PopCorn,Corn,POP CORN,3.56
Quinoa,OtherGrain,QUINOA,3.42
PaddyRice,Rice,RICE PADDY,2.8
Rye,OtherGrain,RYE,3.19
Sorghum,OtherGrain,SORGHUM,3.43
Triticale,OtherGrain,TRITICALE,3.27
Wheat,Wheat,WHEAT,3.34
Abaca_M_H,FiberCrop,na,0
AgaveFibrNES,FiberCrop,na,0
Coir,FiberCrop,na,0
FibreCropNES,FiberCrop,na,0
FlaxFibr_Tow,FiberCrop,na,0
HempFibr_Tow,FiberCrop,na,0
Jute,FiberCrop,na,0
JuteLikeFibr,FiberCrop,na,0
KapokFibre,FiberCrop,na,0
KapksdShell,OilCrop,OILSEEDS NES,3.87
Ramie,FiberCrop,na,0
SeedCotton,Cotton,COTTONSEED,2.53
Sisal,FiberCrop,na,0
Alff4FrgSlg,FodderHerb,Herbs,2.1513
Beets4Fodder,na,na,0
Cabbage4Fddr,na,na,0
Carrots4Fddr,na,na,0
Clovr4FrgSlg,FodderHerb,Herbs,2.1513
FrgProdNES,FodderGrass,na,0
GrsNESFrgSlg,na,na,0
GrnOlsd4Fddr,na,na,0
LgmNESFrgSlg,na,na,0
Maize4FrgSlg,FodderHerb,Herbs,2.1513
MxGrss_Lgm,na,na,0
RyeGrsFrgSlg,FodderGrass,Grasses,2.1181
Srgm4FrgSlg,FodderGrass,Grasses,2.1181
Swedes4Fddr,na,na,0
Turnips4Fddr,na,na,0
Vgt_RootFddr,na,na,0
Apples,MiscCrop,APPLES,0.48
Apricots,MiscCrop,APRICOTS,0.45
