GTAP_use,GTAP_use_agg
c_b,c_b
ctl,na
frs,frs
gro,gro
oap,na
ocr,v_f_ocr
osd,osd
pdr,pdr
pfb,pfb
rmk,na
v_f,v_f_ocr
wht,wht
wol,na
