ctry,landtype,AEZ1,AEZ2,AEZ3,AEZ4,AEZ5,AEZ6,AEZ7,AEZ8,AEZ9,AEZ10,AEZ11,AEZ12,AEZ13,AEZ14,AEZ15,AEZ16,AEZ17,AEZ18
abw,Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,SavnGrasslnd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,Shrubland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,Cropland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,Pastureland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,Builtupland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,Otherland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
afg,Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
afg,SavnGrasslnd,0,0,0,0,0,0,58372,2539203,0,0,0,0,302257,309530,0,0,0,0
afg,Shrubland,0,0,0,0,0,0,9438632,4932621,278430,102034,0,0,1020419,169646,0,0,0,0
afg,Cropland,0,0,0,0,0,0,1207171,5664108,119008,85224,0,0,837454,373510,0,0,0,0
afg,Pastureland,0,0,0,0,0,0,6003230,18889344,107174,66242,0,0,2723111,2039802,0,0,0,0
afg,Builtupland,0,0,0,0,0,0,6148,66635,9798,1415,0,0,1551,2871,0,0,0,0
afg,Otherland,0,0,0,0,0,0,7270934,299880,0,0,0,0,1665219,117230,0,0,0,0
ago,Forest,0,163408,841206,11931896,19658980,0,0,0,1077600,3445120,0,0,0,0,0,0,0,0
ago,SavnGrasslnd,0,1095137,2313338,6923388,2731373,0,0,1924169,12367304,3045620,301474,0,0,0,0,0,0,0
ago,Shrubland,760108,1438904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ago,Cropland,43049,109192,156996,925198,1494946,0,0,46415,184460,380696,63610,0,0,0,0,0,0,0
ago,Pastureland,3172700,2019953,3007681,15402502,12905717,0,0,991473,5704652,8766220,847607,0,0,0,0,0,0,0
ago,Builtupland,2686,30862,3498,14539,3776,0,0,0,0,4960,2278,0,0,0,0,0,0,0
ago,Otherland,806070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aia,Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aia,SavnGrasslnd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aia,Shrubland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aia,Cropland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aia,Pastureland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aia,Builtupland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aia,Otherland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alb,Forest,0,0,0,0,0,0,0,0,0,598370,332666,0,0,0,0,0,0,0
alb,SavnGrasslnd,0,0,0,0,0,0,0,0,111623,172377,130959,0,0,0,0,0,0,0
alb,Shrubland,0,0,0,0,0,0,0,0,239865,0,124204,0,0,0,0,0,0,0
alb,Cropland,0,0,0,0,0,0,0,0,266984,205301,205272,0,0,0,0,0,0,0
alb,Pastureland,0,0,0,0,0,0,0,0,89791,175732,134716,0,0,0,0,0,0,0
alb,Builtupland,0,0,0,0,0,0,0,0,356,7279,8730,0,0,0,0,0,0,0
alb,Otherland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
and,Forest,0,0,0,0,0,0,0,0,0,148702,0,0,0,0,0,0,0,0
and,SavnGrasslnd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
and,Shrubland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
and,Cropland,0,0,0,0,0,0,0,0,0,20558,0,0,0,0,0,0,0,0
and,Pastureland,0,0,0,0,0,0,0,0,0,53256,0,0,0,0,0,0,0,0
and,Builtupland,0,0,0,0,0,0,0,0,0,7135,0,0,0,0,0,0,0,0
and,Otherland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ant,Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ant,SavnGrasslnd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ant,Shrubland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ant,Cropland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ant,Pastureland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ant,Builtupland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ant,Otherland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
are,Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
are,SavnGrasslnd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
are,Shrubland,285870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
are,Cropland,180144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
are,Pastureland,335199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
are,Builtupland,94818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
are,Otherland,7610358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arg,Forest,0,0,0,0,0,0,508738,1906341,5035602,3997986,0,4451938,45486,3343380,626451,0,0,0
arg,SavnGrasslnd,0,0,0,0,0,0,29760626,8612728,9868012,2423737,4627063,12799616,5498310,3220450,543490,362526,0,0
arg,Shrubland,0,0,0,0,0,0,15698402,8525831,7435936,4946791,1114067,498624,0,0,0,0,0,0
arg,Cropland,0,0,0,0,0,0,1200706,3041223,4861095,7859038,7060478,9937300,37738,11216,1739,0,0,0
arg,Pastureland,0,0,0,0,0,0,45167040,6183050,3136118,3062172,5076108,20031458,10762485,2976524,57223,0,0,0
arg,Builtupland,0,0,0,0,0,0,249902,55030,37661,130938,59955,503817,11747,11334,4531,0,0,0
arg,Otherland,0,0,0,0,0,0,1438119,633373,0,0,0,0,10025021,658109,897356,176841,0,0
arm,Forest,0,0,0,0,0,0,0,0,289480,0,0,0,0,131182,163244,0,0,0
arm,SavnGrasslnd,0,0,0,0,0,0,0,283361,0,0,0,0,0,0,127012,0,0,0
arm,Shrubland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arm,Cropland,0,0,0,0,0,0,0,170081,91866,0,0,0,0,67265,81767,0,0,0
arm,Pastureland,0,0,0,0,0,0,0,368157,93006,0,0,0,0,152654,96476,0,0,0
arm,Builtupland,0,0,0,0,0,0,0,15376,936,0,0,0,0,1136,1570,0,0,0
arm,Otherland,0,0,0,0,0,0,0,111915,0,0,0,0,0,121348,0,0,0,0
asm,Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asm,SavnGrasslnd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asm,Shrubland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asm,Cropland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asm,Pastureland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asm,Builtupland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asm,Otherland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atg,Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atg,SavnGrasslnd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atg,Shrubland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atg,Cropland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atg,Pastureland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atg,Builtupland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atg,Otherland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aus,Forest,0,0,0,976570,586274,507997,0,0,299757,793716,10197720,13857197,0,0,0,0,231104,0
aus,SavnGrasslnd,8063880,31202008,36511860,6455404,543758,583375,58529564,10739384,8672014,7345334,6800809,4755342,0,0,0,0,670329,0
aus,Shrubland,42026304,22845084,1212776,1916117,284155,0,180636896,9689801,5408244,2365787,1345446,168606,0,0,0,0,0,0
