Sheet created 10-30-07,,,,
gpk,,,,

"Purpose is to change minicam-energy-inputs of all electric technologies from ""electricity"" to ""electricity_net_ownuse""",,,,

Delete electricity minicam-energy-input,,,,
INPUT_TABLE,,,,
Variable ID,,,,
666,,,,
,,,,for mainline
Region,supplysector,subsector,technology,fuelname
Africa,H2ProdCS,electrolysis,electrolysis,elect_td_ind
Australia_NZ,H2ProdCS,electrolysis,electrolysis,elect_td_ind
Canada,H2ProdCS,electrolysis,electrolysis,elect_td_ind
China,H2ProdCS,electrolysis,electrolysis,elect_td_ind
Eastern Europe,H2ProdCS,electrolysis,electrolysis,elect_td_ind
Former Soviet Union,H2ProdCS,electrolysis,electrolysis,elect_td_ind,
India,H2ProdCS,electrolysis,electrolysis,elect_td_ind,
Japan,H2ProdCS,electrolysis,electrolysis,elect_td_ind,
Korea,H2ProdCS,electrolysis,electrolysis,elect_td_ind,
Latin America,H2ProdCS,electrolysis,electrolysis,elect_td_ind,
Middle East,H2ProdCS,electrolysis,electrolysis,elect_td_ind,
Southeast Asia,H2ProdCS,electrolysis,electrolysis,elect_td_ind,
USA,H2ProdCS,electrolysis,electrolysis,elect_td_ind,
Western Europe,H2ProdCS,electrolysis,electrolysis,elect_td_ind,


Efficiencies,,,,,
INPUT_TABLE,,,,,
Variable ID,,,,,
667,,,,,
,,,,,efficiencies
Region,supplysector,subsector,technology,minicam-energy-input,1975,1990,2005,2020,2035,2050,2065,2080,2095
Africa,H2ProdCS,electrolysis,electrolysis,elect_td_ind,0.75,0.75,0.75,0.75,0.8,0.85,0.863,0.876,0.889
Australia_NZ,H2ProdCS,electrolysis,electrolysis,elect_td_ind,0.75,0.75,0.75,0.75,0.8,0.85,0.863,0.876,0.889
Canada,H2ProdCS,electrolysis,electrolysis,elect_td_ind,0.75,0.75,0.75,0.75,0.8,0.85,0.863,0.876,0.889
China,H2ProdCS,electrolysis,electrolysis,elect_td_ind,0.75,0.75,0.75,0.75,0.8,0.85,0.863,0.876,0.889
Eastern Europe,H2ProdCS,electrolysis,electrolysis,elect_td_ind,0.75,0.75,0.75,0.75,0.8,0.85,0.863,0.876,0.889
Former Soviet Union,H2ProdCS,electrolysis,electrolysis,elect_td_ind,0.75,0.75,0.75,0.75,0.8,0.85,0.863,0.876,0.889
India,H2ProdCS,electrolysis,electrolysis,elect_td_ind,0.75,0.75,0.75,0.75,0.8,0.85,0.863,0.876,0.889
Japan,H2ProdCS,electrolysis,electrolysis,elect_td_ind,0.75,0.75,0.75,0.75,0.8,0.85,0.863,0.876,0.889
Korea,H2ProdCS,electrolysis,electrolysis,elect_td_ind,0.75,0.75,0.75,0.75,0.8,0.85,0.863,0.876,0.889
Latin America,H2ProdCS,electrolysis,electrolysis,elect_td_ind,0.75,0.75,0.75,0.75,0.8,0.85,0.863,0.876,0.889
Middle East,H2ProdCS,electrolysis,electrolysis,elect_td_ind,0.75,0.75,0.75,0.75,0.8,0.85,0.863,0.876,0.889
Southeast Asia,H2ProdCS,electrolysis,electrolysis,elect_td_ind,0.75,0.75,0.75,0.75,0.8,0.85,0.863,0.876,0.889
USA,H2ProdCS,electrolysis,electrolysis,elect_td_ind,0.75,0.75,0.75,0.75,0.8,0.85,0.863,0.876,0.889
Western Europe,H2ProdCS,electrolysis,electrolysis,elect_td_ind,0.75,0.75,0.75,0.75,0.8,0.85,0.863,0.876,0.889
