AEZ_ID,country,AEZ,GCAM_region_ID,GCAM_region_name
107,Afghanistan,7,11,Southeast Asia
108,Afghanistan,8,11,Southeast Asia
109,Afghanistan,9,11,Southeast Asia
110,Afghanistan,10,11,Southeast Asia
113,Afghanistan,13,11,Southeast Asia
114,Afghanistan,14,11,Southeast Asia
209,Albania,9,12,Eastern Europe
210,Albania,10,12,Eastern Europe
211,Albania,11,12,Eastern Europe
301,Algeria,1,9,Africa
307,Algeria,7,9,Africa
308,Algeria,8,9,Africa
309,Algeria,9,9,Africa
310,Algeria,10,9,Africa
410,Andorra,10,3,Western Europe
501,Angola,1,9,Africa
502,Angola,2,9,Africa
503,Angola,3,9,Africa
504,Angola,4,9,Africa
505,Angola,5,9,Africa
508,Angola,8,9,Africa
509,Angola,9,9,Africa
510,Angola,10,9,Africa
511,Angola,11,9,Africa
607,Argentina,7,10,Latin America
608,Argentina,8,10,Latin America
609,Argentina,9,10,Latin America
610,Argentina,10,10,Latin America
611,Argentina,11,10,Latin America
612,Argentina,12,10,Latin America
613,Argentina,13,10,Latin America
614,Argentina,14,10,Latin America
615,Argentina,15,10,Latin America
616,Argentina,16,10,Latin America
708,Armenia,8,6,Former Soviet Union
709,Armenia,9,6,Former Soviet Union
714,Armenia,14,6,Former Soviet Union
715,Armenia,15,6,Former Soviet Union
801,Australia,1,5,Australia_NZ
802,Australia,2,5,Australia_NZ
803,Australia,3,5,Australia_NZ
804,Australia,4,5,Australia_NZ
805,Australia,5,5,Australia_NZ
806,Australia,6,5,Australia_NZ
807,Australia,7,5,Australia_NZ
808,Australia,8,5,Australia_NZ
809,Australia,9,5,Australia_NZ
810,Australia,10,5,Australia_NZ
811,Australia,11,5,Australia_NZ
812,Australia,12,5,Australia_NZ
817,Australia,17,5,Australia_NZ
910,Austria,10,3,Western Europe
911,Austria,11,3,Western Europe
915,Austria,15,3,Western Europe
916,Austria,16,3,Western Europe
1008,Azerbaijan,8,6,Former Soviet Union
1009,Azerbaijan,9,6,Former Soviet Union
1014,Azerbaijan,14,6,Former Soviet Union
1015,Azerbaijan,15,6,Former Soviet Union
1104,Bangladesh,4,11,Southeast Asia
1105,Bangladesh,5,11,Southeast Asia
1210,Bellux,10,3,Western Europe
1211,Bellux,11,3,Western Europe
1310,Belarus,10,6,Former Soviet Union
1406,Belize,6,10,Latin America
1503,Benin,3,9,Africa
1504,Benin,4,9,Africa
1505,Benin,5,9,Africa
1611,Bhutan,11,11,Southeast Asia
1612,Bhutan,12,11,Southeast Asia
1616,Bhutan,16,11,Southeast Asia
1701,Bolivia,1,10,Latin America
1702,Bolivia,2,10,Latin America
1703,Bolivia,3,10,Latin America
1704,Bolivia,4,10,Latin America
1705,Bolivia,5,10,Latin America
1706,Bolivia,6,10,Latin America
1707,Bolivia,7,10,Latin America
1708,Bolivia,8,10,Latin America
1709,Bolivia,9,10,Latin America
1710,Bolivia,10,10,Latin America
1711,Bolivia,11,10,Latin America
1712,Bolivia,12,10,Latin America
1713,Bolivia,13,10,Latin America
1714,Bolivia,14,10,Latin America
1715,Bolivia,15,10,Latin America
1716,Bolivia,16,10,Latin America
1810,Bosnia Herzg,10,12,Eastern Europe
1811,Bosnia Herzg,11,12,Eastern Europe
1812,Bosnia Herzg,12,12,Eastern Europe
1907,Botswana,7,9,Africa
1908,Botswana,8,9,Africa
1909,Botswana,9,9,Africa
2001,Brazil,1,10,Latin America
2002,Brazil,2,10,Latin America
2003,Brazil,3,10,Latin America
2004,Brazil,4,10,Latin America
2005,Brazil,5,10,Latin America
2006,Brazil,6,10,Latin America
2010,Brazil,10,10,Latin America
2011,Brazil,11,10,Latin America
2012,Brazil,12,10,Latin America
2106,Brunei Darsm,6,11,Southeast Asia
2209,Bulgaria,9,12,Eastern Europe
2210,Bulgaria,10,12,Eastern Europe
2301,Burkina Faso,1,9,Africa
2302,Burkina Faso,2,9,Africa
2303,Burkina Faso,3,9,Africa
2304,Burkina Faso,4,9,Africa
2405,Burundi,5,9,Africa
2504,Cambodia,4,7,China
2505,Cambodia,5,7,China
2506,Cambodia,6,7,China
2602,Cameroon,2,9,Africa
2603,Cameroon,3,9,Africa
2604,Cameroon,4,9,Africa
2605,Cameroon,5,9,Africa
2606,Cameroon,6,9,Africa
2707,Canada,7,2,Canada
2708,Canada,8,2,Canada
2709,Canada,9,2,Canada
2710,Canada,10,2,Canada
2711,Canada,11,2,Canada
2713,Canada,13,2,Canada
2714,Canada,14,2,Canada
2715,Canada,15,2,Canada
2716,Canada,16,2,Canada
2803,Cent Afr Rep,3,9,Africa
2804,Cent Afr Rep,4,9,Africa
2805,Cent Afr Rep,5,9,Africa
2806,Cent Afr Rep,6,9,Africa
2901,Chad,1,9,Africa
2902,Chad,2,9,Africa
2903,Chad,3,9,Africa
2904,Chad,4,9,Africa
2907,Chad,7,9,Africa
3001,Chile,1,10,Latin America
3007,Chile,7,10,Latin America
3008,Chile,8,10,Latin America
3009,Chile,9,10,Latin America
3010,Chile,10,10,Latin America
3011,Chile,11,10,Latin America
3012,Chile,12,10,Latin America
3013,Chile,13,10,Latin America
3014,Chile,14,10,Latin America
3015,Chile,15,10,Latin America
3016,Chile,16,10,Latin America
3017,Chile,17,10,Latin America
3018,Chile,18,10,Latin America
3104,China,4,7,China
3105,China,5,7,China
3106,China,6,7,China
3107,China,7,7,China
3108,China,8,7,China
3109,China,9,7,China
3110,China,10,7,China
3111,China,11,7,China
3112,China,12,7,China
3113,China,13,7,China
3114,China,14,7,China
3115,China,15,7,China
3116,China,16,7,China
3117,China,17,7,China
3202,Colombia,2,10,Latin America
3203,Colombia,3,10,Latin America
3204,Colombia,4,10,Latin America
3205,Colombia,5,10,Latin America
3206,Colombia,6,10,Latin America
3211,Colombia,11,10,Latin America
3212,Colombia,12,10,Latin America
3305,Congo,5,9,Africa
3306,Congo,6,9,Africa
3404,Costa Rica,4,10,Latin America
3405,Costa Rica,5,10,Latin America
3406,Costa Rica,6,10,Latin America
3504,Cote Divoire,4,9,Africa
3505,Cote Divoire,5,9,Africa
3506,Cote Divoire,6,9,Africa
3610,Croatia,10,12,Eastern Europe
3611,Croatia,11,12,Eastern Europe
3612,Croatia,12,12,Eastern Europe
3704,Cuba,4,10,Latin America
3705,Cuba,5,10,Latin America
3706,Cuba,6,10,Latin America
3810,Czech Rep,10,12,Eastern Europe
3910,Denmark,10,3,Western Europe
4001,Djibouti,1,9,Africa
4105,Dominican Rp,5,10,Latin America
4106,Dominican Rp,6,10,Latin America
4201,Ecuador,1,10,Latin America
4202,Ecuador,2,10,Latin America
4203,Ecuador,3,10,Latin America
4204,Ecuador,4,10,Latin America
4205,Ecuador,5,10,Latin America
4206,Ecuador,6,10,Latin America
4208,Ecuador,8,10,Latin America
4209,Ecuador,9,10,Latin America
4210,Ecuador,10,10,Latin America
4211,Ecuador,11,10,Latin America
