Category,LT_SAGE,LT_HYDE,LT_WDPA
101,Forest,Unmanaged,Protected
102,Grassland,Unmanaged,Protected
103,Shrubland,Unmanaged,Protected
104,Tundra,Unmanaged,Protected
105,RockIceDesert,Unmanaged,Protected
111,Forest,Cropland,Protected
112,Grassland,Cropland,Protected
113,Shrubland,Cropland,Protected
114,Tundra,Cropland,Protected
115,RockIceDesert,Cropland,Protected
121,Forest,Pasture,Protected
122,Grassland,Pasture,Protected
123,Shrubland,Pasture,Protected
124,Tundra,Pasture,Protected
125,RockIceDesert,Pasture,Protected
131,Forest,Urbanland,Protected
132,Grassland,Urbanland,Protected
133,Shrubland,Urbanland,Protected
134,Tundra,Urbanland,Protected
135,RockIceDesert,Urbanland,Protected
201,Forest,Unmanaged,Non-protected
202,Grassland,Unmanaged,Non-protected
203,Shrubland,Unmanaged,Non-protected
204,Tundra,Unmanaged,Non-protected
205,RockIceDesert,Unmanaged,Non-protected
211,Forest,Cropland,Non-protected
212,Grassland,Cropland,Non-protected
213,Shrubland,Cropland,Non-protected
214,Tundra,Cropland,Non-protected
215,RockIceDesert,Cropland,Non-protected
221,Forest,Pasture,Non-protected
222,Grassland,Pasture,Non-protected
223,Shrubland,Pasture,Non-protected
224,Tundra,Pasture,Non-protected
225,RockIceDesert,Pasture,Non-protected
231,Forest,Urbanland,Non-protected
232,Grassland,Urbanland,Non-protected
233,Shrubland,Urbanland,Non-protected
234,Tundra,Urbanland,Non-protected
235,RockIceDesert,Urbanland,Non-protected
