# File: Bond_OC_1990.csv
# Title: 1990 OC emissions by Minicam 17 regions, technology, fuel
# Units: Gg C
# Source: Bond et al. 2007. Global Biogeochemical Cycles 21 GB2018. DOI: 10.1029/2006GB002840
Technology,USA , Canada , WEurope , Japan , AustraliaAndNZ , FUSSR , EEurope , ChinaCPA , India , SandEAsia , SKorea , MiddleEast , Africa , LAmerica , Argentina , Brazil , Mexico 
Elec_Coal,0.64,0.06,3.45,0.01,0.26,0.27,0.62,9.52,0.67,0.78,0,0.02,0.12,0.01,0,0,0.01
Elec_Gas,0.05,0,0.02,0.02,0,0.14,0.01,0,0,0.01,0,0.01,0.01,0.01,0,0,0
Elec_Petroleum,0.39,0.05,0.65,0.67,0,1.05,0.2,0.23,0.04,0.26,0.06,0.28,0.14,0.14,0.02,0.01,0.24
Elec_Gasoline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elec_Diesel,0,0,0.05,0,0,0,0.34,0.02,0,0,0,0.01,0,0,0,0,0
Elec_Biomass,8.3,0.17,1.54,0.31,0.39,0,0.22,0,0,0,0,0,0,0.57,0.06,0.29,0
OtherTransf_Coal,8.16,1.16,19.8,17.56,1.39,29.09,14.52,98.4,6.68,0.6,2.75,0.54,4.65,0.72,0.61,5.61,1.58
OtherTransf_Gas,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OtherTransf_Petroleum,62.46,6.18,50.42,15.52,2.79,39.63,6.17,10.2,4.73,10.9,3.8,18.37,9.55,10.03,2.14,5.39,6.3
OtherTransf_Gasoline,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07
OtherTransf_Diesel,0.07,0.02,1.03,0.01,0,0,0.02,0.14,0,0,0.01,0,0,0.17,0.2,0.38,0.94
OtherTransf_Biomass,0,0,0.07,0,0,0,0,3.33,0,43.32,0,0.84,98.87,6.77,1.43,45.05,0
Industry_Coal,40.64,0.02,8.93,0.09,0.14,7.65,9.68,169.71,14.21,7.47,0.01,0,1.86,0.22,0,0.05,0.02
Industry_Gas,0.07,0.01,0.05,0,0,0.1,0.02,0,0,0,0,0.02,0,0.01,0,0,0.01
Industry_Petroleum,0.28,0.09,0.63,2.41,0.02,2.31,0.1,0.25,0.1,0.17,0.28,0.54,0.19,0.17,0.02,0.13,0.29
Industry_Gasoline,1.82,0,0.27,0,0.05,19.8,0.02,1.52,0,0.05,0,0.01,0.03,0.05,0,0,0
Industry_Diesel,21.38,3.4,20.66,9.99,2.25,38.75,6.98,15.1,1.42,11.36,2.39,7.61,8.28,5.51,1.55,3.43,2.44
Industry_Biomass,4.47,1.57,17.54,0.19,1.33,0,3.01,6.36,151.93,75.55,0,4.09,237.99,102.13,10.84,137.52,13.13
Industry_BioLiquid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirTransport_Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirTransport_Petroleum,2.01,0.12,0.83,0.2,0.09,0.61,0.03,0.08,0.05,0.19,0.06,0.21,0.13,0.08,0.02,0.07,0.05
AirTransport_Gasoline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirTransport_Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RoadTransport_Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RoadTransport_Petroleum,0,0,0.01,0,0,0,0.03,0.13,0.04,0.01,0.01,0,0,0,0,0,0
RoadTransport_Gasoline,55.96,4.65,35.33,6.11,2.75,41.06,8.11,26.65,19.19,75.02,0.52,92.35,99.67,80.26,17.72,28.76,80.71
RoadTransport_Diesel,26.43,2.08,38.99,19.66,3.4,16.78,7.27,5.1,16.12,16.39,4.99,14.55,12.86,7.38,3.85,14.39,6.7
RoadTransport_BioLiquid,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,42.56,0
RailTransport_Coal,0,0,0.01,0,0,1.87,0.06,4.04,1.04,0,0,0,0.06,0,0,0,0
RailTransport_Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RailTransport_Petroleum,0,0,0.1,0,0,3.16,0,0.05,0.04,0.17,0.01,0,0,0.03,0,0,0
RailTransport_Gasoline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RailTransport_Diesel,16.22,3.14,4.79,0.47,0.86,18.32,1.3,3.23,2.3,0.55,0.43,0.03,0.33,0.09,0,0.79,1.02
RailTransport_Biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OtherTransport_Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OtherTransport_Gas,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OtherTransport_Petroleum,0,0,0.09,0,0.03,0.24,0,0.01,0.01,0,0,0,0,0.01,0,0,0
OtherTransport_Gasoline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OtherTransport_Diesel,0.98,0.01,0.01,0,0.4,4.74,0.04,0,0.01,0,0,0,0,0.6,0,0,0
ShipTransport_Coal,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0
ShipTransport_Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ShipTransport_Petroleum,0.11,0.22,0.37,0.87,0.14,0.59,0.13,0.18,0.1,0.03,0.38,0,0,0.08,0,0.26,0
ShipTransport_Gasoline,0.15,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ShipTransport_Diesel,0,0.26,1.81,0.48,0.07,2.44,0.02,0.7,0.09,0.46,0.15,0,0.03,0.16,0,0.1,0
InterBunkers_Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InterBunkers_Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InterBunkers_Petroleum,7.26,0.23,9,1.64,0.24,1.5,0.11,0.81,0.04,3.82,0.44,2.97,1.43,0.96,0.14,0.13,0.18
InterBunkers_Gasoline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InterBunkers_Diesel,2.28,0.07,2.66,0.06,0.08,0,0.05,0.13,0.01,0.33,0.09,0.1,0.33,0.24,0.09,0.05,0.04
CommBuildings_Coal,16.22,0.03,24.18,0.19,0.51,40.6,13.04,16.93,11.41,0,0.09,0,4.7,0,0,0,0
CommBuildings_Gas,0.04,0.01,0.01,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0
CommBuildings_Petroleum,0.12,0.02,0.06,0.67,0,0.05,0.01,0.13,0,0.01,0.23,0.07,0,0.02,0,0.01,0.01
