# File: GAINS_activities.csv
# Title: GAINS model historical/modeled activity data
# Description: Activity data by GAINS sector for historical and modeled years
# Units: Identified by variable in data
# Source: Rao et al. 2017 "Future air pollution in the Shared Socio-economic Pathways" Global Environmental Change.
TIMER_REGION,TIMER_SECTOR,UNIT,IDYEARS,ACT
Asia-Stan,CEMENT,Mt,2000,2.164000016
Asia-Stan,CEMENT,Mt,2005,2.301490016
Asia-Stan,CEMENT,Mt,2010,2.432100016
Asia-Stan,CEMENT,Mt,2020,2.621878518
Asia-Stan,CEMENT,Mt,2030,2.888712319
Asia-Stan,CHEM,Mt,2000,0.629
Asia-Stan,CHEM,Mt,2005,0.64327
Asia-Stan,CHEM,Mt,2010,0.65639
Asia-Stan,CHEM,Mt,2020,0.70797
Asia-Stan,CHEM,Mt,2030,0.78063
Asia-Stan,CHEMBULK,Mt,2000,1.48767
Asia-Stan,CHEMBULK,Mt,2005,1.221427
Asia-Stan,CHEMBULK,Mt,2010,1.221427
Asia-Stan,CHEMBULK,Mt,2020,1.221427
Asia-Stan,CHEMBULK,Mt,2030,1.221427
Asia-Stan,CUSM,Mt,2000,0.83201
Asia-Stan,CUSM,Mt,2005,0.85089
Asia-Stan,CUSM,Mt,2010,0.86824
Asia-Stan,CUSM,Mt,2020,0.93647
Asia-Stan,CUSM,Mt,2030,1.03258
Asia-Stan,End_Use_Industry_Coal,PJ,2000,344.5100034
Asia-Stan,End_Use_Industry_Coal,PJ,2005,301.0166849
Asia-Stan,End_Use_Industry_Coal,PJ,2010,454.1103261
Asia-Stan,End_Use_Industry_Coal,PJ,2020,302.4301481
Asia-Stan,End_Use_Industry_Coal,PJ,2030,313.4683311
Asia-Stan,End_Use_Industry_HLF,PJ,2000,119.7794018
Asia-Stan,End_Use_Industry_HLF,PJ,2005,129.869661
Asia-Stan,End_Use_Industry_HLF,PJ,2010,68.149623
Asia-Stan,End_Use_Industry_HLF,PJ,2020,104.4016909
Asia-Stan,End_Use_Industry_HLF,PJ,2030,122.7138662
Asia-Stan,End_Use_Industry_LLF,PJ,2000,4.140000041
Asia-Stan,End_Use_Industry_LLF,PJ,2005,5.160785476
Asia-Stan,End_Use_Industry_LLF,PJ,2010,3.173553739
Asia-Stan,End_Use_Industry_LLF,PJ,2020,4.092723358
Asia-Stan,End_Use_Industry_LLF,PJ,2030,1.85836379
Asia-Stan,End_Use_Industry_NatGas,PJ,2000,273.9344669
Asia-Stan,End_Use_Industry_NatGas,PJ,2005,289.9768212
Asia-Stan,End_Use_Industry_NatGas,PJ,2010,297.6716156
Asia-Stan,End_Use_Industry_NatGas,PJ,2020,419.1353795
Asia-Stan,End_Use_Industry_NatGas,PJ,2030,489.6239289
Asia-Stan,End_Use_Others_Bio_Mod,PJ,2000,0.0323
Asia-Stan,End_Use_Others_Bio_Mod,PJ,2005,0.152798789
Asia-Stan,End_Use_Others_Bio_Mod,PJ,2010,0.274926893
Asia-Stan,End_Use_Others_Bio_Mod,PJ,2020,1.263351448
