# File: EPA_NOx.csv
# Title: EPA nitrous oxide emissions
# Units: thousand short tons (?)
# Source: EPA National Emissions Trends
# Description: These EPA data files come from the old GCAM3 system (they were in nonco2/Input Data/EPA National Inventories). The documentation there is limited. For example, the CO file says: "National Emissions Trends -- updated 7/18/2005. Carbon Monoxide Emissions (thousand short tons)."
Source_Category_Raw,Source_Category,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
TOTAL ALL SOURCES,TOTAL ALL SOURCES,26883.00,26741.00,27025.00,27305.00,26958.00,26377.00,27237.00,27646.00,27502.00,27260.00,27079.00,26836.00,26422.00,26169.00,26717.00,25757.00,25422.00,25582.00,26074.00,25378.00,25529.00,25179.00,25260.00,25357.00,25349.00,24956.00,24787.00,24705.00,24348.00,22845.00,22598.00,21547.00,21102.00
FUEL COMBUSTION TOTAL (Tier 0 - 01),FUEL COMBUSTION TOTAL (Tier 0 - 01),10061.00,10372.00,10806.00,11179.00,10903.00,10486.00,11291.00,11740.00,11602.00,11409.00,11320.00,11188.00,10992.00,10728.00,11352.00,10048.00,9870.00,10014.00,10472.00,10537.00,10894.00,10779.00,10928.00,11111.00,11015.00,10827.00,10513.00,10554.00,10383.00,9198.00,8819.00,8454.00,8294.00
FUEL COMB. ELEC. UTIL. (Tier 1 - 01),FUEL COMB. ELEC. UTIL. (Tier 1 - 01),4900.00,5080.00,5410.00,5789.00,5743.00,5694.00,6120.00,6567.00,6423.00,6433.00,7024.00,7054.00,6776.00,6921.00,7268.00,6127.00,6111.00,6246.00,6545.00,6593.00,6663.00,6519.00,6504.00,6651.00,6565.00,6384.00,6164.00,6276.00,6232.00,5721.00,5330.00,4917.00,4700.00
Coal,FUEL COMB. ELEC. UTIL. (Tier 1 - 01)_Coal,3888.00,4022.00,4303.00,4761.00,4749.00,4828.00,5287.00,5689.00,5553.00,5538.00,6123.00,6175.00,6003.00,6222.00,6515.00,5240.00,5239.00,5376.00,5666.00,5676.00,5642.00,5559.00,5579.00,5744.00,5636.00,5579.00,5601.00,5644.00,5436.00,4909.00,4563.00,4208.00,4097.00
        bituminous,FUEL COMB. ELEC. UTIL. (Tier 1 - 01)_        bituminous,2112.00,2150.00,2274.00,2498.00,2518.00,2590.00,2849.00,3040.00,2988.00,3027.00,3439.00,3510.00,3472.00,3614.00,3820.00,4378.00,4386.00,4465.00,4542.00,4595.00,4532.00,4435.00,4456.00,4403.00,4207.00,3830.00,3802.00,3828.00,3635.00,3515.00,3221.00,2940.00,2635.00
        subbituminous,FUEL COMB. ELEC. UTIL. (Tier 1 - 01)_        subbituminous,1041.00,1059.00,1120.00,1231.00,1240.00,1276.00,1403.00,1497.00,1472.00,1491.00,1694.00,1729.00,1710.00,1780.00,1882.00,668.00,635.00,702.00,867.00,837.00,857.00,874.00,868.00,1087.00,1167.00,1475.00,1570.00,1591.00,1575.00,1137.00,1087.00,1035.00,1296.00
        anthracite & lignite,FUEL COMB. ELEC. UTIL. (Tier 1 - 01)_        anthracite & lignite,344.00,348.00,366.00,400.00,403.00,414.00,453.00,484.00,472.00,479.00,542.00,551.00,546.00,566.00,597.00,194.00,218.00,209.00,256.00,245.00,254.00,250.00,255.00,255.00,262.00,273.00,229.00,225.00,226.00,256.00,255.00,233.00,163.00
        other,,391.00,465.00,542.00,632.00,587.00,548.00,582.00,668.00,621.00,541.00,447.00,385.00,274.00,261.00,217.00, , , , , , , , , , , , , , , , , ,3.00
Oil,FUEL COMB. ELEC. UTIL. (Tier 1 - 01)_Oil,1012.00,1058.00,1107.00,1029.00,993.00,866.00,833.00,878.00,870.00,895.00,901.00,879.00,774.00,699.00,752.00,193.00,263.00,217.00,273.00,285.00,221.00,212.00,170.00,180.00,163.00,96.00,118.00,145.00,223.00,201.00,166.00,170.00,130.00
        residual,FUEL COMB. ELEC. UTIL. (Tier 1 - 01)_        residual,40.00,56.00,109.00,125.00,135.00,101.00,97.00,122.00,123.00,78.00,39.00,26.00,18.00,17.00,23.00,178.00,247.00,201.00,256.00,268.00,207.00,198.00,158.00,166.00,149.00,94.00,116.00,142.00,220.00,185.00,152.00,156.00,121.00
        distillate,FUEL COMB. ELEC. UTIL. (Tier 1 - 01)_        distillate,972.00,1001.00,998.00,904.00,858.00,765.00,736.00,756.00,747.00,818.00,862.00,853.00,756.00,682.00,729.00,15.00,16.00,16.00,16.00,17.00,14.00,14.00,13.00,14.00,14.00,2.00,2.00,2.00,3.00,16.00,14.00,13.00,8.00
        other,, , , , , , , , , , , , , , , , , , , , ,0.00, , , , , , , , , , , , 
Gas,FUEL COMB. ELEC. UTIL. (Tier 1 - 01)_Gas, , , , , , , , , , , , , , , ,646.00,559.00,605.00,557.00,582.00,565.00,580.00,579.00,551.00,591.00,562.00,285.00,319.00,381.00,434.00,422.00,359.00,270.00
        natural,, , , , , , , , , , , , , , , ,646.00,559.00,605.00,557.00,582.00,565.00,580.00,579.00,551.00,591.00,562.00,273.00,306.00,363.00,426.00,414.00,352.00,264.00
        process,, , , , , , , , , , , , , , , , , , , , , , , , , , ,12.00,13.00,19.00,7.00,8.00,7.00,6.00
Other,FUEL COMB. ELEC. UTIL. (Tier 1 - 01)_Other, , , , , , , , , , , , , , , , , , , , ,0.00, , , , , ,7.00,8.00,28.00,41.00,40.00,41.00,50.00
Internal Combustion,FUEL COMB. ELEC. UTIL. (Tier 1 - 01)_Inter0l Combustion, , , , , , , , , , , , , , , ,48.00,50.00,48.00,50.00,49.00,235.00,168.00,175.00,176.00,175.00,148.00,153.00,161.00,164.00,137.00,140.00,139.00,152.00
FUEL COMB. INDUSTRIAL (Tier 1 - 02),FUEL COMB. INDUSTRIAL (Tier 1 - 02),4325.00,4445.00,4531.00,4546.00,4353.00,4007.00,4331.00,4357.00,4348.00,4193.00,3555.00,3445.00,3520.00,3160.00,3415.00,3209.00,3065.00,3063.00,3187.00,3209.00,3035.00,2979.00,3071.00,3151.00,3147.00,3144.00,3151.00,3101.00,3050.00,2709.00,2723.00,2757.00,2870.00
Coal,FUEL COMB. INDUSTRIAL (Tier 1 - 02)_Coal,771.00,640.00,614.00,566.00,528.00,520.00,485.00,461.00,469.00,509.00,444.00,511.00,498.00,512.00,573.00,608.00,613.00,596.00,617.00,615.00,584.00,570.00,574.00,589.00,602.00,597.00,540.00,537.00,524.00,419.00,408.00,432.00,447.00
        bituminous,FUEL COMB. INDUSTRIAL (Tier 1 - 02)_        bituminous,532.00,442.00,426.00,392.00,366.00,359.00,333.00,318.00,324.00,352.00,306.00,354.00,345.00,355.00,397.00,430.00,439.00,435.00,447.00,446.00,399.00,387.00,405.00,413.00,420.00,412.00,366.00,364.00,357.00,244.00,237.00,250.00,232.00
