# File: GV_mac_reduction.csv
# Title: Mapping for tax and mac reduction for Guus Velders data
# Units: 1990 USD
# Source: Unknown
# Column types: ii 
# ----------
tax,GV_year
0,0
10,2020
25,2025
50,2035
100,2050
200,2100
