# File: GFED_Deforest_OC.csv
# Title: OC Emissions from deforestation by country 
# Units: unknown
# Comments: Data processed by Yannick Le Page from gridded data, years 1996 to 2013
# Source:  GFED v3 (https://daac.ornl.gov/VEGETATION/guides/global_fire_emissions_v3.1.html)
Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGO,0,11177.15961,9015.3778,3509.79804,2895.811554,6718.019608,8492.580749,23961.69451,11718.90849,6604.221182,4174.063793,15093.87884,4842.295619,2883.95499,2708.869061,3944.682378,4269.522091,1066.140326,2271.750092
ASM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARG,0,671.7680324,5883.626815,9166.475247,9985.912997,4392.567556,1518.164866,1946.631526,3483.599556,2750.821291,3946.091538,4159.391448,4799.606147,4482.960553,13730.97848,8807.727005,2915.760059,5177.623872,23752.78978
AUS,0,480.0164583,2099.982375,1679.936171,5243.635519,2081.050581,4017.283467,1942.042796,12200.20952,7197.108085,8199.804286,3473.918922,2582.064751,1612.474776,5478.673937,1213.372509,5095.676322,4215.672576,2604.106717
BHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGD,0,1350.518424,537.0759353,736.4764889,7171.043875,789.4878649,746.8363372,8.765311137,41.81566459,118.2293007,17.69753,1484.60134,1144.372756,561.1507188,1366.51182,939.7429363,28.52268357,83.39108371,344.1071199
BLZ,0,4443.462867,1351.064103,7545.361404,1343.035545,5399.810419,1493.891063,0,6270.224763,124.2199096,2158.780656,87.26739189,5763.495783,1790.721197,827.07465,0,17931.22673,421.6978811,4282.212031
BIH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOL,0,2019.899472,27542.84275,21842.72431,57716.50547,11328.26812,3234.877586,14699.54091,4420.818408,74928.25155,25051.08994,13172.61869,40110.03674,18439.31471,5705.513035,50457.40429,31825.0047,5948.956064,4559.651109
