# File: HFC_Inventory_GV.csv
# Title: F gases historical trend (SSP2_GV)
# Units: kt
# Source: Guus Velders HFC inventory
# Description: HFC emissions from scenario - SSP2_GV 1990 - 2012
# Column types: cinc 
# ----------
Species,Year,Emissions,Scenario
HFC-32,1990,0,SSP2_GV
HFC-32,1991,0.0015,SSP2_GV
HFC-32,1992,0.0047,SSP2_GV
HFC-32,1993,0.0094,SSP2_GV
HFC-32,1994,0.0179,SSP2_GV
HFC-32,1995,0.0367,SSP2_GV
HFC-32,1996,0.0665,SSP2_GV
HFC-32,1997,0.1143,SSP2_GV
HFC-32,1998,0.1579,SSP2_GV
HFC-32,1999,0.5644,SSP2_GV
HFC-32,2000,1.0617,SSP2_GV
HFC-32,2001,1.3881,SSP2_GV
HFC-32,2002,1.8464,SSP2_GV
HFC-32,2003,2.6572,SSP2_GV
HFC-32,2004,4.1141,SSP2_GV
HFC-32,2005,5.2936,SSP2_GV
HFC-32,2006,6.6246,SSP2_GV
HFC-32,2007,8.0821,SSP2_GV
HFC-32,2008,9.1599,SSP2_GV
HFC-32,2009,11.1798,SSP2_GV
HFC-32,2010,14.7798,SSP2_GV
HFC-32,2011,17.3814,SSP2_GV
HFC-32,2012,19.8229,SSP2_GV
HFC-125,1990,0,SSP2_GV
HFC-125,1991,0.0018,SSP2_GV
HFC-125,1992,0.0128,SSP2_GV
HFC-125,1993,0.1731,SSP2_GV
HFC-125,1994,0.5301,SSP2_GV
HFC-125,1995,1.0006,SSP2_GV
HFC-125,1996,1.539,SSP2_GV
HFC-125,1997,2.088,SSP2_GV
HFC-125,1998,5.267,SSP2_GV
HFC-125,1999,5.7885,SSP2_GV
HFC-125,2000,7.6597,SSP2_GV
HFC-125,2001,8.6314,SSP2_GV
HFC-125,2002,9.9285,SSP2_GV
HFC-125,2003,12.1788,SSP2_GV
HFC-125,2004,12.953,SSP2_GV
HFC-125,2005,14.7277,SSP2_GV
HFC-125,2006,17.4341,SSP2_GV
HFC-125,2007,19.9293,SSP2_GV
HFC-125,2008,22.7901,SSP2_GV
HFC-125,2009,25.4567,SSP2_GV
HFC-125,2010,31.1159,SSP2_GV
HFC-125,2011,35.2106,SSP2_GV
HFC-125,2012,38.8375,SSP2_GV
HFC-134a,1990,0.0325,SSP2_GV
HFC-134a,1991,0.3914,SSP2_GV
HFC-134a,1992,2.9563,SSP2_GV
HFC-134a,1993,7.6523,SSP2_GV
HFC-134a,1994,12.2018,SSP2_GV
HFC-134a,1995,21.6288,SSP2_GV
HFC-134a,1996,32.8239,SSP2_GV
HFC-134a,1997,40.6052,SSP2_GV
HFC-134a,1998,59.9134,SSP2_GV
HFC-134a,1999,68.3924,SSP2_GV
HFC-134a,2000,75.7267,SSP2_GV
HFC-134a,2001,82.1183,SSP2_GV
HFC-134a,2002,93.3581,SSP2_GV
HFC-134a,2003,104.0145,SSP2_GV
HFC-134a,2004,111.2593,SSP2_GV
HFC-134a,2005,115.4831,SSP2_GV
HFC-134a,2006,120.2655,SSP2_GV
HFC-134a,2007,129.116,SSP2_GV
HFC-134a,2008,135.8509,SSP2_GV
HFC-134a,2009,146.6723,SSP2_GV
HFC-134a,2010,154.3897,SSP2_GV
HFC-134a,2011,157.9811,SSP2_GV
HFC-134a,2012,162.2561,SSP2_GV
HFC-143a,1990,0.7995,SSP2_GV
HFC-143a,1991,0.6731,SSP2_GV
HFC-143a,1992,0.6487,SSP2_GV
HFC-143a,1993,0.9963,SSP2_GV
HFC-143a,1994,1.4782,SSP2_GV
HFC-143a,1995,2.1672,SSP2_GV
HFC-143a,1996,3.3694,SSP2_GV
HFC-143a,1997,4.408,SSP2_GV
HFC-143a,1998,5.5704,SSP2_GV
HFC-143a,1999,6.5559,SSP2_GV
