# File: A_regions.csv
# Title: Region Assumptions
# Units: bio_N2O_coef:kg N2O per GJ bioenergy
# Source: Fertilizer application rates and yields from Adler et al. 2007. Ecological Applications; Fertilizer-N to N2O rate from Davidson 2009. Nature Geoscience.
# Description: Specifies region-specific assumptions in the emissions system. USA values estimated from Adler et al. 2007-with other regions indexed to USA.
GCAM_region_ID,region,MAC_region,bio_N2O_coef,SO2_name,GAINS_region
1,USA,United States,0.011314286,SO2_1,USA
2,Africa_Eastern,Africa,0.009445905,SO2_3,Western Africa
3,Africa_Northern,Africa,0.009445905,SO2_3,Northern Africa
4,Africa_Southern,Africa,0.009445905,SO2_3,Western Africa
5,Africa_Western,Africa,0.009445905,SO2_3,Western Africa
6,Australia_NZ,Australia,0.02357597,SO2_3,Oceania
7,Brazil,Brazil,0.008163204,SO2_3,Brazil
8,Canada,Canada,0.014327954,SO2_1,Canada
9,Central America and Caribbean,Central and South America,0.008163204,SO2_3,Rest Central America
10,Central Asia,Eurasia,0.0095297,SO2_2,Asia-Stan
11,China,China,0.009519354,SO2_2,China+
12,EU-12,Europe,0.010212662,SO2_1,Western Europe
13,EU-15,Europe,0.010212662,SO2_1,Western Europe
14,Europe_Eastern,Eurasia,0.006412916,SO2_1,Ukraine+
15,Europe_Non_EU,Turkey,0.006412916,SO2_1,Central Europe
16,European Free Trade Association,Europe,0.010212662,SO2_1,Western Europe
17,India,India,0.005656341,SO2_2,India
18,Indonesia,Indonesia,0.0095297,SO2_2,Indonesia+
19,Japan,Asia,0.006583467,SO2_2,Japan
20,Mexico,Mexico,0.008163204,SO2_3,Mexico
21,Middle East,Middle East,0.015843792,SO2_3,Middle East
22,Pakistan,Asia,0.0095297,SO2_2,Rest South Asia
23,Russia,Russia,0.004930186,SO2_4,Russia+
24,South Africa,Africa,0.009445905,SO2_3,South Africa
25,South America_Northern,Central and South America,0.008163204,SO2_3,Rest South America
26,South America_Southern,Central and South America,0.008163204,SO2_3,Rest South America
27,South Asia,Asia,0.0095297,SO2_2,Rest South Asia
28,South Korea,Asia,0.007774893,SO2_2,Korea
29,Southeast Asia,Asia,0.0095297,SO2_2,Southeastern Asia
30,Taiwan,China,0.0095297,SO2_2,China+
31,Argentina,Central and South America,0.008163204,SO2_3,Rest South America
32,Colombia,Central and South America,0.008163204,SO2_3,Rest South America
