# File: RCP_OC_2000.csv
# Title: RCP OC Emissions
# Units: ktC
# Source: Unknown processing, evidently from gridded data.
# Lamarque, et al. (2010) Historical (1850-2000) gridded anthropogenic and biomass burning emissions of reactive gases and aerosols: methodology and application Atmospheric Chemistry and Physics 10 pp. 7017–7039. doi:10.5194/acp-10-7017-2010
Country,iso,agr,awb,dom,ene,ind,lcf,sav,slv,tra,wst
Russia,rus,0,32814558.33,477662258.4,24343271.16,22667410.93,2580831574,337315945.9,0,31356894.22,2271687.039
Canada,can,0,7939181.809,18738275.32,6930713.294,13232972.8,553170851.5,56573059.99,0,14091726.13,452218.5055
United States,usa,0,28526509.21,199047570.3,71881732.13,60748720.33,228503830,96937890.44,0,143781794.7,5021949.083
China,chn,0,208577111.6,1807893562,37746785.35,873493777.1,121500064.7,23649772.43,0,68501714.91,7240390.082
Brazil,bra,0,14159844.48,85288205.41,7932992.147,203401047.2,1788140334,483271998.4,0,103489974.9,1769657.65
Australia,aus,0,18590840,27492864.42,3368889.018,8314875.962,165657176.7,839901336.9,0,7072861.218,131424.7985
India,ind,0,20156974.48,1280015524,14884086.31,256266708.7,130648386.1,38058591.06,0,61806189.07,2319309.27
Argentina,arg,0,31345027.04,8105389.235,2396205.526,27528806.87,52643547.93,101447170.8,0,22553644.64,394730.4472
Kazakhstan,kaz,0,7553566.064,35481437.59,806785.6663,5330407.419,2946760.177,173410131.6,0,1534951.825,247069.438
Sudan,sdn,0,2216292.435,49018943.06,121204.2647,8030268.762,0,934126836.8,0,2150889.82,175755.5857
Algeria,dza,0,257127.4335,56746615.32,1776404.238,959831.5159,102992.4703,722096.9474,0,12562789.04,278838.7707
Congo DRC,cod,0,6006064.212,174746159,9656.212062,21741322.99,585194564.9,1226437788,0,850432.7451,1360053.31
Indonesia,idn,0,56769915.18,325816293.5,5515826.349,33332439.61,2970359496,59697987.32,0,63585237.84,722084.6632
Mexico,mex,0,22279377.27,38920894.39,7275318.82,19675819.37,283714769.1,52539545.51,0,107010155.6,980178.1572
Saudi Arabia,sau,0,6948802.479,55383.188,7872941.22,1761364.204,0,83.27288922,0,47770127.19,128490.3275
Libya,lby,0,63588.59835,1679449.299,1586398.466,2006.485416,0,6818.075594,0,12495409.87,87909.14032
Iran,irn,0,212053.9158,3552009.067,7176266.263,6960757.939,0,512044.4239,0,53408507.09,346620.3151
Mongolia,mng,0,338483.4747,6543801.66,535104.671,402864.7235,4677298.03,13880067.09,0,515792.2577,7022.699498
Peru,per,0,3880034.866,30470703.1,768521.5822,649418.4132,16164155.07,5506581.396,0,6128402.438,234938.5658
Chad,tcd,0,879453.8646,7782763.43,1567.567027,1117460.172,0,278964843.7,0,485504.0593,29470.25487
Angola,ago,0,224357.1465,22935683.2,176624.4621,1018780.027,32830976.41,1110785652,0,939352.9634,75801.83147
Mali,mli,0,1462081.09,23467289.81,1379.458271,1559185.582,0,82674901.22,0,669957.1516,53297.27285
