# File: RECS_2001.csv
# Title: Residential Energy Consumption Survey 2001
# Source: Fill in
# Units: Fill in
DOEID,NWEIGHT,DIVISION,LRGSTATE,TOTSQFT,TOTHSQFT,CDD65,HDD65,TYPEHUQ,BTUKER,BTUEL,BTUNG,BTUFO,BTULP,BTUELSPH,BTUNGSPH,BTUFOSPH,BTULPSPH,BTUKRSPH,BTUELWTH,BTUNGWTH,BTUFOWTH,BTULPWTH,BTUKRWTH,BTUELAPL,BTUNGAPL,BTUFOAPL,BTULPAPL,BTUKRAPL,BTUELCOL,BTUELRFG,BTUELFZZ,BTUELDWH,BTUELCDR
1001,19026,1,0,5280,2395,769,5549,2,0,50902,98593,0,0,0,98593,0,0,0,11486,0,0,0,0,26483,0,0,0,0,7338,5595,0,2081,5186
1002,28750,7,0,2837,2437,2374,3348,2,0,48310,68020,0,0,0,42791,0,0,0,0,25229,0,0,0,27717,0,0,0,0,17106,3487,0,2242,4470
1003,14510,9,0,2425,0,4912,0,2,0,19192,0,0,0,0,0,0,0,0,6240,0,0,0,0,9443,0,0,0,0,0,3509,0,0,0
1004,32819,1,0,7975,5685,671,5978,2,0,179840,476324,0,236271,2419,390182,0,0,0,0,68510,0,0,0,121059,17632,0,236271,0,28084,28278,7484,6592,16388
1005,10564,9,0,1806,0,4912,0,2,0,27867,0,0,0,0,0,0,0,0,5792,0,0,0,0,14566,0,0,0,0,2701,4808,0,0,3320
1006,10564,9,0,1289,0,4912,0,2,0,14849,0,0,0,0,0,0,0,0,5022,0,0,0,0,7083,0,0,0,0,0,2744,0,0,0
1007,10564,9,0,675,0,4912,0,2,0,20380,0,0,0,0,0,0,0,0,7571,0,0,0,0,6458,0,0,0,0,0,6351,0,0,0
1008,10564,9,0,2414,0,4912,0,2,0,25672,0,0,0,0,0,0,0,0,0,0,0,0,0,13881,0,0,0,0,3791,8000,0,0,1832
1009,23904,7,0,1041,1041,2078,3287,2,0,30746,131339,0,0,1317,85108,0,0,0,0,31802,0,0,0,17078,14429,0,0,0,6849,5502,6399,676,0
1010,104969,7,0,1022,1022,2078,3287,2,0,33290,0,0,0,9507,0,0,0,0,3047,0,0,0,0,10722,0,0,0,0,5994,4020,0,0,2313
1011,10564,9,0,1105,0,4912,0,2,0,44397,0,0,0,0,0,0,0,0,10301,0,0,0,0,27353,0,0,0,0,0,6743,3307,0,2749
1012,23833,7,0,873,873,2078,3287,2,0,23865,98839,0,0,0,80105,0,0,0,0,12137,0,0,0,7522,6597,0,0,0,8448,7895,0,1564,0
1013,33497,5,0,1158,1158,1536,3163,2,0,31612,57521,0,0,0,52310,0,0,0,3969,0,0,0,0,18318,5211,0,0,0,4970,4355,3830,1629,2373
1014,30468,2,1,491,491,1216,4298,5,0,2191,7986,8053,0,0,0,8053,0,0,0,5038,0,0,0,732,2948,0,0,0,253,1206,0,0,0
1015,14360,2,1,1810,1560,1251,4242,2,0,25914,0,71009,0,0,0,46714,0,0,0,0,24295,0,0,20439,0,0,0,0,2204,3271,0,0,5435
1016,23933,2,1,1410,1410,1251,4242,5,0,13931,8335,50106,0,0,0,29250,0,0,0,0,20856,0,0,9325,8335,0,0,0,2023,2583,0,0,0
1017,44630,5,0,1225,1225,1025,4095,4,0,31626,0,0,0,11811,0,0,0,0,6137,0,0,0,0,9592,0,0,0,0,2034,2052,0,2337,1576
1018,22254,2,0,4309,4309,714,5631,3,0,17794,69458,0,0,0,54863,0,0,0,0,11021,0,0,0,15201,3574,0,0,0,0,2593,2096,0,2507
1019,39672,5,0,2280,2280,1463,3241,1,0,96754,0,0,0,13769,0,0,0,0,21342,0,0,0,0,42175,0,0,0,0,12776,6692,2484,3826,9512
