# File: NREL_us_re_technical_potential.csv
# Title: USA Renewable Energy Technical Potential
# Source:  http://www.nrel.gov/gis/docs/us_re_technical_potential.xlsx
# Units: In column names
#Report Table Number-->,Table 2,,,Table 3,,,Table 4,,Table 5,,,Table 6,,,Table 7,,,Table 8,,,,,,Table 9,,Table 10,,Table 11,,
State,Urban_Utility_scale_PV_GWh,Urban_Utility_scale_PV_GW,Urban_Utility_scale_PV_km2,Rural_Utility_scale_PV_GWh,Rural_Utility_scale_PV_GW,Rural_Utility_scale_PV_km2,Rooftop_PV_GWh,Rooftop_PV_GW,CSP_GWh,CSP_GW,CSP_km2,Onshore_Wind_GWh,Onshore_Wind_GW,Onshore_Wind_km2,Offshore_Wind_GWh,Offshore_Wind_GW,Offshore_Wind_km2,Biopower_Solid_GWh,Biopower_Solid_GW,Biopower_Solid_BDT,Biopower_Gaseous_GWh,Biopower_Gaseous_GW,Biopower_Gaseous_Tonnes_CH4,Geothermal_Hydrothermal_GWh,Geothermal_Hydrothermal_GW,EGS_Geothermal_GWh,EGS_Geothermal_GW,Hydropower_GWh,Hydropower_GW,Hydropower_Count_of_Sites
Alabama,35851,20,426,3706839,2115,44058,15476,13,0,0,0,283,0,24,0,0,0,11193,1,10175869,1533,0,326187,0,0,535490,68,4103,1,2435
Alaska,166,0,2,8282976,9005,187608,NA,1,0,0,0,1373433,493,98669,NA,NA,NA,513,0,466797,62,0,13157,15437,2,NA,NA,23676,5,3053
Arizona,121306,53,1096,11867694,5147,107231,22736,15,12544334,3528,107239,26036,11,2181,NA,NA,NA,1088,0,988705,837,0,178189,8330,1,1239148,157,1303,0,1958
Arkansas,28961,16,332,4986389,2747,57239,8485,7,0,0,0,22892,9,1840,NA,NA,NA,14381,2,13074040,1063,0,226178,0,0,628622,80,6093,1,3268
California,246008,111,2321,8855917,4010,83549,106411,76,8490916,2726,82860,89862,34,6822,2662580,655,130967,12408,2,11280245,15511,2,3300211,130921,17,1344179,170,30024,7,9692
Colorado,43471,19,399,10238084,4514,94046,16162,12,9154524,3098,94173,1096036,387,77444,NA,NA,NA,2913,0,2648462,1224,0,260470,8954,1,1251658,159,7789,2,5060
Connecticut,7717,5,101,19628,12,256,6616,6,0,0,0,62,0,5,26545,7,1434,495,0,449775,415,0,88227,0,0,56078,7,922,0,659
Delaware,14856,9,190,272333,167,3483,2185,2,0,0,0,22,0,2,60654,15,3008,512,0,465802,385,0,82014,0,0,22813,3,31,0,25
District of Columbia,8,0,0,0,0,0,2490,2,0,0,0,0,0,0,NA,NA,NA,62,0,56180,5,0,978,0,0,698,0,1,0,2
Florida,72787,40,830,5137347,2813,58597,63987,49,359,0,4,1,0,0,34684,10,1930,9664,1,8785824,3693,0,785788,0,0,374161,47,682,0,493
