# File: A32.ind_SCurve_USA.csv
# Title: Parameters for S-curve shutdown decider for U.S. industrial energy use
# Units: steepness = S curve exponent, half.life = year from 2010 at which half of initial 2010 stock will be retired
supplysector,subsector,stub.technology,lifetime,steepness,half.life
industrial energy use,biomass,biomass,60,0.3,45
industrial energy use,coal,coal,60,0.3,45
industrial energy use,electricity,electricity,60,0.3,45
industrial energy use,gas,gas,60,0.3,45
industrial energy use,hydrogen,hydrogen,60,0.3,45
industrial energy use,refined liquids,refined liquids,60,0.3,45
industrial energy use,biomass,biomass cogen,60,0.3,45
industrial energy use,coal,coal cogen,60,0.3,45
industrial energy use,gas,gas cogen,60,0.3,45
industrial energy use,hydrogen,hydrogen cogen,60,0.3,45
industrial energy use,refined liquids,refined liquids cogen,60,0.3,45
