# File: BEA_pcGDP_97USD_state.csv
# Title: GDP by State and Industry, NAICS, Per Capita Real GDP
# Units: Chained 1997 US Dollars per capita
# Source: Bureau of Economic Analysis, Per Capita Real GDP, SIC (1963-1997), All Areas, All Years. URL: http://www.bea.gov/iTable/iTableHtml.cfm?reqid=70&step=10&isuri=1&7003=1000&7035=-1&7004=sic&7022=10&7005=1&7023=7&7006=xx&7036=-1&7001=11000&7002=1&7090=70&7007=-1&7093=levels
Fips,Area,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
1000,Alabama,,,,,,,,,,,,,,,,,,,,,,,,,19590,20505,20447,20683,21008,21621,21633,22253,22813,23407,23994
2000,Alaska,,,,,,,,,,,,,,,,,,,,,,,,,54747,51373,52974,52002,45285,44418,43454,43407,45678,44812,44996
4000,Arizona,,,,,,,,,,,,,,,,,,,,,,,,,22286,22703,22354,22151,21630,23056,23347,24523,25272,26351,27291
5000,Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,17745,18423,18758,18882,19511,20389,20664,21508,22023,22684,23195
6000,California,,,,,,,,,,,,,,,,,,,,,,,,,28902,29801,30129,30244,29310,28786,28396,28737,29675,30554,31924
8000,Colorado,,,,,,,,,,,,,,,,,,,,,,,,,25555,26325,26527,26887,26802,27763,28629,29679,30528,31415,33149
9000,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,34555,36384,36732,36809,35792,36305,35754,36489,38668,39534,41883
10000,Delaware,,,,,,,,,,,,,,,,,,,,,,,,,35424,36440,38452,38663,39424,39109,38147,40067,41030,41166,41851
11000,District of Columbia,,,,,,,,,,,,,,,,,,,,,,,,,74025,78051,80341,84541,83613,84673,86192,87044,85938,86013,87544
12000,Florida,,,,,,,,,,,,,,,,,,,,,,,,,22507,23304,23518,23350,22886,23253,23652,24267,24654,25371,25883
13000,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,24509,25165,25295,25345,25133,25924,26481,27682,28559,29770,30605
15000,Hawaii,,,,,,,,,,,,,,,,,,,,,,,,,30317,32030,33476,35183,34973,35244,34235,33735,33047,32509,32241
16000,Idaho,,,,,,,,,,,,,,,,,,,,,,,,,17614,18550,19562,19915,19775,20549,21591,22570,23779,24044,24673
17000,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,26134,27610,28096,28290,27975,28758,29084,30633,31216,32202,33486
18000,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,21450,22441,23119,23066,22829,24044,24507,25745,26282,27094,28104
19000,Iowa,,,,,,,,,,,,,,,,,,,,,,,,,20432,21485,22246,22819,22812,23723,23586,25433,26006,27373,28748
20000,Kansas,,,,,,,,,,,,,,,,,,,,,,,,,23452,23901,23975,24451,24523,24902,24845,25860,25963,26911,28136
21000,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,19228,20533,21002,21171,21199,22119,22509,23658,24247,24947,26215
22000,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,24006,25215,25422,26121,25875,23977,24394,26258,27481,27618,28501
23000,Maine,,,,,,,,,,,,,,,,,,,,,,,,,21465,22714,22855,22444,21693,21942,22005,22579,23136,23719,24526
24000,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,26998,28291,28475,28369,27459,27369,27556,28287,28486,28930,30012
25000,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,30953,32545,32518,31503,30572,30924,30979,32227,33085,34678,36440
26000,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,24094,25012,25313,24651,23996,24817,25385,27454,27296,28033,29198
27000,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,26189,26861,27401,27354,27037,28200,27890,29220,29768,31328,32886
28000,Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,16700,17150,17352,17392,17640,18416,18997,20027,20762,21189,21561
29000,Missouri,,,,,,,,,,,,,,,,,,,,,,,,,22952,23844,24272,23842,24013,24507,24336,25801,26843,27666,28882
30000,Montana,,,,,,,,,,,,,,,,,,,,,,,,,18165,18116,18870,19189,19439,20061,20461,20820,20576,20696,21275
31000,Nebraska,,,,,,,,,,,,,,,,,,,,,,,,,21928,23102,23741,24665,25220,26210,26073,27947,28096,29441,29831
32000,Nevada,,,,,,,,,,,,,,,,,,,,,,,,,28478,29489,30003,30221,29096,30017,31175,32193,32297,33442,33710
33000,New Hampshire,,,,,,,,,,,,,,,,,,,,,,,,,25296,26159,25602,24505,24696,25485,25527,26355,27972,29674,31053
34000,New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,30114,32160,32554,32637,32339,32608,32684,33114,33621,34800,35610
35000,New Mexico,,,,,,,,,,,,,,,,,,,,,,,,,18215,18428,18656,18872,20562,21220,22893,24982,24839,25454,27429
36000,New York,,,,,,,,,,,,,,,,,,,,,,,,,31499,33182,33046,33068,31863,32082,32012,32311,32873,34113,35627
37000,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,22998,24043,24515,24309,23914,24825,25086,26401,27102,27565,28897
38000,North Dakota,,,,,,,,,,,,,,,,,,,,,,,,,19775,18347,19700,20639,20634,22211,21813,23333,23657,25382,25397
39000,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,22982,23774,24211,24387,24033,24963,25016,26396,27211,28035,29482
40000,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,19777,21010,21179,21304,21233,21433,21757,22069,22335,23214,24046
41000,Oregon,,,,,,,,,,,,,,,,,,,,,,,,,21099,22095,22322,22683,22526,22902,23706,24645,25725,28791,30373
42000,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,22606,23635,23983,24275,24178,24762,25002,25610,26383,27030,28023
44000,Rhode Island,,,,,,,,,,,,,,,,,,,,,,,,,24121,25620,26197,25782,24741,25054,25272,25475,26108,26454,28007
45000,South Carolina,,,,,,,,,,,,,,,,,,,,,,,,,19878,20710,21113,21520,21289,21684,22193,23170,23755,24160,24993
46000,South Dakota,,,,,,,,,,,,,,,,,,,,,,,,,19573,19670,20038,21082,21900,22838,23829,24823,25097,26151,26557
47000,Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,21929,22768,22844,22540,23007,24391,25020,26054,26434,26842,27765
48000,Texas,,,,,,,,,,,,,,,,,,,,,,,,,23449,24786,25208,25637,25541,26004,26342,27212,27991,29064,30748
49000,Utah,,,,,,,,,,,,,,,,,,,,,,,,,19475,20370,20416,21197,21410,21540,21865,22932,23936,25619,26046
50000,Vermont,,,,,,,,,,,,,,,,,,,,,,,,,21327,22775,23474,23572,22779,23679,23808,24284,24127,24994,25988
51000,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,26369,27259,27820,27831,27361,27407,27771,28527,28993,29878,30803
53000,Washington,,,,,,,,,,,,,,,,,,,,,,,,,26566,27516,28270,28950,28862,29113,29190,29668,29225,30372,31656
54000,West Virginia,,,,,,,,,,,,,,,,,,,,,,,,,15468,16864,17058,17489,17782,18202,18616,19756,20235,20710,21203
55000,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,21928,23055,23356,23578,23602,24598,25249,26334,26618,27640,28680
56000,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,25729,28058,28402,30137,30741,30728,31253,31450,32028,32710,32861
