# File: CDD_GFDL_A2.csv
# Title: GFDL A2 Cooling Degree Days
# Units: Fahrenheit Degree Days
# Description: Cooling Degree Days by state
# Reference: Unknown
state,1975,1990,2005,2020,2035,2050,2065,2080,2095
AK,36.378777,16.195,137,86,152,106,182,169,354
AL,1908.2771,2160.163818,2576.52,2585.52,2755.08,3074.76,3374.64,3895.92,4459.68
AR,1988.891724,2101.214844,2507.4,2616.12,2789.64,3183.12,3390.48,3891.6,4352.04
AZ,2601.013428,3001.072998,3441.96,3611.52,3796.2,4299.12,4609.8,4959.72,5599.08
CA,715.4552,902.63092,1258.56,1407.24,1448.64,1733.04,1900.8,2175.12,2633.04
CO,289.223328,393.761444,871.92,930.6,997.92,1318.32,1441.8,1854.36,2310.84
CT,533.101624,620.318115,830.88,828.72,988.92,1033.92,1358.28,1603.8,1895.76
DC,1554.114136,1790.621216,1612.08,1638.72,2000.16,2104.56,2424.6,2746.08,3147.84
DE,1050.784668,1209.360229,1433.16,1465.2,1741.68,1835.64,2180.52,2473.2,2872.8
FL,3357.337646,3325.541016,3832.2,3954.6,4138.56,4382.64,4617.36,5128.2,5668.2
GA,1812.623413,1963.837402,2378.52,2396.88,2581.92,2860.56,3163.32,3671.28,4199.04
HI,262.385254,350.176758,362,620,608,707,832,1095,1654
IA,1048.40564,1029.770996,1347.48,1605.24,1580.76,1631.88,1939.32,2328.48,3052.08
ID,453.44278,425.375305,784.08,1018.08,1038.96,1077.48,1330.2,1585.08,2067.12
IL,1010.842957,1169.500122,1389.96,1582.56,1645.2,1699.56,2038.68,2436.48,3041.64
IN,1072.647217,1253.757568,1401.48,1537.92,1683.36,1785.24,2131.56,2495.88,3042.36
KS,1643.79834,1559.992188,2126.52,2380.68,2445.84,2717.28,2870.64,3446.28,4017.6
KY,1352.577515,1438.588013,1691.64,1821.96,2022.48,2191.32,2504.52,2927.16,3453.48
LA,2352.515137,2590.484863,3317.4,3271.32,3423.24,3849.12,4134.96,4660.92,5102.28
MA,549.904846,588.100281,803.52,780.12,899.28,978.48,1291.32,1496.52,1789.92
MD,1178.137329,1341.01123,1485.72,1523.88,1843.2,1937.88,2288.88,2600.28,3001.32
ME,305.812927,338.804871,474.12,441.72,492.48,555.84,799.92,965.88,1157.76
MI,660.055359,850.71698,1062.36,1083.96,1180.8,1200.96,1556.64,1887.48,2366.28
MN,714.838379,806.666504,1045.8,1123.56,1105.56,1028.16,1450.08,1726.92,2403.36
MO,1548.995605,1498.259521,1978.2,2212.56,2294.64,2521.08,2730.6,3267,3864.24
MS,1878.465332,2073.674316,2887.2,2861.28,3013.56,3418.56,3687.12,4208.04,4719.6
MT,233.811813,268.69812,546.84,658.08,698.76,691.92,984.96,1181.88,1617.12
NC,1496.968262,1547.394043,1899,1957.32,2279.16,2449.8,2748.96,3171.6,3650.04
ND,445.466919,524.122986,869.76,936,932.4,772.92,1256.76,1415.88,1982.88
NE,1178.082642,1173.988525,1570.68,1818.36,1801.44,1925.28,2175.48,2640.6,3332.88
NH,450.035614,496.048798,578.16,559.8,646.2,696.6,985.32,1164.96,1375.2
NJ,907.228638,1132.97522,1190.88,1176.48,1417.68,1474.2,1815.84,2084.76,2440.44
NM,668.803955,873.945129,1384.2,1418.4,1584.72,2040.48,2200.68,2478.96,2935.8
NV,1766.93689,1871.189087,2491.2,2676.24,2813.76,3147.48,3468.24,3738.6,4408.56
NY,742.606934,904.362305,1087.92,1071,1234.44,1275.48,1637.64,1874.88,2256.84
OH,849.384399,978.087708,1190.16,1290.24,1465.56,1529.28,1906.2,2208.96,2698.2
OK,2037.141113,2033.040527,2695.68,2819.52,3029.76,3489.48,3587.04,4100.04,4583.52
OR,218.320343,345.935272,460.08,585.36,640.8,673.56,809.28,981.36,1286.64
PA,775.752686,927.250244,1064.52,1087.56,1293.48,1343.88,1699.92,1954.8,2310.48
RI,567.14093,594.055847,783,776.52,910.08,966.96,1315.8,1500.48,1811.16
SC,1854.377563,1960.75415,2440.08,2483.28,2731.32,2983.68,3266.64,3760.92,4246.56
SD,798.928406,823.165283,1192.68,1307.16,1272.6,1249.2,1646.28,1937.16,2598.84
TN,1492.130493,1588.223145,2036.52,2093.76,2292.84,2546.64,2827.8,3310.92,3822.84
TX,2590.506836,2822.367676,3440.52,3440.16,3652.2,4115.52,4395.96,4806.36,5228.28
UT,280.446228,360.333344,1152.36,1313.28,1360.44,1621.44,1857.96,2240.64,2744.64
VA,1322.819824,1488.944092,1551.96,1612.8,1950.12,2057.4,2380.68,2731.32,3158.64
VT,420.75708,332.889465,534.96,494.64,548.64,594,896.4,1052.64,1272.6
WA,233.849121,288.531494,356.04,481.68,536.04,543.24,697.68,799.2,1110.96
WI,593.928101,789.329773,989.28,1075.68,1093.68,1061.64,1445.04,1742.4,2343.24
WV,924.402344,1017.405762,1086.84,1159.56,1392.12,1478.16,1822.32,2146.68,2547.72
WY,244.194687,302.625397,604.44,655.2,692.28,847.08,1046.88,1366.2,1817.28
