# File: reeds_offshore_wind_curve_CF_avg.csv
# Title: Offshore Wind Average Annual Capacity Factor by ReEDS Wind Region and Class
# Units: unitless (capacity factor)
# Comments: Annual average capacity factor for each ReEDS wind resource region / wind class.  Calculated by taking the average of (8760) hourly net capacity factor profiles for each wind resource region / wind class.
# Source: Information based on ReEDS version 2017.  Files provided by ReEDS team in April 2017.
# Column types: icn
#  ----------
Wind_Resource_Region,TRG,CF
1,class10,0.42126174
1,class2,0.437560838
1,class3,0.396231966
1,class4,0.346261753
1,class6,0.449616203
1,class7,0.411779463
1,class9,0.438531109
10,class10,0.415184453
10,class3,0.378708309
10,class4,0.334469397
10,class7,0.384506661
10,class9,0.439540217
125,class10,0.398017265
125,class3,0.380752019
125,class4,0.331774092
125,class7,0.378493761
129,class10,0.394960196
129,class3,0.385889858
129,class4,0.341740578
129,class7,0.388681835
13,class10,0.427310522
13,class3,0.380494123
13,class4,0.341277119
13,class6,0.435601043
13,class7,0.408322557
13,class9,0.442370718
14,class1,0.492697704
14,class10,0.39869769
14,class2,0.44989851
14,class3,0.398310077
14,class4,0.337779216
14,class5,0.502341692
14,class6,0.455665109
14,class7,0.397593482
14,class8,0.509548329
14,class9,0.458111797
15,class10,0.415672242
15,class4,0.33508342
15,class7,0.394043733
15,class9,0.444725771
162,class3,0.376667347
162,class4,0.358675037
162,class7,0.372661665
174,class1,0.506110382
174,class10,0.41266312
174,class2,0.462648852
174,class3,0.41162994
174,class4,0.36743297
174,class5,0.502942654
174,class6,0.460126306
174,class7,0.405308512
174,class9,0.451234145
175,class10,0.385156732
175,class3,0.381142241
175,class4,0.366202189
175,class7,0.387167957
191,class1,0.483586726
191,class10,0.411839176
191,class2,0.433328788
191,class3,0.39316372
191,class4,0.344550745
191,class5,0.483021522
191,class6,0.433923337
191,class7,0.401475952
191,class8,0.484516766
191,class9,0.450477721
192,class3,0.389104286
192,class4,0.347913665
192,class7,0.399705127
197,class2,0.43562211
197,class3,0.400477542
197,class4,0.352246538
197,class6,0.440232458
197,class7,0.403341145
197,class9,0.454222746
198,class10,0.417756393
198,class2,0.447797893
198,class3,0.405906717
198,class4,0.354231368
198,class6,0.440711344
198,class7,0.412663862
198,class9,0.444198308
2,class4,0.321338228
20,class10,0.408693559
20,class2,0.436798501
20,class3,0.400476364
20,class4,0.341454991
20,class5,0.489780207
20,class6,0.456506116
20,class7,0.396565801
20,class8,0.504682869
20,class9,0.454329426
206,class10,0.431733698
206,class2,0.43016805
206,class3,0.405555273
206,class4,0.353426869
206,class6,0.434595985
206,class7,0.428866426
206,class9,0.43847546
211,class10,0.404960884
211,class2,0.429417242
211,class3,0.391393323
211,class4,0.340853561
211,class5,0.481395854
211,class6,0.429445438
211,class7,0.398557896
211,class8,0.475077169
211,class9,0.437548403
212,class10,0.420461714
212,class2,0.436471296
212,class3,0.40976644
212,class4,0.358834888
212,class5,0.478705353
212,class6,0.437296263
212,class7,0.422048095
212,class9,0.448766279
213,class10,0.42169014
213,class3,0.405444533
213,class4,0.370357804
213,class6,0.436244948
213,class7,0.413197003
213,class9,0.442629327
214,class10,0.409801801
214,class2,0.435571598
214,class3,0.403759866
214,class4,0.348434804
214,class6,0.434444505
214,class7,0.401682095
214,class9,0.437569324
216,class10,0.412205739
216,class2,0.451144363
216,class3,0.389094654
216,class4,0.34815353
216,class6,0.445283219
216,class7,0.407797326
216,class9,0.447376656
217,class3,0.372797799
217,class4,0.342301419
218,class10,0.42851846
218,class2,0.434341655
218,class3,0.397897346
218,class4,0.350752814
218,class6,0.439690569
218,class7,0.40764996
218,class9,0.440015778
219,class10,0.42041714
219,class3,0.411678574
219,class4,0.365198341
219,class7,0.416172515
227,class3,0.385479344
227,class4,0.354795996
234,class2,0.439160449
234,class3,0.408277371
234,class4,0.358379583
25,class10,0.406534282
25,class2,0.441164723
