# File: reeds_PV_curve_CF_avg.csv
# Title: Solar PV Average Annual Capacity Factor by ReEDS Region and PV Class
# Units: unitless (capacity factor)
# Comments: Annual average capacity factor for each resource region / PV class.  Calculated by taking the average of (8760) hourly net capacity factor profiles for each resource region / PV class.
# Source: Information based on ReEDS version 2017.  Files provided by ReEDS team in April 2017.
# Column types: ccn 
# ----------
BA,PV.class,CF
p1,class1,0.13941314
p1,class2,0.151545061
p1,class3,0.169416405
p1,class4,0.201367263
p1,class5,0.209151098
p10,class5,0.222062296
p10,class6,0.233724094
p10,class7,0.254622982
p10,class8,0.277268452
p10,class9,0.288642349
p100,class4,0.191689049
p101,class5,0.207973928
p101,class6,0.220779072
p102,class5,0.208447847
p102,class6,0.218899977
p103,class3,0.17592721
p103,class4,0.189643302
p104,class3,0.172401682
p105,class3,0.178252551
p105,class4,0.18330123
p106,class3,0.183841647
p106,class4,0.183841647
p107,class3,0.179928579
p107,class4,0.187426973
p108,class4,0.191113013
p109,class4,0.183417769
p11,class6,0.222145874
p11,class7,0.251902237
p11,class8,0.273548976
p110,class4,0.179340468
p111,class3,0.171906535
p112,class3,0.175563298
p112,class4,0.179595471
p113,class3,0.179009322
p113,class4,0.180931466
p114,class4,0.182843999
p115,class3,0.172566686
p116,class3,0.176715126
p116,class4,0.184518955
p117,class3,0.175468478
p117,class4,0.17966739
p118,class4,0.192639272
p118,class5,0.201341005
p119,class3,0.176713012
p12,class4,0.211592047
p12,class5,0.229419642
p12,class6,0.245344032
p12,class7,0.264528254
p12,class8,0.280845476
p120,class3,0.178221122
p120,class4,0.183061831
p121,class3,0.178638313
p121,class4,0.185869531
p122,class2,0.159587941
p122,class3,0.175314783
p122,class4,0.186148722
p123,class4,0.195095688
p123,class5,0.201777768
p124,class4,0.201718087
p124,class5,0.203900453
p125,class4,0.197159884
p126,class3,0.176765512
p126,class4,0.191986357
p127,class2,0.158971968
p127,class3,0.175590365
p127,class4,0.184598936
p128,class4,0.188968812
p129,class2,0.164129322
p129,class3,0.176345695
p129,class4,0.176345695
p13,class7,0.26265801
p13,class8,0.272924339
p130,class3,0.178533095
p130,class4,0.186760182
p131,class3,0.180828408
p131,class4,0.18545691
p132,class3,0.181471851
p132,class4,0.18605759
p133,class4,0.186979132
p134,class3,0.181017726
p134,class4,0.187479208
p14,class2,0.184289415
p14,class3,0.184289415
p14,class4,0.191973931
p15,class3,0.186812449
p15,class4,0.20379053
p15,class5,0.226029134
p15,class6,0.233692728
p16,class3,0.193257829
p16,class4,0.20724311
p16,class5,0.220250382
p16,class6,0.234837168
p17,class3,0.185578431
p17,class4,0.201195089
p17,class5,0.216054737
p18,class3,0.189848363
p18,class4,0.201430731
p18,class5,0.212563565
p19,class3,0.189176771
p19,class4,0.199365214
p2,class2,0.15126876
p2,class3,0.171962619
p2,class4,0.200736523
p2,class5,0.209965188
p20,class4,0.203068299
p20,class5,0.210163681
p21,class3,0.193532626
p21,class4,0.210637323
p21,class5,0.229831029
p21,class6,0.240958216
p22,class3,0.196531201
p22,class4,0.20909986
p22,class5,0.218765423
p23,class4,0.213430803
p23,class5,0.218010308
p23,class6,0.218010308
p24,class4,0.215136063
p24,class5,0.225044523
p24,class6,0.227828113
p25,class4,0.207124818
p25,class5,0.22493349
p25,class6,0.242410928
p25,class7,0.261252267
p25,class8,0.269506039
p26,class4,0.216443656
p26,class5,0.229878783
p26,class6,0.244110365
p26,class7,0.256045723
p27,class7,0.267002324
p27,class8,0.273390644
p28,class7,0.270734291
p28,class8,0.270429903
p29,class6,0.260848687
p29,class7,0.270217118
p29,class8,0.271999125
p3,class2,0.166264723
p3,class3,0.184784475
p3,class4,0.195689224
p3,class5,0.208230823
p30,class7,0.258553344
p30,class8,0.269832471
p31,class5,0.244838688
p31,class6,0.25925379
p31,class7,0.269231643
p31,class8,0.275514906
p32,class5,0.220281877
p32,class6,0.232252702
p33,class4,0.21446731
p33,class5,0.230274306
p33,class6,0.238089626
p33,class7,0.255798526
p34,class4,0.217369368
p34,class5,0.235660098
p34,class6,0.248859952
p34,class7,0.25717694
p34,class8,0.278553275
p35,class3,0.188027354
p35,class4,0.200874231
p35,class5,0.213309211
p36,class3,0.185598775
p36,class4,0.196730241
p36,class5,0.210260319
p37,class3,0.181903363
p37,class4,0.188260715
p38,class3,0.184739334
p38,class4,0.199949669
p38,class5,0.213266977
p39,class5,0.223862945
p39,class6,0.228363942
p4,class4,0.198204937
p4,class5,0.207766259
p40,class4,0.202759004
p40,class5,0.215288796
p40,class6,0.227438337
p41,class4,0.202782258
p41,class5,0.206674797
p42,class3,0.17989681
p42,class4,0.190509755
p43,class3,0.184561158
p43,class4,0.188642053
p44,class4,0.191358502
p45,class3,0.18523908
p45,class4,0.196091013
p46,class3,0.183714677
p46,class4,0.188949003
p47,class7,0.261161866
p47,class8,0.268295486
p48,class6,0.242930398
p48,class7,0.253406363
p49,class6,0.241583799
p49,class7,0.253005802
p5,class2,0.155403023
p5,class3,0.170055728
p5,class4,0.199300048
p5,class5,0.216827302
p5,class6,0.216827302
p50,class4,0.195944423
p50,class5,0.211692214
p50,class6,0.231140216
p51,class4,0.202310611
p51,class5,0.207078972
p52,class5,0.225696889
p52,class6,0.23664219
p52,class7,0.247775266
p53,class4,0.201593844
p53,class5,0.214470413
p53,class6,0.233571809
p54,class4,0.198849737
p55,class4,0.201489915
p55,class5,0.201763133
p56,class4,0.197178048
p56,class5,0.200021522
p57,class5,0.199435407
p58,class4,0.190700812
p58,class5,0.199153903
p58,class6,0.216682265
p59,class7,0.27219575
p59,class8,0.27219575
p6,class3,0.177791855
p6,class4,0.193587289
p6,class5,0.219568792
p6,class6,0.236780898
p60,class6,0.236128243
