# File: UCS_water_types.csv
# Title: UCS water types
# Units: NA
Reported Water Source (Type),water_type
Groundwater,fresh
GW/Municipal,fresh
GW/Surface Water,fresh
GW/Waste Water,fresh
Municipal,fresh
Ocean,seawater
Surface Water,fresh
Unknown,fresh
Unknown Freshwater,fresh
Unknown Ocean,seawater
Waste Water,fresh
