# File: reeds_CSP_curve_grid_cost.csv
# Title: CSP Grid Interconnection Costs by ReEDS Region; CSP Class; and Bin
# Units: 2004$/MW
# Comments: These costs are the additional cost in $/MW (2004 USD) for interconnecting to the grid on top of the capital and OM costs. Costs are sometimes assigned at an arbitrary high value for region-class-bin combinations where no resource exists. Note that we need to apply an FCR to these interconnection costs.
# Source: Information based on ReEDS version 2017.  Files provided by ReEDS team in April 2017.
# Column types: icnnnnn 
# ----------
Region,CSP.class,cspsc1,cspsc2,cspsc3,cspsc4,cspsc5
1,cspclass5,,,,,497236.2125
1,cspclass4,,,,,497236.2125
1,cspclass3,,,,,497236.2125
1,cspclass2,,,,,497236.2125
1,cspclass1,,,,,497236.2125
2,cspclass5,,,,,497236.2125
2,cspclass4,,,,,497236.2125
2,cspclass3,,,,,497236.2125
2,cspclass2,,,,,497236.2125
2,cspclass1,,,,,497236.2125
3,cspclass5,,,,,497236.2125
3,cspclass4,,,,,497236.2125
3,cspclass3,,,,,497236.2125
3,cspclass2,,,,,497236.2125
3,cspclass1,,,,,497236.2125
4,cspclass5,,,,,497236.2125
4,cspclass4,,,,,497236.2125
4,cspclass3,,,,,497236.2125
4,cspclass2,,,,,497236.2125
4,cspclass1,,,,,497236.2125
5,cspclass5,,,,,497236.2125
5,cspclass4,,,,,497236.2125
5,cspclass3,,,,,497236.2125
5,cspclass2,,,,,497236.2125
5,cspclass1,,,,,497236.2125
6,cspclass5,,,,,497236.2125
6,cspclass4,,,,,497236.2125
6,cspclass3,,,,,497236.2125
6,cspclass2,,,,,497236.2125
6,cspclass1,,,,,497236.2125
7,cspclass5,,,,,497236.2125
7,cspclass4,,,,,497236.2125
7,cspclass3,,,,,497236.2125
7,cspclass2,,,,,497236.2125
7,cspclass1,,,,,497236.2125
8,cspclass5,,,,,497236.2125
8,cspclass4,,,,,497236.2125
8,cspclass3,,,,,497236.2125
8,cspclass2,,,,,497236.2125
8,cspclass1,,,,,497236.2125
9,cspclass5,,,,,497236.2125
9,cspclass4,,,,,497236.2125
9,cspclass3,,,,,497236.2125
9,cspclass2,,,,,497236.2125
9,cspclass1,,,,,497236.2125
10,cspclass5,,,,,460346.1984
10,cspclass4,,,,,460346.1984
10,cspclass3,,,,,460346.1984
10,cspclass2,,,,,460346.1984
10,cspclass1,,,,,460346.1984
11,cspclass5,,,,,460346.1984
11,cspclass4,,,,,460346.1984
11,cspclass3,,,,,460346.1984
11,cspclass2,,,,,460346.1984
11,cspclass1,,,,,460346.1984
12,cspclass5,,,,,460346.1984
12,cspclass4,,,,,460346.1984
12,cspclass3,,,,,460346.1984
12,cspclass2,,,,,460346.1984
12,cspclass1,,,,,460346.1984
13,cspclass5,,,,,460346.1984
13,cspclass4,,,,,460346.1984
