# File: AEO_2018_elec_gen_hydro.csv
# Title: Annual Energy Outlook 2018 Hydropower Electricity Generation
# Units: billion kWh
# Comments: AEO 2018 Renewable Energy All Sectors Electricity Generation Hydropower (case = Reference case; region = United States)
# Source: U.S. Energy Information Administration (https://www.eia.gov/outlooks/aeo/data/browser/#/?id=67-AEO2018&region=3-0&cases=ref2018&start=2016&end=2050&f=A&linechart=~~ref2018-d121317a.110-67-AEO2018.3-0&map=&ctype=linechart&sid=ref2018-d121317a.110-67-AEO2018.3-0&sourcekey=0)
# Column types: cin 
# ----------
region,year,AEO
USA,2050,298.258179
USA,2049,298.238007
USA,2048,298.124268
USA,2047,298.111084
USA,2046,298.099213
USA,2045,298.087891
USA,2044,297.748138
USA,2043,297.575653
USA,2042,297.553497
USA,2041,297.487671
USA,2040,297.465851
USA,2039,297.460876
USA,2038,297.44873
USA,2037,297.437347
USA,2036,297.393036
USA,2035,297.293091
USA,2034,297.289062
USA,2033,297.286591
USA,2032,297.080902
USA,2031,297.079315
USA,2030,297.080719
USA,2029,297.081909
USA,2028,297.077606
USA,2027,297.073517
USA,2026,297.070374
USA,2025,297.035187
USA,2024,297.049255
USA,2023,296.532379
USA,2022,296.376678
USA,2021,296.361816
USA,2020,296.418396
USA,2019,281.806702
USA,2018,266.266144
USA,2017,296.203278
USA,2016,267.811584
