# File: RECS_1990.csv
# Title: Residential Energy Consumption Survey 1990
# Source: Fill in
# Units: Fill in
HHID,NWEIGHT,DIVISION,HEATED,HOMEAREA,CDD65,HDD65,BTUEL,BTUNG,BTUELEST,BTUNGEST,BTUELSPH,BTUNGSPH,BTUELWTH,BTUNGWTH,BTUELAPL,BTUNGAPL,BTUELCOL,BTUNGCOL,BTUELRFG,BTUELFZZ,BTUKER,BTUFO,BTULP,BTUFOEST,BTULPEST,BTUKREST,BTUFOSPH,BTULPSPH,BTUKRSPH,BTUFOWTH,BTULPWTH,BTUKRWTH,BTUFOAPL,BTULPAPL,BTUKRAPL 
1001,16184,9,728,1040,149,5559,48737,9999999,77520,9999999,16660,9999999,10599,9999999,19161,9999999,9999999,9999999,2317,2781,9999999,9999999,3542,9999999,15281,9999999,9999999,3542,9999999,9999999,9999999,9999999,9999999,9999999,9999999
1002,27302,9,1585,1585,1940,1109,14631,50905,15116,59962,872,38768,9999999,6542,9271,5595,9999999,9999999,4488,3502,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
1003,16044,3,2340,2538,693,5779,28763,9999999,37211,9999999,9999999,9999999,11715,9999999,13161,9999999,1231,9999999,2656,2064,9999999,71413,8037,101677,5151,9999999,71413,9999999,9999999,9999999,9999999,9999999,9999999,8037,9999999
1004,7295,4,1030,1030,698,7168,8018,89747,11974,105751,9999999,66077,9999999,19370,5102,4300,9999999,9999999,2916,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
1005,15218,8,1813,2297,1982,2539,34792,58526,50165,46655,10830,30258,9999999,28268,11532,9999999,8498,9999999,3932,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
1006,13358,2,3380,4108,672,5339,49262,9999999,36583,9999999,9999999,9999999,7050,9999999,36447,9999999,1726,9999999,4039,4803,9999999,135916,9999999,96595,9999999,9999999,101821,9999999,9999999,34095,9999999,9999999,9999999,9999999,9999999
1007,15710,9,1122,1122,823,1336,5398,32095,13892,46967,589,16404,9999999,11582,3294,4109,9999999,9999999,1515,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
1008,15265,9,208,208,465,4338,8568,9999999,4034,9999999,9999999,9999999,9999999,9999999,5773,9999999,9999999,9999999,2795,9999999,9999999,9999999,49463,9999999,36186,9999999,9999999,36282,9999999,9999999,9116,9999999,9999999,4065,9999999
1009,17889,3,1839,2815,798,5595,11850,13480,11381,17577,9999999,9999999,9999999,8314,4828,5166,9999999,9999999,7022,9999999,9999999,173640,9999999,132733,9999999,9999999,173640,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
1010,26168,3,826,826,879,5403,5521,48320,8784,43447,9999999,36904,9999999,11416,3285,9999999,454,9999999,1782,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
