# File: RECS_2005.csv
# Title: Residential Energy Consumption Survey 2005
# Source: Fill in
# Units: Fill in
DOEID,REGIONC,DIVISION,LRGSTATE,TYPEHUQ,NWEIGHT,HD65,CD65,YEARMADE,OVENA,FUELFOOD,NUMFRIG,AGERFRI1,AGERFRI2,AGERFRI3,NUMFREEZ,AGEFRZR,DISHWASH,AGEDW,CWASHER,AGECWASH,DRYER,DRYRFUEL,AGECDRYER,FUELHEAT,EQUIPM,NUMH2OHTRS,WHEATAGE,AIRCOND,COOLTYPE,AGECENAC,NUMBERAC,WWACAGE,LGT12,LGT12EE,LGT4,LGT4EE,LGT1,LGT1EE,NOUTLGTNT,FUELH2O,ELWARM,ELFOOD,ELWATER,ELCOOL,ELOTHER,UGWARM,UGWATER,UGCOOK,UGOTH,LPWARM,LPWATER,LPCOOK,LPGRILL,LPOTHER,FOWARM,FOWATER,FOOTHER,KRWARM,KRWATER,KROTHER,WDWARM,SOLWATER,TOTSQFT,TOTHSQFT,BTUEL,BTUNG,BTUFO,BTULP,BTUKER,BTUELCDR,BTUELDWH,BTUELFZZ,BTUELRFG,BTUELCOL,BTUELWTH,BTUELSPH,BTUELAPL,BTUNGAPL,BTUNGWTH,BTUNGSPH,BTUFOAPL,BTUFOSPH,BTUFOWTH,BTULPAPL,BTULPSPH,BTULPWTH,BTUWOOD
1,3,7,3,2,25677.96525,1231,3281,3,5,1,2,3,3,9,1,2,1,1,1,3,1,1,3,1,3,0,3,1,3,1,1,2,1,1,0,0,1,1,5,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1989,1739,45922,37559,9999999,9999999,9999999,0,376,3265,4222,29630,0,0,12070,9481,18266,9812,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2,4,9,2,2,24261.81026,1663,1123,6,1,1,1,3,99,9,0,9,1,4,1,4,1,5,6,1,3,0,3,1,1,1,99,9,0,0,0,0,2,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320,660,44529,23320,9999999,9999999,9999999,4261,712,0,4092,10040,0,1356,29041,3780,13082,6458,9999999,9999999,9999999,9999999,9999999,9999999,9999999
3,2,3,0,2,31806.29502,5221,1286,4,5,5,2,5,4,9,0,9,1,1,1,3,1,5,5,1,3,0,4,1,1,5,99,9,0,0,2,0,3,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3075,1886,66411,70178,9999999,9999999,9999999,3414,999,0,19846,16657,0,0,29908,0,20784,49394,9999999,9999999,9999999,9999999,9999999,9999999,9999999
4,4,9,0,3,22345.39749,5261,667,1,5,5,1,6,99,9,1,6,0,99,1,1,1,5,1,5,3,0,6,0,9,9,99,9,0,0,3,3,3,3,0,5,1,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,899,899,97703,9999999,9999999,9999999,9999999,9833,0,7807,5272,0,31876,13724,46831,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
5,3,6,0,2,18842.45542,4392,1238,8,5,5,2,4,2,9,0,9,1,4,1,2,1,5,2,1,3,0,2,1,1,4,99,9,0,0,0,0,3,1,0,5,0,1,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2176,1332,97781,70589,9999999,9999999,9999999,5121,855,0,12335,15836,23262,0,46348,0,0,70589,9999999,9999999,9999999,9999999,9999999,9999999,15000
6,1,2,0,2,5665.875419,5162,1236,5,5,5,1,1,99,9,0,9,1,3,1,1,1,5,1,1,2,0,5,1,2,9,5,3,0,0,0,0,3,2,1,1,0,1,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1069,1069,45079,137865,9999999,9999999,9999999,4030,673,0,2914,4753,0,0,37412,0,45711,92154,9999999,9999999,9999999,9999999,9999999,9999999,9999999
7,3,5,4,2,5958.803863,392,3759,6,99,5,2,4,5,9,0,9,0,99,1,3,1,5,3,99,99,0,2,0,9,9,99,9,0,0,1,0,2,0,0,5,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3360,0,24547,9999999,9999999,9999999,9999999,3198,0,0,6262,0,6971,0,11314,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
8,3,7,0,2,29405.32354,3275,2086,5,5,5,1,3,99,9,0,9,0,99,1,2,1,5,2,2,7,0,1,1,2,9,2,3,0,0,3,3,3,3,0,5,1,1,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,748,748,67824,9999999,9999999,89523,9999999,2576,0,0,4125,7840,19694,2029,34136,9999999,9999999,9999999,9999999,9999999,9999999,0,89523,0,9999999
9,3,5,4,2,34572.0663,540,3278,9,5,5,1,3,99,9,1,4,1,3,1,3,1,1,3,5,4,0,3,1,1,3,99,9,0,0,3,0,2,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,5040,4640,70690,31411,9999999,9999999,9999999,0,548,3754,3003,31999,0,2692,32996,6707,24704,0,9999999,9999999,9999999,9999999,9999999,9999999,9999999
10,1,2,0,3,29899.02765,4409,1718,7,5,5,1,4,99,9,0,9,1,4,1,4,1,5,4,5,5,0,2,1,1,4,99,9,0,0,0,0,4,0,0,5,1,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2549,2549,26232,9999999,9999999,9999999,9999999,2054,343,0,2112,5495,4483,6841,7301,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
