# File: A23.elec_overnight_costs_USA.csv
# Title: Electricity technology overnight capital costs
# Units: 2013 $/kW
# Comments: Based on "Base Case" in DOE report "Energy CO2 Emissions Impacts of Clean Energy Technology Innovation and Policy"; Consistent with AEO-2016
# Source: Constructed from file rReceived from Elke Hodson (DOE-EPSA) [Filename: REVISED QER Base Case and high NG resource side case 3-16-16.xlsx and Adv Tech and QER Gen Tech Info for GCAM 06-22-2016.xlx]; AEO-2016 and  https://energy.gov/sites/prod/files/2017/01/f34/Energy%20CO2%20Emissions%20Impacts%20of%20Clean%20Energy%20Technology%20Innovation%20and%20Policy.pdf
# Column types: icn 
# ----------
year,GCAM.technology,overnight.cost
2015,coal (IGCC),3246.050049
2015,coal (IGCC CCS),4558.227816
2015,coal (conv pul),2475.582275
2015,gas (CC CCS),2039.593813
2015,gas (CC),903.901794
2015,gas (steam/CT),966.858826
2015,Gen_III,4647.879193
2015,CSP,3635.828085
2015,PV,2169.423399
2015,wind,1776.736375
2016,gas (steam/CT),966.858826
2017,gas (CC CCS),2039.593813
2017,gas (CC),903.901794
2017,gas (steam/CT),959.242615
2017,CSP,3635.828085
2017,PV,2169.423399
2017,wind,1776.736375
2018,gas (CC CCS),2045.090832
2018,gas (CC),909.662537
2018,gas (steam/CT),965.356079
2018,CSP,3644.923152
2018,PV,2062.4814
2018,wind,1776.836321
2019,coal (IGCC),3246.050049
2019,coal (IGCC CCS),4558.227816
2019,coal (conv pul),2475.582275
2019,gas (CC CCS),2011.908828
2019,gas (CC),909.890686
2019,gas (steam/CT),965.598267
2019,CSP,3631.730308
2019,PV,1996.317284
2019,wind,1766.841742
2020,coal (IGCC),3232.730957
2020,coal (IGCC CCS),4246.296993
2020,coal (conv pul),2468.642578
2020,gas (CC CCS),1969.132028
2020,gas (CC),907.34198
2020,gas (steam/CT),962.893433
2020,Gen_III,4647.879193
2020,CSP,3607.44348
2020,PV,1960.236853
2020,wind,1756.147542
2021,coal (IGCC),3218.012695
2021,coal (IGCC CCS),4214.814068
2021,coal (conv pul),2460.629639
2021,gas (CC CCS),1956.139075
2021,gas (CC),904.398682
2021,gas (steam/CT),959.77002
2021,CSP,3581.557519
2021,PV,1900.069485
2021,wind,1748.751553
2022,coal (IGCC),3200.28125
2022,coal (IGCC CCS),4179.433257
2022,coal (conv pul),2450.302734
2022,gas (CC CCS),1941.347098
2022,gas (CC),900.60498
2022,gas (steam/CT),955.744019
2022,Gen_III,4647.879193
2022,CSP,3552.373347
2022,PV,1846.598485
2022,wind,1744.054101
2023,coal (IGCC),3186.705322
2023,coal (IGCC CCS),4149.449519
2023,coal (conv pul),2443.148682
2023,gas (CC CCS),1929.153711
2023,gas (CC),897.977417
2023,gas (steam/CT),952.955627
2023,Gen_III,4621.393557
2023,CSP,3527.786682
2023,PV,1790.728787
2023,wind,1738.657028
2024,coal (IGCC),3166.375488
2024,coal (IGCC CCS),4110.770497
2024,coal (conv pul),2430.805176
2024,gas (CC CCS),1912.762601
2024,gas (CC),893.442444
2024,gas (steam/CT),948.143005
2024,Gen_III,4585.21318
2024,CSP,3495.804028
2024,PV,1751.550035
2024,wind,1726.363695
2025,coal (IGCC),3147.355957
2025,coal (IGCC CCS),4073.790553
2025,coal (conv pul),2419.450439
2025,gas (CC CCS),1897.271003
2025,gas (CC),889.270935
2025,gas (steam/CT),943.715942
2025,Gen_III,4550.931773
2025,CSP,3465.320561
2025,PV,1730.161636
2025,wind,1712.071447
2026,coal (IGCC),3135.739502
2026,coal (IGCC CCS),4046.505352
2026,coal (conv pul),2413.778076
2026,gas (CC CCS),1886.17702
2026,gas (CC),887.187927
2026,gas (steam/CT),941.505554
2026,Gen_III,4527.344565
2026,CSP,3443.032649
2026,PV,1709.972585
2026,wind,1698.478819
2027,coal (IGCC),3119.302979
2027,coal (IGCC CCS),4015.42221
2027,coal (conv pul),2405.859375
2027,gas (CC CCS),1871.784825
2027,gas (CC),884.279419
2027,gas (steam/CT),938.418945
2027,Gen_III,4499.559635
2027,CSP,3417.546471
2027,PV,1697.279469
2027,wind,1686.085541
2028,coal (IGCC),3102.314209
2028,coal (IGCC CCS),3986.937658
2028,coal (conv pul),2399.425537
2028,gas (CC CCS),1856.493119
2028,gas (CC),881.916443
2028,gas (steam/CT),935.911194
2028,Gen_III,4474.673132
2028,CSP,3394.159156
2028,PV,1688.384294
2028,wind,1676.390799
2029,coal (IGCC),3083.026855
2029,coal (IGCC CCS),3955.254842
2029,coal (conv pul),2391.105225
2029,gas (CC CCS),1839.902117
2029,gas (CC),878.860168
2029,gas (steam/CT),932.667847
2029,Gen_III,4446.188581
2029,CSP,3368.173249
2029,PV,1679.389172
2029,wind,1666.895948
2030,coal (IGCC),3065.868164
2030,coal (IGCC CCS),3925.37105
2030,coal (conv pul),2383.827393
2030,gas (CC CCS),1824.710356
2030,gas (CC),876.187134
2030,gas (steam/CT),929.831116
2030,Gen_III,4419.702945
2030,CSP,3343.586584
2030,PV,1670.693888
2030,wind,1657.201206
2031,coal (IGCC),3057.074463
2031,coal (IGCC CCS),3902.483463
2031,coal (conv pul),2380.864014
2031,gas (CC CCS),1815.215506
2031,gas (CC),875.099792
2031,gas (steam/CT),928.677307
2031,Gen_III,4391.218394
2031,CSP,3325.196558
2031,PV,1660.999146
2031,wind,1648.605868
2032,coal (IGCC),3049.596436
2032,coal (IGCC CCS),3881.694738
2032,coal (conv pul),2379.131836
2032,gas (CC CCS),1806.420276
2032,gas (CC),874.464966
2032,gas (steam/CT),928.003662
2032,Gen_III,4367.031512
2032,CSP,3308.405665
2032,PV,1651.704188
2032,wind,1639.410855
2033,coal (IGCC),3043.605225
2033,coal (IGCC CCS),3865.403573
2033,coal (conv pul),2380.256348
2033,gas (CC CCS),1797.924884
2033,gas (CC),874.88031
2033,gas (steam/CT),928.444397
2033,Gen_III,4335.24875
2033,CSP,3295.512657
2033,PV,1643.208795
2033,wind,1630.115896
2034,coal (IGCC),3031.737549
2034,coal (IGCC CCS),3839.217775
2034,coal (conv pul),2375.234131
2034,gas (CC CCS),1786.531063
2034,gas (CC),873.036194
2034,gas (steam/CT),926.487366
2034,Gen_III,4313.060784
2034,CSP,3274.024312
2034,PV,1632.614541
2034,wind,1621.520558
2035,coal (IGCC),3015.353271
2035,coal (IGCC CCS),3810.033604
2035,coal (conv pul),2368.416992
2035,gas (CC CCS),1771.839032
2035,gas (CC),870.532593
2035,gas (steam/CT),923.830383
2035,Gen_III,4272.382845
2035,CSP,3250.137267
2035,PV,1620.920883
2035,wind,1612.025707
2036,coal (IGCC),3004.260498
2036,coal (IGCC CCS),3784.347535
2036,coal (conv pul),2363.803223
2036,gas (CC CCS),1760.844994
2036,gas (CC),868.838623
2036,gas (steam/CT),922.032776
2036,Gen_III,4250.994446
2036,CSP,3229.348542
2036,PV,1614.724244
2036,wind,1601.631345
2037,coal (IGCC),2985.677734
2037,coal (IGCC CCS),3751.965097
2037,coal (conv pul),2354.970947
2037,gas (CC CCS),1745.053559
2037,gas (CC),865.594177
2037,gas (steam/CT),918.589661
2037,Gen_III,4222.110111
2037,CSP,3202.663015
2037,PV,1610.126737
2037,wind,1592.136494
2038,coal (IGCC),2967.474609
2038,coal (IGCC CCS),3716.784178
2038,coal (conv pul),2344.298828
2038,gas (CC CCS),1730.06169
2038,gas (CC),861.673462
2038,gas (steam/CT),914.428894
2038,Gen_III,4189.927566
2038,CSP,3173.578789
2038,PV,1605.029502
2038,wind,1583.341265
2039,coal (IGCC),2947.783691
2039,coal (IGCC CCS),3680.603801
2039,coal (conv pul),2332.938232
2039,gas (CC CCS),1714.170309
2039,gas (CC),857.499634
2039,gas (steam/CT),909.999573
2039,Gen_III,4156.54567
2039,CSP,3143.694997
2039,PV,1599.632429
2039,wind,1574.246197
2040,coal (IGCC),2924.828369
2040,coal (IGCC CCS),3641.924778
2040,coal (conv pul),2319.97998
2040,gas (CC CCS),1695.980174
2040,gas (CC),852.738647
2040,gas (steam/CT),904.94696
2040,Gen_III,4120.465239
2040,CSP,3111.712343
2040,PV,1599.632429
2040,wind,1564.751347
