# File: MARKAL_fuel_name_code.csv
# Title: MARKAL fuel names code
# Source: MARKAL
# Units: NA
Fuel_name,Fuel_code
Gasoline,GSL
Diesel,DSL
CNG,CNG
Electricity,ELC
E85 or gasoline,E10
E85 or gasoline,E15
E85 or gasoline,E85
Electricity and gasoline 20mi,PH20G
Electricity and gasoline or ethanol 20mi,PH20E
Electricity and gasoline 40mi,PH40G
Electricity and gasoline or ethanol 40mi,PH40E
Biodiesel (B20),B20
B0,B0
