# File: reeds_wind_curve_capacity.csv
# Title: Onshore Wind Resource Potential by ReEDS Wind Region; Class; and Bin
# Units: MW
# Comments: Onshore wind resource potential in MW for each region-class-bin. Bins are the portions of the interconnection supply curves. Summing across bins will provide total resource in a region and class.
# Source: Information based on ReEDS version 2017.  Files provided by ReEDS team in April 2017.
# Column types: iccnnnnn 
# ----------
Wind.Resource.Region,Wind.Class,Wind.Type,wsc1,wsc2,wsc3,wsc4,wsc5
1,class1,wind-ons,0.12,0.24,0.72,0,0
1,class10,wind-ons,76.8,597.42,672.84,1279.32,1842.6
1,class2,wind-ons,0.12,0.12,0.12,0,0
1,class3,wind-ons,0.12,3.72,0.72,0.12,0
1,class4,wind-ons,1.2,0.36,2.28,2.88,2.76
1,class5,wind-ons,8.46,10.44,17.52,8.52,0.12
1,class6,wind-ons,20.64,59.52,61.02,52.5,24.72
1,class7,wind-ons,68.04,127.74,268.62,102.96,292.74
1,class8,wind-ons,298.26,477.54,451.38,906.24,616.68
1,class9,wind-ons,94.68,394.26,637.8,2215.8,1140.66
2,class10,wind-ons,16.02,36.96,38.58,634.5,358.08
2,class5,wind-ons,0.84,1.68,0.6,0,0
2,class6,wind-ons,3.36,0.72,2.88,7.14,10.2
2,class7,wind-ons,10.8,11.04,19.5,4.74,10.92
2,class8,wind-ons,55.2,34.44,50.04,1.2,1.8
2,class9,wind-ons,16.74,123.54,85.98,144.24,33.3
3,class1,wind-ons,0.24,0.48,0.12,0,0
3,class10,wind-ons,187.74,239.16,457.86,1181.7,741.24
3,class2,wind-ons,0.72,0,0,0,0
3,class3,wind-ons,0.24,0,0,0,0
3,class4,wind-ons,0.06,2.04,0,0,0
3,class5,wind-ons,0.36,0.12,5.64,2.04,1.74
3,class6,wind-ons,9.6,18.66,9.36,3.6,8.64
3,class7,wind-ons,32.58,79.8,32.82,11.4,11.1
3,class8,wind-ons,23.82,14.82,122.34,50.88,89.82
3,class9,wind-ons,38.94,229.44,239.16,335.88,113.04
4,class1,wind-ons,0.12,0.24,2.4,2.4,1.8
4,class10,wind-ons,15.66,21.12,165.36,559.62,883.26
4,class2,wind-ons,0.12,2.52,0.24,0,0
4,class3,wind-ons,0.12,10.08,2.76,1.56,0
4,class4,wind-ons,0.12,2.64,1.56,0,0
4,class5,wind-ons,2.52,102.84,23.16,13.74,6.96
4,class6,wind-ons,6.42,332.28,369.96,23.22,225.18
4,class7,wind-ons,315.18,541.14,43.5,378.54,457.62
4,class8,wind-ons,33.96,254.16,169.86,162.3,659.88
4,class9,wind-ons,30.36,15.12,42.42,227.94,539.64
5,class1,wind-ons,4.08,6.36,1.8,3.12,2.28
5,class10,wind-ons,326.58,859.2,2119.86,5229.6,3956.16
5,class2,wind-ons,1.2,0.6,2.52,7.92,1.44
5,class3,wind-ons,6.72,5.16,1.62,5.04,0.36
5,class4,wind-ons,1.92,14.4,4.2,2.52,16.56
5,class5,wind-ons,129.48,27.18,13.56,30.24,16.44
5,class6,wind-ons,149.46,147.48,496.02,154.8,281.58
5,class7,wind-ons,631.74,853.5,960.48,1542.18,1000.08
5,class8,wind-ons,173.34,701.7,1018.68,2665.62,1689.78
5,class9,wind-ons,213.78,864.72,1840.08,2097.36,776.64
6,class1,wind-ons,0.72,0,0,0,0
