# File: BEA_pcGDP_09USD_state.csv
# Title: Per capita real GDP by state (chained 2009 dollars)
# Units: NA
#Levels ,,,,,,,,,,,,,,,,,,
#Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,
#All industry total,,,,,,,,,,,,,,,,,,
Fips,Area,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
42000,Pennsylvania,38735,39928,41131,42129,42810,43184,43902,44614,45163,45743,46272,46275,45118,45976,46503,46972,47274
44000,Rhode Island,37769,38898,39884,41238,41822,42910,44254,45984,46627,47836,46608,45394,45168,46277,46304,46903,47515
45000,South Carolina,34536,35004,36054,36469,36332,36699,37515,37149,37593,37663,37773,36756,34869,35078,35885,36033,36059
46000,South Dakota,31082,32815,34306,36412,36129,40618,41647,42660,43039,42748,44223,45634,45819,46507,48330,47886,48696
47000,Tennessee,36887,38489,39411,39418,39217,40136,41040,42162,42202,42382,41392,41060,39243,39649,40468,41441,41503
48000,Texas,41273,43259,44217,44771,45312,45325,44934,46255,46382,47874,48886,48273,47063,47617,48846,51367,52465
49000,Utah,35114,36615,37844,38705,39179,39129,39383,40555,41881,44169,45652,43662,42018,42075,42714,44196,45165
50000,Vermont,33197,33671,35129,36630,37420,38349,39748,41092,41603,41821,41439,41497,40412,42097,42969,43461,44241
51000,Virginia,42543,44621,46128,46857,47698,47670,48833,50568,52174,52524,52397,51867,51233,52084,51923,52057,51623
53000,Washington,46436,48020,50472,50516,48756,49044,49442,49560,51968,52719,54881,54579,52513,52850,52595,53814,54654
54000,West Virginia,30650,31053,32253,32096,32147,32386,32317,32844,33587,33953,33693,34376,33961,34818,35656,35152,36963
55000,Wisconsin,39011,39852,41277,42019,42032,42697,43712,44753,45410,45830,45683,44750,43374,44431,45036,45363,45993
56000,Wyoming,46230,47101,48801,50235,53313,53390,54521,55965,57890,63743,65649,69965,67679,66256,66628,63765,67857
