EIA_sector,EIA_service,service
Residential,Space Heating,resid heating
Residential,Space Cooling,resid cooling
Residential,Water Heating,resid hot water
Residential,Refrigeration,resid appliances
Residential,Cooking,resid appliances
Residential,Clothes Dryers,resid appliances
Residential,Freezers,resid appliances
Residential,Lighting,resid lighting
Residential,Clothes Washers,resid appliances
Residential,Dishwashers,resid appliances
Residential,Color Televisions,resid other appliances
Residential,Personal Computers,resid other appliances
Residential,Furnace Fans,resid other appliances
Residential,Other Uses,resid other
