# File: AEO_2020_elec_gen_hydro.csv
# Title: Annual Energy Outlook 2020 Hydropower Electricity Generation
# Units: billion kWh
# Comments: AEO 2020 Renewable Energy All Sectors Electricity Generation Hydropower (case = Reference case; region = United States)
# Source: U.S. Energy Information Administration (https://www.eia.gov/outlooks/aeo/data/browser/#/?id=67-AEO2020&sid=ref2018-d121317a.110-67-AEO2018.3-0&sourcekey=0)
# Column types: cin
# ----------
region,year,AEO
USA,2050,287.371979
USA,2049,288.152557
USA,2048,288.511841
USA,2047,288.315765
USA,2046,287.304504
USA,2045,287.052521
USA,2044,288.109314
USA,2043,288.084473
USA,2042,287.661591
USA,2041,289.065247
USA,2040,289.480347
USA,2039,289.750732
USA,2038,289.895264
USA,2037,289.988647
USA,2036,290.086365
USA,2035,290.130157
USA,2034,290.129639
USA,2033,289.975647
USA,2032,289.977081
USA,2031,290.056274
USA,2030,290.087585
USA,2029,290.143433
USA,2028,290.212799
USA,2027,290.412506
USA,2026,290.44812
USA,2025,290.404053
USA,2024,290.554382
USA,2023,290.62326
USA,2022,290.405975
USA,2021,291.289093
USA,2020,290.850433
USA,2019,286.849701
