# File: states_subregions.csv
# Title: ???
# Units: ???
state,state_name,grid_region,DIVISION,LRGSTATE,REGION,subregion13,DIVISION2009,subregion9,subregion4,REPORTABLE_DOMAIN,subregion27
AK,Alaska,Alaska grid,9,0,4,Pacific,10,Pacific,West,27,Other Pacific
AL,Alabama,Southeast grid,6,0,3,Central-SE,6,Central-SE,South,18,Other Central-SE
AR,Arkansas,Southeast grid,7,0,3,Central-SW,7,Central-SW,South,20,Other Central-SW
AZ,Arizona,Southwest grid,8,0,4,Mountain,9,Mountain,West,24,Arizona
CA,California,California grid,9,2,4,California,10,Pacific,West,26,California
CO,Colorado,Southwest grid,8,0,4,Mountain,8,Mountain,West,22,Colorado
CT,Connecticut,New England grid,1,0,1,New England,1,New England,Northeast,1,Other Northeast
DC,District of Columbia,Mid-Atlantic grid,5,0,3,Atlantic-S,5,Atlantic-S,South,14,Other Atlantic-S
DE,Delaware,Mid-Atlantic grid,5,0,3,Atlantic-S,5,Atlantic-S,South,14,Other Atlantic-S
FL,Florida,Florida grid,5,4,3,Florida,5,Atlantic-S,South,17,Florida
GA,Georgia,Southeast grid,5,0,3,Atlantic-S,5,Atlantic-S,South,15,Georgia
HI,Hawaii,Hawaii grid,9,0,4,Pacific,10,Pacific,West,27,Other Pacific
IA,Iowa,Central Northwest grid,4,0,2,Central-NW,4,Central-NW,Midwest,10,Other Central-NW
ID,Idaho,Northwest grid,8,0,4,Mountain,8,Mountain,West,23,Other Mountain-N
IL,Illinois,Central Northeast grid,3,0,2,Central-NE,3,Central-NE,Midwest,6,Illinois
IN,Indiana,Central East grid,3,0,2,Central-NE,3,Central-NE,Midwest,7,Other Central-NE
KS,Kansas,Central Southwest grid,4,0,2,Central-NW,4,Central-NW,Midwest,11,Kansas and Nebraska
KY,Kentucky,Central East grid,6,0,3,Central-SE,6,Central-SE,South,18,Other Central-SE
LA,Louisiana,Southeast grid,7,0,3,Central-SW,7,Central-SW,South,20,Other Central-SW
MA,Massachusetts,New England grid,1,0,1,New England,1,New England,Northeast,2,Massachusetts
MD,Maryland,Mid-Atlantic grid,5,0,3,Atlantic-S,5,Atlantic-S,South,14,Other Atlantic-S
ME,Maine,New England grid,1,0,1,New England,1,New England,Northeast,1,Other Northeast
MI,Michigan,Central East grid,3,0,2,Central-NE,3,Central-NE,Midwest,8,Michigan
MN,Minnesota,Central Northwest grid,4,0,2,Central-NW,4,Central-NW,Midwest,10,Other Central-NW
MO,Missouri,Central Northeast grid,4,0,2,Central-NW,4,Central-NW,Midwest,12,Missouri
MS,Mississippi,Southeast grid,6,0,3,Central-SE,6,Central-SE,South,18,Other Central-SE
MT,Montana,Northwest grid,8,0,4,Mountain,8,Mountain,West,23,Other Mountain-N
NC,North Carolina,Southeast grid,5,0,3,Atlantic-S,5,Atlantic-S,South,16,Carolinas
ND,North Dakota,Central Northwest grid,4,0,2,Central-NW,4,Central-NW,Midwest,10,Other Central-NW
NE,Nebraska,Central Northwest grid,4,0,2,Central-NW,4,Central-NW,Midwest,11,Kansas and Nebraska
NH,New Hampshire,New England grid,1,0,1,New England,1,New England,Northeast,1,Other Northeast
NJ,New Jersey,Mid-Atlantic grid,2,0,1,Atlantic-N,2,Atlantic-N,Northeast,4,New Jersey
NM,New Mexico,Southwest grid,8,0,4,Mountain,9,Mountain,West,25,Other Mountain-S
NV,Nevada,Northwest grid,8,0,4,Mountain,9,Mountain,West,25,Other Mountain-S
NY,New York,New York grid,2,1,1,New York,2,Atlantic-N,Northeast,3,New York
OH,Ohio,Central East grid,3,0,2,Central-NE,3,Central-NE,Midwest,7,Other Central-NE
OK,Oklahoma,Central Southwest grid,7,0,3,Central-SW,7,Central-SW,South,20,Other Central-SW
OR,Oregon,Northwest grid,9,0,4,Pacific,10,Pacific,West,27,Other Pacific
PA,Pennsylvania,Mid-Atlantic grid,2,0,1,Atlantic-N,2,Atlantic-N,Northeast,5,Pennsylvania
RI,Rhode Island,New England grid,1,0,1,New England,1,New England,Northeast,1,Other Northeast
SC,South Carolina,Southeast grid,5,0,3,Atlantic-S,5,Atlantic-S,South,16,Carolinas
SD,South Dakota,Central Northwest grid,4,0,2,Central-NW,4,Central-NW,Midwest,10,Other Central-NW
TN,Tennessee,Southeast grid,6,0,3,Central-SE,6,Central-SE,South,19,Tennessee
TX,Texas,Texas grid,7,3,3,Texas,7,Central-SW,South,21,Texas
UT,Utah,Northwest grid,8,0,4,Mountain,8,Mountain,West,23,Other Mountain-N
VA,Virginia,Southeast grid,5,0,3,Atlantic-S,5,Atlantic-S,South,13,Virginia
VT,Vermont,New England grid,1,0,1,New England,1,New England,Northeast,1,Other Northeast
WA,Washington,Northwest grid,9,0,4,Pacific,10,Pacific,West,27,Other Pacific
WI,Wisconsin,Central Northeast grid,3,0,2,Central-NE,3,Central-NE,Midwest,9,Wisconsin
WV,West Virginia,Central East grid,5,0,3,Atlantic-S,5,Atlantic-S,Midwest,14,Other Atlantic-S
WY,Wyoming,Southwest grid,8,0,4,Mountain,8,Mountain,West,23,Other Mountain-N
