# File: Census_pop_10_15.csv
# Title: U.S. Census Bureau Population by State
# Units: number of persons
# Source: U.S. Census Bureau (https://www2.census.gov/programs-surveys/popest/tables/2010-2016/state/totals/nst-est2016-01.xlsx)
# Column types: ciiiiiii 
# ----------
state,2010,2011,2012,2013,2014,2015,2016
AL,4785492,4799918,4815960,4829479,4843214,4853875,4863300
AK,714031,722713,731089,736879,736705,737709,741894
AZ,6408312,6467163,6549634,6624617,6719993,6817565,6931071
AR,2921995,2939493,2950685,2958663,2966912,2977853,2988248
CA,37332685,37676861,38011074,38335203,38680810,38993940,39250017
CO,5048644,5118360,5189867,5267603,5349648,5448819,5540545
CT,3579899,3589893,3593795,3596003,3591873,3584730,3576452
DE,899816,907924,916993,925395,934948,944076,952065
DC,605183,620477,635327,649165,659005,670377,681170
FL,18849098,19096952,19344156,19582022,19888741,20244914,20612439
GA,9713521,9811610,9914668,9984938,10087231,10199398,10310371
HI,1363945,1377864,1391820,1406481,1416349,1425157,1428557
ID,1571010,1584143,1595911,1612011,1633532,1652828,1683140
IL,12841578,12860012,12870798,12879505,12867544,12839047,12801539
IN,6490528,6516480,6537743,6569102,6595233,6612768,6633053
IA,3050738,3065223,3076310,3091930,3108030,3121997,3134693
KS,2858850,2869503,2885262,2892821,2899360,2906721,2907289
KY,4348662,4369354,4384799,4400477,4413057,4424611,4436974
LA,4544996,4575404,4603429,4626402,4647880,4668960,4681666
ME,1327730,1328231,1328895,1329076,1330719,1329453,1331479
MD,5788584,5843603,5889651,5931129,5967295,5994983,6016447
MA,6565524,6611923,6658008,6706786,6749911,6784240,6811779
MI,9877495,9876213,9887238,9898982,9915767,9917715,9928300
MN,5311147,5348562,5380285,5418521,5453109,5482435,5519952
MS,2970322,2978162,2984945,2990482,2992400,2989390,2988726
MO,5996118,6010717,6025415,6042711,6060930,6076204,6093000
MT,990641,997821,1005196,1014314,1022867,1032073,1042520
NE,1830051,1842283,1855725,1868559,1881145,1893765,1907116
NV,2703284,2718379,2752565,2786464,2833013,2883758,2940058
NH,1316872,1318473,1321182,1322687,1328743,1330111,1334795
NJ,8803729,8841243,8873211,8899162,8925001,8935421,8944469
NM,2064756,2077756,2083784,2085193,2083024,2080328,2081015
NY,19402640,19519529,19602769,19673546,19718515,19747183,19745289
NC,9558915,9650963,9746175,9841590,9934399,10035186,10146788
ND,674526,685476,702087,724019,739904,756835,757952
OH,11540983,11544824,11550839,11570022,11594408,11605090,11614373
OK,3759603,3786274,3817054,3852415,3877499,3907414,3923561
OR,3838048,3868031,3899116,3925751,3968371,4024634,4093465
PA,12712343,12744293,12771854,12781338,12790565,12791904,12784227
RI,1053337,1052451,1052901,1053033,1054480,1055607,1056426
SC,4635943,4672637,4720760,4767894,4828430,4894834,4961119
SD,816325,824398,834441,844922,852561,857919,865454
TN,6356671,6397634,6454306,6494821,6544663,6595056,6651194
TX,25244310,25646389,26071655,26473525,26944751,27429639,27862596
UT,2775326,2816124,2855782,2902663,2941836,2990632,3051217
VT,625982,626730,626444,627140,626984,626088,624594
VA,8025773,8110035,8192048,8262692,8317372,8367587,8411808
WA,6743226,6822520,6895226,6968006,7054196,7160290,7288000
WV,1854230,1854972,1856560,1853231,1848514,1841053,1831102
WI,5690263,5709640,5726177,5742854,5758377,5767891,5778708
WY,564513,567725,576765,582684,583642,586555,585501
