# File: EIA_923_generator_gen_fuel_2015.csv
# Title: EIA Form 923 generation data for year 2015
# Unit: MWh
# Comments: Selected columns from original form
# Source: https://www.eia.gov/electricity/data/eia923/archive/xls/f923_2015.zip; Page 4 Generator Data from file
# Column types: cici 
# ----------
State,Plant.Id,Generator.Id,Net.Generation.Year.To.Date
AL,3,1,-1413
AL,3,2,418
AL,3,3,92406
AL,3,4,1577172
AL,3,5,2935726
AL,3,A1CT,1096926
AL,3,A1CT2,1129228
AL,3,A1ST,1269176
AL,3,A2C1,1025123
AL,3,A2C2,1067440
AL,3,A2ST,1195360
AL,7,1,146980
AL,7,2,67675
AL,8,10,3905289
AL,8,6,5352
AL,8,7,14441
AL,8,8,370595
AL,8,9,356365
AL,10,1,1121736
AL,10,2,1085912
AL,26,1,323684
AL,26,2,466368
AL,26,3,305456
AL,26,5,5301453
AL,26,ST4,181708
AL,47,1,653885
AL,47,2,617030
AL,47,3,739753
AL,47,4,715716
AL,47,5,-41009
AL,50,7,1637930
AL,50,8,-10483
LA,51,1,4273045
AL,56,1,-9760
AL,56,2,1032585
AL,56,3,624958
NE,59,1,541762
NE,60,1,324142
NE,60,2,1056395
AK,79,1,35639
AK,79,2,7908
AK,79,5,154749
NM,87,1,1368602
AK,96,6,1437
AK,96,7,143037
AK,96,8,44344
KS,108,1,1443465
AZ,113,1,627267
AZ,113,2,1076541
AZ,113,3,1299760
AZ,113,4,2519374
AZ,116,1,55383
AZ,116,2,50139
AZ,117,1B,73860
AZ,117,2B,80265
AZ,117,3B,101008
AZ,117,C4-1,109286
AZ,117,C4-2,0
AZ,117,C5-1,515322
AZ,117,C5-2,431599
AZ,117,C5-3,500247
AZ,120,ST1,277526
AZ,126,4,559194
AZ,126,ST1,26555
AZ,126,ST2,40052
AZ,126,ST3,138511
TX,127,1,2081937
SC,130,1,1272791
SC,130,2,542448
SC,130,3,3621614
SC,130,4,3485111
FL,136,1,3535280
FL,136,2,4208934
AZ,141,AF1,37027
AZ,141,AF2,31359
AZ,141,AF3,42083
AZ,147,KY7,379909
AZ,147,KY7A,492957
AZ,160,ST1,16852
AZ,160,ST2,843144
AZ,160,ST3,1069250
OK,165,1,2014725
OK,165,2,1740469
AR,170,4,159628
AR,201,1,20802
AR,201,2,55617
AR,202,1,32020
AR,203,1,88953
FL,207,1,2147184
FL,207,2,2652039
CA,260,6,325131
CA,260,7,214900
CA,260,CT1A,774018
CA,260,CT1B,328995
CA,260,CT2A,447714
CA,260,CT2B,675885
CA,260,ST1,575787
CA,260,ST2,604998
CA,271,5,109918
CA,271,6,58981
CA,271,7,12161
TX,298,1,4065286
TX,298,2,5099386
CA,302,2,46663
CA,302,3,51789
CA,302,4,216776
CA,302,5,300312
CA,302,ST1,37084
CA,315,1,45225
CA,315,2,93105
CA,315,3,309796
CA,315,4,197462
CA,315,5,142491
CA,315,6,264746
CA,330,4,144279
CA,331,3,88798
CA,331,4,48106
CA,335,1,357475
CA,335,2,365022
CA,345,1,112051
CA,345,2,135605
CA,350,1,177741
CA,350,2,227272
CA,356,5,54568
CA,356,6,64042
CA,356,7,198838
CA,356,8,169440
CA,358,MV3A,904123
CA,358,MV3B,826511
CA,358,MV3C,1080046
CA,358,MV4A,919608
CA,358,MV4B,907031
CA,358,MV4C,1113092
CA,377,1,1591
CA,377,2,7100
CA,377,3,10668
CA,377,4,27387
