# File: NCAR_SSP2_pop_state.csv
# Title: Population Projections for US States under SSP2 Based on Global Gridded Population Projections
# Units: persons
# Source: Jiang et al (2018) - https://opensky.ucar.edu/islandora/object/technotes%3A561/datastream/PDF/download/citation.pdf
# Column types: ciiiiiiiiiiii 
# ----------
State,State_FIPS,SSP,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
Alabama,1000,2,4879341,5212193,5535659,5801754,6014447,6222869,6404409,6516371,6554921,6536790
Alaska,2000,2,584669,621153,656834,687884,714388,740304,751326,766005,774497,775232
Arizona,4000,2,5635693,6131636,6629748,7075339,7464567,7844552,8186498,8437565,8589553,8654180
Arkansas,5000,2,2926954,3109899,3285714,3426003,3534250,3640447,3732000,3783318,3793325,3772150
California,6000,2,37370531,40845316,44357657,47546607,50372771,53130496,55633027,57515125,58704428,59300872
Colorado,8000,2,4744058,5144835,5546778,5903875,6214087,6517602,6791254,6989700,7108004,7155544
Connecticut,9000,2,3735037,4063108,4392361,4686771,4943987,5195015,5421612,5588103,5688169,5732567
Delaware,10000,2,849345,921476,993614,1057410,1112590,1166498,1215000,1249934,1270008,1277754
District of Columbia,11000,2,622187,684354,747545,805653,857747,908589,954947,990436,1013655,1026275
Florida,12000,2,17310433,18807179,20311188,21662075,22847357,24002905,25047456,25821109,26295239,26516313
Georgia,13000,2,9045755,9744277,10434783,11027864,11525922,12013081,12446261,12741918,12889578,12917497
Hawaii,15000,2,1288860,1388062,1486881,1574120,1649444,1722947,1788968,1836590,1864075,1874870
Idaho,16000,2,1416808,1519606,1620744,1706493,1777319,1846908,1907797,1948304,1967621,1968438
Illinois,17000,2,13703032,14889438,16080573,17145675,18076202,18984344,19804217,20406693,20768695,20928795
Indiana,18000,2,6708416,7234002,7753997,8202636,8580885,8950494,9279618,9506242,9622178,9648459
Iowa,19000,2,3206682,3426818,3641024,3817408,3958745,4097147,4217985,4292779,4319646,4308863
Kansas,20000,2,2946834,3170431,3391531,3579542,3736141,3889496,4025164,4115460,4159527,4163576
Kentucky,21000,2,4432933,4729700,5017092,5251526,5437405,5619342,5777366,5872752,5902396,5881441
Louisiana,22000,2,4897761,5260501,5617974,5923958,6180118,6430269,6652268,6803109,6877881,6890915
Maine,23000,2,1370776,1449655,1524358,1581820,1624402,1666142,1700979,1718011,1717016,1702085
Maryland,24000,2,5818516,6340930,6866517,7338473,7752489,8156823,8522495,8792766,8957220,9032581
Massachusetts,25000,2,6942708,7577125,8216728,8795496,9306843,9805452,10257333,10595824,10808023,10912981
Michigan,26000,2,10914325,11777027,12633318,13377402,14010748,14629380,15181356,15566898,15771992,15828432
Minnesota,27000,2,5397357,5799183,6195293,6535147,6820324,7098413,7345285,7514477,7598925,7615841
Mississippi,28000,2,3110247,3300074,3481601,3624126,3731931,3837890,3928036,3976120,3980892,3953655
Missouri,29000,2,6185563,6663143,7134729,7539057,7877833,8209037,8503199,8703324,8802563,8820232
Montana,30000,2,971809,1028252,1082323,1124937,1156573,1187271,1213746,1226609,1231230,1221900
Nebraska,31000,2,1886767,2029750,2171483,2292059,2392185,2490088,2576392,2634698,2663865,2666619
Nevada,32000,2,2201982,2396125,2590948,2765973,2919860,3069391,3204220,3304295,3366135,3392643
New Hampshire,33000,2,1356789,1447454,1535183,1606986,1664134,1720002,1768620,1798218,1807829,1802031
New Jersey,34000,2,9231203,10060884,10897584,11655644,12326268,12980105,13573003,14018114,14298433,14438610
New Mexico,35000,2,1999883,2147634,2294322,2419455,2523739,2625606,2715117,2774449,2806645,2809608
New York,36000,2,20681803,22478674,24282225,25897048,27310460,28689011,29933453,30850474,31405304,31655243
North Carolina,37000,2,8820163,9456630,10080234,10603896,11033432,11453724,11823844,12064682,12167770,12161822
North Dakota,38000,2,690231,734026,775552,809912,836955,862861,885698,897509,903924,898132
Ohio,39000,2,12496841,13526378,14552726,15454648,16229172,16985692,17664530,18148178,18418806,18513981
Oklahoma,40000,2,3799522,4073307,4341940,4567856,4753129,4934444,5093781,5198131,5243228,5240822
Oregon,41000,2,3759386,4061905,4364113,4628419,4854473,5075604,5273340,5412979,5491776,5516799
Pennsylvania,42000,2,13555290,14646473,15730082,16673872,17477651,18262545,18964086,19456552,19721905,19801388
Rhode Island,44000,2,1133609,1235893,1338868,1431627,1513225,1592850,1664942,1718499,1751500,1767113
South Carolina,45000,2,4394685,4716201,5031846,5298598,5518910,5734358,5924591,6050142,6106676,6108292
South Dakota,46000,2,821011,870349,917363,954243,982168,1008727,1030085,1041141,1044074,1035067
Tennessee,47000,2,6254784,6715504,7168474,7552972,7871704,8183458,8459232,8642834,8728034,8734333
Texas,48000,2,22868782,24840715,26813868,28562236,30074476,31548897,32874532,33832357,34390122,34610052
Utah,49000,2,2454051,2656368,2859325,3039834,3196592,3349839,3487449,3588047,3648221,3672677
Vermont,50000,2,665002,697252,726853,747319,760392,773245,783159,785100,778964,767243
Virginia,51000,2,7777408,8393214,9004002,9533923,9983292,10422707,10814959,11088085,11231890,11270371
Washington,53000,2,6439173,6975083,7511314,7987523,8401503,8805414,9169109,9433327,9588814,9653307
West Virginia,54000,2,1981972,2095081,2202098,2283643,2343141,2401536,2450478,2473424,2470140,2447552
Wisconsin,55000,2,5861549,6269370,6669204,7006964,7285526,7557839,7798270,7956602,8027757,8029695
Wyoming,56000,2,532977,570131,606699,636235,660451,682867,703258,716737,724143,723809
