# File: BEA_GDP_97_18_12USD_state.csv
# Title: Real GDP by State (All Industry Total) 1997-2018
# Unit: Millions of chained 2012 dollars
# Source: Bureau of Economic Analysis (no stable link, see https://apps.bea.gov/itable/iTable.cfm?ReqID=70&step=1
# Column types: iciiiiiiiiiiiiiiiiiiiiii
# ----------
Fips,Area,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1000,Alabama,143646,148596,154094,156560,156404,160870,164992,175508,181386,184796,185869,185298,178021,182263,185055,186299,188165,186335,188716,189614,193053,196876
2000,Alaska,42262,41157,40722,39517,40974,42881,42151,43735,45052,48517,51114,50884,55838,54151,54646,57670,54750,53209,53585,52608,52492,52311
4000,Arizona,168551,183138,198096,207793,212656,219311,233342,243246,263061,277288,284907,277477,255081,257485,263211,268289,270149,273407,279435,288682,297210,309067
5000,Arkansas,82756,84795,89317,90206,89923,92885,96545,101210,104653,106940,106155,105791,102528,105923,108295,108745,111779,112706,113177,113788,114851,115933
6000,California,1378654,1470393,1582377,1709939,1702776,1743651,1825424,1902319,1990141,2072177,2103618,2111138,2026487,2058138,2091586,2144497,2220868,2309928,2426143,2498840,2587572,2677939
8000,Colorado,184193,201076,216300,232752,236383,236786,238540,240798,250840,256124,264577,267713,262380,264791,268681,273520,282534,295010,307912,315425,325129,336365
9000,Connecticut,190791,196248,202230,216370,220287,219959,222240,237133,242485,251581,261129,259722,248041,247461,242020,243801,241081,237558,241916,241447,239884,242171
10000,Delaware,45231,49743,53862,56109,58882,56814,57957,60682,59974,61497,61235,58656,60404,60016,62017,61976,59157,63693,65635,63718,63651,63855
11000,District of Columbia,79626,81190,84658,85265,88506,91195,93025,97798,99955,100242,102957,106747,106351,109964,112008,112737,112678,114962,117030,119365,121448,124007
12000,Florida,560888,590135,616625,642693,658640,685304,715436,757054,806339,834346,835867,803218,758264,766199,763746,769309,784090,804322,835928,864029,885906,916975
13000,Georgia,328995,352713,377608,393195,396875,400092,410588,429314,445533,450584,453061,443416,426264,433027,439891,444132,450772,464061,479242,495226,509422,522424
15000,Hawaii,55679,54360,55182,56417,56019,57912,60838,64928,68566,70403,71192,71689,69095,71007,72080,73583,74278,74504,77023,78757,79998,80798
16000,Idaho,37015,38791,42496,47325,46062,47208,48536,51241,55387,57590,58703,59704,57088,57907,57797,57764,59831,61367,63208,65565,67161,69892
17000,Illinois,577804,595833,617315,641749,644181,647868,655835,673262,685897,704495,712710,699430,682966,694961,707060,720702,724616,734218,741725,743817,748162,764212
18000,Indiana,232247,246380,254489,263693,258661,265106,275194,284656,285492,291269,299423,298264,277474,295133,296472,297553,303920,313057,309877,315130,320084,326148
19000,Iowa,113365,114230,116663,122159,120669,124097,129316,139749,143876,145887,152251,149132,145618,149536,151248,157251,156637,164721,168252,168909,168332,170749
20000,Kansas,104770,108508,111201,113972,113853,115552,117478,117883,122258,128899,135667,138658,133277,134945,138563,140478,140506,143154,144932,148249,149421,152262
21000,Kentucky,146959,151551,156261,152118,151921,155676,159180,163436,168805,173337,171869,172151,165015,172045,174136,176302,179390,179753,180679,181614,183566,186148
22000,Louisiana,201830,208683,212955,206685,209046,213146,221240,231602,245523,243332,234620,235276,238666,247351,234063,233623,226616,231841,231326,228526,228678,231161
23000,Maine,43035,44233,46393,48524,49419,50633,51729,53530,53613,54270,54001,53921,53064,53776,53088,52874,52505,53418,53606,54707,55617,56689
24000,Maryland,221184,231831,240910,250982,260776,270885,277950,292115,305993,311680,312093,315859,314863,327235,334307,334822,334939,338707,344454,355075,362043,367915
25000,Massachusetts,302806,314880,331705,359521,362434,364797,373814,383487,390792,397743,407974,412601,408062,424581,434724,444330,444866,453479,469770,477857,488339,501337
26000,Michigan,397339,406293,429356,438277,423624,435250,443795,444198,450746,443308,441149,416702,380091,400941,411466,418857,424320,430501,440310,448713,456004,468387
27000,Minnesota,211942,222971,230684,245982,246058,252414,263869,274713,282094,281970,283212,285792,275453,284864,290630,294297,300633,308197,311336,317618,324264,331377
28000,Mississippi,83197,85333,87647,88143,87200,88125,91715,93651,95228,97748,100204,104386,99463,99984,98728,99615,99622,99430,99780,100120,100590,101630
29000,Missouri,228293,232074,238361,246049,244407,246813,251788,257259,261530,263233,264382,270608,265310,269735,266726,268762,271902,272774,275819,273206,275783,282208
30000,Montana,29169,30466,30598,31375,31651,32527,33843,35375,37077,38431,40379,40162,39337,40544,41473,42006,42434,43092,44724,44213,44396,44801
31000,Nebraska,70722,72310,73884,76623,78258,79665,84120,86082,88894,91387,93388,93569,94050,97857,102333,102269,105038,107132,109673,110226,110526,112170
32000,Nevada,90368,94947,101277,105344,106657,110020,115571,128885,139695,145209,144405,138863,127242,128827,129734,128043,128273,129660,135100,138284,141709,146225
33000,New Hampshire,48425,51603,53058,56720,57433,59041,61610,63499,64356,65945,65698,65017,64450,66442,66840,67689,68800,69474,71175,72544,73981,75615
34000,New Jersey,426187,433779,448808,473035,476508,487050,499695,507585,513499,524056,526814,533054,511150,516589,510929,519746,523334,525023,533615,537149,543993,554672
35000,New Mexico,67446,67087,70716,71956,72053,74275,77132,82843,83825,85891,86511,85977,87667,87004,87166,87602,86506,89151,90868,90970,90989,92591
36000,New York,976940,996663,1048059,1088005,1112239,1102140,1104937,1132504,1171051,1199904,1202726,1175471,1223229,1269487,1269245,1322448,1319299,1348204,1369097,1388267,1407217,1436957
37000,North Carolina,316366,326225,344425,354846,361355,366035,374503,388700,407491,432589,436437,446920,427108,433404,439089,439571,445361,453629,467754,472931,482010,496110
38000,North Dakota,22411,23682,23705,24598,25017,26370,27994,28267,29107,30262,31668,34155,35043,37697,41942,51345,52531,56305,54611,50752,49916,51160
39000,Ohio,471886,487904,499060,508992,501815,514752,522649,534359,543745,541180,541411,537200,509216,521095,538703,540819,550800,570362,577277,581594,590884,601496
40000,Oklahoma,115414,117867,119725,124111,128721,131078,133084,137436,143073,152659,155465,161361,159236,159227,165153,173484,177602,188065,194565,189122,189569,193030
41000,Oregon,118539,124171,126884,137802,136688,139698,145585,152798,158463,167912,171114,173955,166653,169016,173883,174493,175805,181992,191595,200332,206711,213708
42000,Pennsylvania,495814,508484,523565,537224,544791,550247,562436,578034,588055,592030,612018,623821,605497,622467,631372,641317,651319,664793,677873,685462,697183,712101
44000,Rhode Island,40159,41789,43176,45246,45918,47611,49374,51583,52316,53518,52087,50447,50214,51468,51269,51642,52085,52208,53003,52985,53404,53741
45000,South Carolina,134908,140139,146526,150501,151105,154698,160138,162238,166574,170339,175090,174584,166850,170167,174128,175375,178940,183282,189167,194466,199491,202771
46000,South Dakota,24976,26452,27501,29407,29746,32958,33657,35071,35907,36459,38057,39643,39732,40130,42794,43445,43602,44100,45266,45424,45265,45874
47000,Tennessee,210844,223769,230418,233153,232723,240522,247824,259337,264652,271465,268756,272011,263016,266727,274804,283722,286801,291527,300581,306343,313573,322898
48000,Texas,872763,928374,965677,998297,1021889,1041811,1048299,1102696,1132796,1210287,1274303,1275774,1271436,1301727,1343791,1411379,1472104,1512351,1589956,1593149,1624949,1676679
49000,Utah,80683,85720,89270,92508,93887,95693,97649,102725,109146,118721,124498,123483,120792,123330,127060,128721,131902,135890,141348,146875,150791,157233
50000,Vermont,20026,20697,21843,23023,23714,24455,25301,26564,26909,27132,26802,27437,26997,28111,28733,28887,28499,28491,28805,29257,29644,30013
