# File: USDA_an_Stocks.csv
# Title: USDA NASS livestock animal inventories
# Units: Inventory (heads)
# Source: United States Department of Agriculture National Agriculture Statistics Service: https://quickstats.nass.usda.gov/
# Comments: Includes some missing values for states not reporting inventories
# Column types: ciccciiccccn
# ----------
Program,Year,Period,Geo Level,State,State ANSI,watershed_code,Commodity,Data Item,Domain,Domain Category,Value
CENSUS,2012,END OF DEC,STATE,ALABAMA,1,0,CATTLE,"CATTLE, (EXCL COWS) - INVENTORY",TOTAL,NOT SPECIFIED,"504,564"
CENSUS,2012,END OF DEC,STATE,ALABAMA,1,0,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,NOT SPECIFIED,"722,787"
CENSUS,2012,END OF DEC,STATE,ALABAMA,1,0,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,NOT SPECIFIED,"9,116"
CENSUS,2012,END OF DEC,STATE,ALABAMA,1,0,CHICKENS,"CHICKENS, BROILERS - INVENTORY",TOTAL,NOT SPECIFIED,"172,955,409"
CENSUS,2012,END OF DEC,STATE,ALABAMA,1,0,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,"9,435,605"
CENSUS,2012,END OF DEC,STATE,ALABAMA,1,0,DUCKS,DUCKS - INVENTORY,TOTAL,NOT SPECIFIED,"4,017"
CENSUS,2012,END OF DEC,STATE,ALABAMA,1,0,EQUINE,"EQUINE, HORSES & PONIES - INVENTORY",TOTAL,NOT SPECIFIED,"63,707"
CENSUS,2012,END OF DEC,STATE,ALABAMA,1,0,EQUINE,"EQUINE, MULES & BURROS & DONKEYS - INVENTORY",TOTAL,NOT SPECIFIED,"11,401"
CENSUS,2012,END OF DEC,STATE,ALABAMA,1,0,GEESE,GEESE - INVENTORY,TOTAL,NOT SPECIFIED,"3,295"
CENSUS,2012,END OF DEC,STATE,ALABAMA,1,0,GOATS,GOATS - INVENTORY,TOTAL,NOT SPECIFIED,"52,749"
CENSUS,2012,END OF DEC,STATE,ALABAMA,1,0,GOATS,"GOATS, MILK - INVENTORY",TOTAL,NOT SPECIFIED,"4,511"
CENSUS,2012,END OF DEC,STATE,ALABAMA,1,0,GUINEAS,GUINEAS - INVENTORY,TOTAL,NOT SPECIFIED,"4,603"
CENSUS,2012,END OF DEC,STATE,ALABAMA,1,0,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"142,555"
CENSUS,2012,END OF DEC,STATE,ALABAMA,1,0,RABBITS,"RABBITS, LIVE - INVENTORY",TOTAL,NOT SPECIFIED,"6,485"
CENSUS,2012,END OF DEC,STATE,ALABAMA,1,0,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",TOTAL,NOT SPECIFIED,"21,114"
CENSUS,2012,END OF DEC,STATE,ALABAMA,1,0,TURKEYS,TURKEYS - INVENTORY,TOTAL,NOT SPECIFIED,"7,354"
CENSUS,2012,END OF DEC,STATE,ALASKA,2,0,CATTLE,"CATTLE, (EXCL COWS) - INVENTORY",TOTAL,NOT SPECIFIED,"5,294"
CENSUS,2012,END OF DEC,STATE,ALASKA,2,0,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,NOT SPECIFIED,
CENSUS,2012,END OF DEC,STATE,ALASKA,2,0,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,NOT SPECIFIED,
CENSUS,2012,END OF DEC,STATE,ALASKA,2,0,CHICKENS,"CHICKENS, BROILERS - INVENTORY",TOTAL,NOT SPECIFIED,"1,863"
CENSUS,2012,END OF DEC,STATE,ALASKA,2,0,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,"8,265"
CENSUS,2012,END OF DEC,STATE,ALASKA,2,0,DUCKS,DUCKS - INVENTORY,TOTAL,NOT SPECIFIED,226
CENSUS,2012,END OF DEC,STATE,ALASKA,2,0,EQUINE,"EQUINE, HORSES & PONIES - INVENTORY",TOTAL,NOT SPECIFIED,"1,581"
CENSUS,2012,END OF DEC,STATE,ALASKA,2,0,EQUINE,"EQUINE, MULES & BURROS & DONKEYS - INVENTORY",TOTAL,NOT SPECIFIED,55
CENSUS,2012,END OF DEC,STATE,ALASKA,2,0,GEESE,GEESE - INVENTORY,TOTAL,NOT SPECIFIED,116
CENSUS,2012,END OF DEC,STATE,ALASKA,2,0,GOATS,GOATS - INVENTORY,TOTAL,NOT SPECIFIED,595
CENSUS,2012,END OF DEC,STATE,ALASKA,2,0,GOATS,"GOATS, MILK - INVENTORY",TOTAL,NOT SPECIFIED,230
CENSUS,2012,END OF DEC,STATE,ALASKA,2,0,GUINEAS,GUINEAS - INVENTORY,TOTAL,NOT SPECIFIED,45
CENSUS,2012,END OF DEC,STATE,ALASKA,2,0,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"1,009"
CENSUS,2012,END OF DEC,STATE,ALASKA,2,0,RABBITS,"RABBITS, LIVE - INVENTORY",TOTAL,NOT SPECIFIED,242
CENSUS,2012,END OF DEC,STATE,ALASKA,2,0,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",TOTAL,NOT SPECIFIED,773
CENSUS,2012,END OF DEC,STATE,ALASKA,2,0,TURKEYS,TURKEYS - INVENTORY,TOTAL,NOT SPECIFIED,
CENSUS,2012,END OF DEC,STATE,ARIZONA,4,0,CATTLE,"CATTLE, (EXCL COWS) - INVENTORY",TOTAL,NOT SPECIFIED,"519,812"
CENSUS,2012,END OF DEC,STATE,ARIZONA,4,0,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,NOT SPECIFIED,"197,901"
CENSUS,2012,END OF DEC,STATE,ARIZONA,4,0,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,NOT SPECIFIED,"193,621"
CENSUS,2012,END OF DEC,STATE,ARIZONA,4,0,CHICKENS,"CHICKENS, BROILERS - INVENTORY",TOTAL,NOT SPECIFIED,"8,451"
CENSUS,2012,END OF DEC,STATE,ARIZONA,4,0,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,
CENSUS,2012,END OF DEC,STATE,ARIZONA,4,0,DUCKS,DUCKS - INVENTORY,TOTAL,NOT SPECIFIED,"2,161"
CENSUS,2012,END OF DEC,STATE,ARIZONA,4,0,EQUINE,"EQUINE, HORSES & PONIES - INVENTORY",TOTAL,NOT SPECIFIED,"92,394"
CENSUS,2012,END OF DEC,STATE,ARIZONA,4,0,EQUINE,"EQUINE, MULES & BURROS & DONKEYS - INVENTORY",TOTAL,NOT SPECIFIED,"3,046"
CENSUS,2012,END OF DEC,STATE,ARIZONA,4,0,GEESE,GEESE - INVENTORY,TOTAL,NOT SPECIFIED,"1,882"
CENSUS,2012,END OF DEC,STATE,ARIZONA,4,0,GOATS,GOATS - INVENTORY,TOTAL,NOT SPECIFIED,"71,654"
CENSUS,2012,END OF DEC,STATE,ARIZONA,4,0,GOATS,"GOATS, MILK - INVENTORY",TOTAL,NOT SPECIFIED,"5,797"
CENSUS,2012,END OF DEC,STATE,ARIZONA,4,0,GUINEAS,GUINEAS - INVENTORY,TOTAL,NOT SPECIFIED,933
CENSUS,2012,END OF DEC,STATE,ARIZONA,4,0,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,
CENSUS,2012,END OF DEC,STATE,ARIZONA,4,0,RABBITS,"RABBITS, LIVE - INVENTORY",TOTAL,NOT SPECIFIED,"1,566"
CENSUS,2012,END OF DEC,STATE,ARIZONA,4,0,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",TOTAL,NOT SPECIFIED,"180,551"
CENSUS,2012,END OF DEC,STATE,ARIZONA,4,0,TURKEYS,TURKEYS - INVENTORY,TOTAL,NOT SPECIFIED,"2,465"
CENSUS,2012,END OF DEC,STATE,ARKANSAS,5,0,CATTLE,"CATTLE, (EXCL COWS) - INVENTORY",TOTAL,NOT SPECIFIED,"793,552"
CENSUS,2012,END OF DEC,STATE,ARKANSAS,5,0,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,NOT SPECIFIED,"813,250"
