# File: EIA_coal_generation_2018.csv
# Title: Net generation for electric power annual - coal
# Unit: thousand megawatthours (GWh)
# Comments: Selected columns from original form
# Source: U.S. Energy Information Administration Electricity Data Browser - https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,1,0&fuel=8&geo=00fvvvvvvvvvo&sec=008&freq=A&start=2001&end=2018&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0
# Column types: cccciiiiiiiiiiiiiiiiii 
# ----------
fuel,state,units,source.key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Coal,Connecticut,thousand megawatthours,ELEC.GEN.COW-CT-98.A,3736,3227,4200,4255,3996,4282,3739,4387,2453,2604,526,653,681,825,600,177,198,330
Coal,Maine,thousand megawatthours,ELEC.GEN.COW-ME-98.A,189,242,223,203,163,157,147,155,33,56,38,30,35,49,65,60,58,56
Coal,Massachusetts,thousand megawatthours,ELEC.GEN.COW-MA-98.A,11005,11471,10855,10487,11986,11086,11978,10582,9006,8277,4029,2110,3934,2772,2236,1875,1136,0
Coal,New Hampshire,thousand megawatthours,ELEC.GEN.COW-NH-98.A,3706,3722,3923,4076,4073,3885,3927,3451,2886,3083,2208,1268,1464,1311,937,422,287,660
Coal,Rhode Island,thousand megawatthours,ELEC.GEN.COW-RI-98.A,,,,,,,,,,,,,,0,0,0,0,0
Coal,Vermont,thousand megawatthours,ELEC.GEN.COW-VT-98.A,,,,,,,,,,,,,,,,,,
Coal,New Jersey,thousand megawatthours,ELEC.GEN.COW-NJ-98.A,9319,9605,9790,10322,11625,10862,10211,9028,5100,6418,4155,1897,2022,2519,1759,1315,1216,1193
Coal,New York,thousand megawatthours,ELEC.GEN.COW-NY-98.A,22587,22497,22919,22152,19839,20321,20855,18654,12438,13212,9062,4236,4390,4283,2075,1437,562,679
Coal,Pennsylvania,thousand megawatthours,ELEC.GEN.COW-PA-98.A,110209,112424,114648,115920,119723,121263,121541,116424,104336,109320,99761,86769,87959,78442,64156,54294,47458,43970
Coal,Illinois,thousand megawatthours,ELEC.GEN.COW-IL-98.A,77698,84716,85899,92220,89966,89141,92816,94453,88194,91713,88114,79041,86201,85491,72119,57816,56405,57862
Coal,Indiana,thousand megawatthours,ELEC.GEN.COW-IN-98.A,115844,117427,117537,120418,122572,123416,122589,121847,108149,112133,103974,92279,92538,97468,78193,72481,72351,77417
Coal,Michigan,thousand megawatthours,ELEC.GEN.COW-MI-98.A,67343,65649,66869,67749,69634,67104,69944,68838,66251,65137,58501,52814,55951,52646,52689,40433,41974,42257
Coal,Ohio,thousand megawatthours,ELEC.GEN.COW-OH-98.A,123687,132706,134257,127712,136334,132945,132781,130326,113383,117484,105021,85346,94341,89639,71497,68662,68334,58721
Coal,Wisconsin,thousand megawatthours,ELEC.GEN.COW-WI-98.A,40219,38598,40589,41008,40571,38905,38774,40537,36268,39186,38984,31909,39824,36597,36499,32927,35437,32933
Coal,Iowa,thousand megawatthours,ELEC.GEN.COW-IA-98.A,33589,34145,34289,33757,32808,32856,36470,39232,35964,39368,36122,33179,31194,31756,27880,23480,23787,26969
Coal,Kansas,thousand megawatthours,ELEC.GEN.COW-KS-98.A,31768,35369,35110,34593,34481,33281,36250,34003,32243,32505,31656,27983,29767,28752,24593,23096,19390,20474
Coal,Minnesota,thousand megawatthours,ELEC.GEN.COW-MN-98.A,31064,32201,34668,32981,31957,32105,31229,30806,28617,27176,27429,22107,22790,27248,24111,22806,22270,23068
Coal,Missouri,thousand megawatthours,ELEC.GEN.COW-MO-98.A,65445,67148,73904,74711,77124,77113,74746,73247,71402,74829,78164,72661,75964,72288,65247,60269,67497,59820
Coal,Nebraska,thousand megawatthours,ELEC.GEN.COW-NE-98.A,20194,19900,20908,20415,20773,20633,19612,21480,23308,23215,25708,24686,26434,24580,23804,21551,20813,22931
Coal,North Dakota,thousand megawatthours,ELEC.GEN.COW-ND-98.A,28770,29519,29298,27938,30133,28762,29042,29552,29486,28349,27011,28155,27377,27334,27632,26472,26648,27541
Coal,South Dakota,thousand megawatthours,ELEC.GEN.COW-SD-98.A,3612,3272,3431,3620,2996,3316,2655,3660,3217,3298,2586,2919,2849,2689,1495,2083,2062,2339
Coal,Delaware,thousand megawatthours,ELEC.GEN.COW-DE-98.A,3288,3382,3994,4626,4711,4872,5526,5191,2832,2568,1455,1423,1545,865,599,479,359,273
Coal,District of Columbia,thousand megawatthours,ELEC.GEN.COW-DC-98.A,,,,,,,,,,,,,,,,,,
Coal,Florida,thousand megawatthours,ELEC.GEN.COW-FL-98.A,67921,65764,67409,64601,62260,65183,67640,64539,53725,59539,51673,44054,46144,51792,42717,39255,37374,30175
Coal,Georgia,thousand megawatthours,ELEC.GEN.COW-GA-98.A,73444,77288,77858,79185,86358,85701,89533,84652,68863,72550,59452,40197,39768,44844,36915,37674,32311,31983
Coal,Maryland,thousand megawatthours,ELEC.GEN.COW-MD-98.A,28379,28366,29674,28921,29025,29122,29428,26979,23933,23435,20860,16005,15395,17444,13810,13751,8440,10007
Coal,North Carolina,thousand megawatthours,ELEC.GEN.COW-NC-98.A,71946,74308,73945,74964,77883,75028,79504,75429,64713,71516,59406,50633,46751,48910,39686,37185,34249,31510
Coal,South Carolina,thousand megawatthours,ELEC.GEN.COW-SC-98.A,36303,36491,37066,38517,39352,39141,41270,41297,34254,37466,33906,28235,24248,28748,22488,20900,18127,19481
Coal,Virginia,thousand megawatthours,ELEC.GEN.COW-VA-98.A,37028,37015,36122,34741,34604,33446,34618,30840,24798,24732,19202,13543,20626,20340,16901,16215,10523,9078
Coal,West Virginia,thousand megawatthours,ELEC.GEN.COW-WV-98.A,79355,92022,91659,86857,90797,90900,91304,88696,67781,77771,75523,69854,71837,76941,67516,71401,68349,62039
Coal,Alabama,thousand megawatthours,ELEC.GEN.COW-AL-98.A,71751,71849,76458,74619,77902,77871,77768,74431,55193,62615,56597,45410,46860,47170,41311,34186,31411,31734
Coal,Kentucky,thousand megawatthours,ELEC.GEN.COW-KY-98.A,90799,83274,84061,86121,89083,91198,90483,91621,84038,91054,91656,82762,83303,83602,72620,66822,57237,59168
Coal,Mississippi,thousand megawatthours,ELEC.GEN.COW-MS-98.A,19196,14853,17058,17470,16628,18096,17404,16675,12955,13629,9723,7212,8701,10743,6400,5342,4628,5280
Coal,Tennessee,thousand megawatthours,ELEC.GEN.COW-TN-98.A,58167,58081,53376,56584,57561,59146,58849,55752,40426,42260,39430,34249,31264,34776,29584,30293,27031,20320
Coal,Arkansas,thousand megawatthours,ELEC.GEN.COW-AR-98.A,24678,22987,23422,25249,22941,24095,25642,25993,24986,28041,29317,28332,31803,33164,21683,23750,26240,29951
Coal,Louisiana,thousand megawatthours,ELEC.GEN.COW-LA-98.A,21923,22025,22839,23614,23037,24351,23004,24072,23066,23924,24609,21421,20844,19221,15165,12014,12316,11787
Coal,Oklahoma,thousand megawatthours,ELEC.GEN.COW-OK-98.A,34154,35441,36159,33338,35894,34593,34005,35875,33661,31065,34086,28925,29619,29520,24494,18791,17079,14702
